,President,Generated Text,Actual Text
0,George Washington,"Upon receiving his first official act, Monroe expresses his deepest appreciation of the United States' power and resources. He also gives his thoughts on how to best serve the country and how he can best serve the country.","Washington calls on Congress to avoid local and party partisanship and encourages the adoption of a Bill of Rights, without specifically calling them by name. The first President demonstrates his reluctance to accept the post, rejects any salary for the execution of his duties, and devotes a considerable part of the speech to his religious beliefs."
1,George Washington,Washington recommends a day of thanksgiving to be dedicated to the service of Almighty God for his protection and blessing of the United States. The President also requests that all nations in the world pray and praise for the blessings given to them since the end of World War II.,"At the request of Congress, Washington establishes November 26th as a national holiday of thanks to God for the successful establishment of the Constitution and government and the liberties the citizens enjoy under the new United States."
2,George Washington,the President focuses on the common defence and he encourages the development of new and useful inventions at home and abroad. The President also stresses the need for a uniform system of education in all parts of the country.,"In a wide ranging speech, President Washington addresses the need for a regular army, better roads for communication, and taking a census. An important part of his message highlights the need for establishing a good system of education in the country as a way to guarantee all people understood their rights under the Constitution."
3,George Washington,the President focuses on commerce in his second address to Congress. He emphasizes the importance of maintaining good public credit throughout the country and highlighting the recent loan deal completed in Holland.,"Washington focuses on commerce in his second address to Congress, outlining the recent loan deal made in Holland and praising the good harvests for maintaining good public credit. The President warns that any type of war on the seas could pose problems for in 1881. commerce, and he encourages developing a reliable form of American transportation of goods to avoid dependence on Europeans in matters of commerce."
4,George Washington,the President addresses the Seneka Nation regarding the sale of lands. The President asks Congress to protect the nation's interests by providing him with legal documentation to sell certain lands.,"The President reassures the Seneca Nation that the new government of the United States devotes itself to the friendship and fair treatment of the Indians. Washington reminds the Indians of their rights to sell and refuse to sell land, assures them of fair treatment by government agents, and gives them the right to redress any of their grievances in American courts."
5,George Washington,the President gives a positive assessment of the situation in the Western Frontiers and recommends that all Indian activities should be regulated so as not to cause conflict among the Indians. The President also emphasizes the need for an impartial administration and appropriate penalties should be made for violating the United States' rights.,"Washington praises the success of the new banks, renounces the need for any additional taxes, and congratulates the public on the good economic situation of the country. After pressing Congress to work on initiatives he proposed months before, the President updates Congress on the Indian situation, and he urges the country to open the justice system to the Indians wishing to use it."
6,George Washington,44 returns a congressional redistricting bill to your House of Representatives citing inconsistencies in the proportion of representatives and the provisions laid out by the Constitution. This is the first presidential veto.,President Washington returns a congressional redistricting bill citing inconsistencies in the proportion of representatives and the provisions laid out by the Constitution. This is the first presidential veto.
7,George Washington,"reward offered for the capture of American citizens who attacked a Cherokee town, and he urges all citizens to keep the peace and the good faith of the United States.","Offering a reward for the capture of American citizens who attacked a Cherokee town, Washington urges American citizens to maintain the peace and the good faith of the United States."
8,George Washington,"if he violates his Oath of Office, he may be subject to the uproar of all who are now witnesses of the solemn Ceremony.","In a simple, brief speech, Washington expresses his commitment to the Oath of Office and calls upon the people to reprimand him should he fail his duties."
9,George Washington,"the President declares the neutrality of the United States in the current state of war between Austria, Prussia, Spain, and France. He warns citizens not to undermine the neutrality of the country at the risk of prosecution.",Washington declares United States neutrality in the face of emerging European conflicts. He warns citizens not to undermine the neutrality of the country at the risk of prosecution.
10,George Washington,the President reaffirms his commitment to maintaining good relations with allies and enforcing some new laws. He also emphasizes the importance of protecting American citizens' rights against foreign aggression.,"Devoting much of his message to foreign affairs, Washington reiterates the neutrality of the United States during the European conflicts and proposes creating 'ties of interest' with the Indians bordering the country to maintain good relations. He then reviews the financial situation of the country."
11,George Washington,"Washington calls upon the militias of other states to help carry out the insurrection in Western Pennsylvania; and he urges all citizens not to abet, aid, or comfort the insurgents as they may pose a danger to the United States.",Washington calls on the militias of other states to help put down the uprising in Western Pennsylvania (Whiskey Rebellion) that continued despite conciliatory efforts by the government. The President assures the nation that one portion of the United States will not be allowed to dictate to the entire nation.
12,George Washington,"Jefferson outlines his response to the distillers' revolt in Western Pennsylvania and asks Congress to consider reforming the judiciary, reorganizing the judiciary, and overhauling the military system. The President also proposes a series of changes to the Constitution to stabilize the country.",The President outlines his response to the Whiskey Rebellion in Western Pennsylvania and asks Congress to consider reforming the militia codes to establish a permanent militia. Washington also commissions Congress to eradicate the public debt of the United States.
13,George Washington,president Grant grants a general pardon to all citizens in the western counties of Pennsylvania for failing to subscribe to United States assurances of submission to the laws.,Washington issues a pardon to those accused of treason in the Whiskey Rebellion.
