,Generated_Summary,Original_Summary
0,"[' Henry Clay was born in 1776 in an obscure district of one of the American colonies. John Adams Morgan: Henry Clay belonged to his country- to the world, mere party can not claim men like him. His career has been national his fame has filled the earth his memory will endure to justice(sthe last syllable of recorded time).""']","Henry Clay died on June 29, 1852. Lincoln delivered a eulogy to his friend in the Hall of Representatives at the statehouse in Springfield, Illinois."
1,"[' John Adams Morgan. John Adams. Morgan (1803-1788) John Adams (1809-1863) John John Adams, Jr. (1808-1865) John James Madison (1817-1849) John Jay Adamson (1818-1848) John Adamson John Adams Johnson (1819-1852) John Benjamin Franklin (1820-1853) John Jacob Adams (1740-1854) John Daniel Webster (1821-1842) John D.']","In this three hour speech, Lincoln argues against the Kansas Nebraska Act and its underlying concept of popular sovereignty. The new law repealed the Missouri Compromise in that it allowed for slave states North of 36 30' latitude. Shortly after the passage of the act, opponents of the law formed the Republican Party."
2,"[' John Adams: ""I believe this government can not endure, permanently half slave and half free. I do not expect the Union to be dissolved, but I do expect it will cease to be divided. It will become all one thing, or all the other"" John Adams']","Lincoln delivered his ""House Divided"" speech upon accepting the Republican nomination for Senate in Springfield, Illinois. In this speech he famously states ""a house divided against itself cannot stand"" in describing the coming national conflict over slavery."
3,"[' John Adams Morgan. John Adams. Morgan. New York City, New York, 17th century. John John Adams, Jr. New Jersey, New Jersey City, John Adams Jr., 1708-1709. James Madison, John Madison, Jr., John Adams and John Adams III, George Washington. John Jay Zicklin, John Jay. Zickler, John Zickling, John James Adams, John George Washington, Jr.; John Adams Adams, 1701-1708. John James Madison Jr., 1803-1809. George Washington']","In this address, Abraham Lincoln argues that the Constitution as interpreted by the 39 signers of the document allows for federal control over the spread of slavery into the federal territories. This speech helped establish Lincoln as one of the leaders of the Republican Party."
4,"[' John Adams Adams. John Adams, who was born in Washington, D.C., and died in Washington D. C., in 1783. John Washington Adams. George Washington. Adams, John Adams and John Adams. Washington, DC. John John Adams (1703-1783) John Adams John Adams Washington, Jr. (1701-1773) John Washington John Adams III (1709-1774) John John Washington. John George Washington']","A brief farewell to friends and well wishers as Lincoln departs Springfield, Illinois on his journey to Washington D.C.."
5,"[' John Adams Morgan: John Adams. Morgan: I have no purpose, directly or indirectly, to interfere with the institution of slavery in the States where it exists. John Adams: I suggest that it will be much safer for all, both in official and private stations, to conform to and abide by all acts which stand unrepealed by those acts which are illegal. George Washington']","President Lincoln uses his first inaugural address to attempt to reassure the Southern states that he will protect their interests regarding slavery. He warns, however, that any attempt to secede from the Union will be viewed as a violation of law and met with appropriate consequences."
6,"[' John Adams Morgan, 1788. John Adams and John Adams, Jr. The first President of the United States, John Adams Jr., 1787. The U.S. Declaration of Independence. The Declaration of the Rights of Man and Creature of the Earth. The Rights of the Person and Property of the Union. The right of the people to bear arms, and the right of governments to peaceably assemble, and to stand trial for peaceably disagreeing with each other. The duty of the Government to prevent the consummation of such an attempt to destroy the Federal Union, and a choice of means to that end became indispensable. The choice was made, and was declared in the']","Between the fall of Fort Sumter on April 13, 1861, and July of that same year, President Lincoln took a number of actions in response to secession without Congressional approval. In this special message to Congress, Lincoln asks Congress to validate his actions by authorizing them after the fact. This message also marks Lincoln's first full explanation of the purpose of the war."
7,"[' Abraham Lincoln, President of the United States. Proclamation issued on the 20th day of September, in the year of our Lord one thousand eight hundred and sixty-three. All persons held as slaves within any State or designated part of a State, the people whereof shall then be in rebellion against the U.S., shall be then, thenceforward, and forever free. The Executive Government, including the military and naval authority thereof, will recognize and maintain the freedom of such persons, and will do no act or acts to repress such persons or any of them, in any efforts they may make for their actual freedom.']","Following the preliminary Emancipation Proclamation of September 22, 1862, Lincoln's Proclamation of January 1, 1863 formally emancipates all slaves held in States or parts of States in active rebellion against the Union."
8,"["" James C. Conkling's letter to President Lincoln. Letter to President John Adams. Letter from John Adams to John Adams on John Adams Day. John Adams and James Madison. James Madison, John Adams, and James Adams. James Adams, Jr., John Adams Jr., and John Adams John Adams""]","President Lincoln wrote this letter to his friend James Conkling, and it is read at a rally in Springfield, Illinois, supporting the Union. In this letter, the President vigorously defends his Emancipation Proclamation."
9,"[' John Adams Morgan: ""Four score and seven years ago our fathers brought forth on this continent, a new nation, conceived in Liberty, and dedicated to the proposition that all men are created equal"" ""Now we are engaged in a great civil war, testing whether that nation, or any nation so conceived and so dedicated, can long endure"" ""We here highly resolve that these dead shall not have died in vain, that this nation, under God, shall have a new birth of freedom, and that government of the people by the people, for the people""']","Four months after the Battle of Gettysburg, Lincoln joined in a dedication of a national cemetery on a portion of the battlefield. The speech he delivered that day would become one of the most famous speeches given by a in 1881. President."
10,"["" John Adams Lincoln's first inaugural address was delivered on January 4, 18th, 1788. Lincoln: The progress of our arms, upon which all else chiefly depends, is as well known to the public as to myself. Neither party expected for the war the magnitude or the duration which it has already attained. Neither anticipated that the cause of the conflict might cease with or even before the conflict itself should cease. Let us strive on to finish the work we are in, to bind up the nation's wounds, to care for him who shall have borne the battle and for his widow and his orphan, to do all which may achieve and cherish a just and lasting peace among ourselves and with""]","Just over a month before his assassination, Lincoln gives his brief yet poignant second Inaugural Address. With the end of the Civil War rapidly approaching, Lincoln uses the opportunity to look toward the eventual peace and reconstruction of the Union. He begins his closing remarks with the famous words ""With malice toward none; with charity for all."""
