,Generated_Summary,Original_Summary
0,"["" John Kerry: America's Founders knew that America, to endure, would have to change to preserve America's ideals. John Adams: To renew America, we must be bold. We must invest more in our own people, in their jobs, and in their future, and at the same time cut our massive debt. George Washington: There is nothing wrong with America that can not be cured by what is right with America. John Kennedy: We must do what America does best: offer more opportunity to all and demand more responsibility from all.""]","As the first President elected in the post-Cold War era, Clinton stresses that it is a time for a renewal of America."
1,"[' George W. Bush. George W Bush. President George H.W. Bush, George W George Bush, Jr. George George Bush Jr., George H W Bush, Junior. Bush Jr. John Adams Bush, John Adams Adams. George Washington. Bush Sr., John Adams, Junior, George Washington Bush, Joint Chiefs of Staff. John Washington Bush Jr,. John Adams Jr., Joint Chiefs Of Staff. George Bush Bush Jr, John George Bush III, John John Adams III, George George Washington John Adams John Adams. John George Washington, John Washington, Jr., John David Adams, John D. Washington, George D. Bush and George Washington George Washington III. John David Washington,']","President Bill Clinton addresses the press regarding his decision to lift the ban excluding homosexual individuals from military service. He argues that in the absence of any other disqualifying conduct, American citizens who wish to serve their country should be able to do so."
2,"[' George W. Bush. George W Bush. President George H.W. Bush, George W George Bush, Jr. George George Bush Jr., George H W Bush, Sr. George Washington Bush, JR. George Bush III. George Herbert Walker Bush, J. John Adams Bush, John Adams Adams, George Washington']","President Clinton signs the Family Medical Leave Act, which guarantees the right of up to twelve weeks of unpaid leave per year care for a newborn child or an ill family member. It was the first bill Clinton signed as President, echoing his campaign message to truly put people first."
3,[' George W. Bush: America needs a new direction. George W Bush: Our task as Americans is to make our economy thrive again. George Bush: We must now break the habits of both political parties and say there can be no more something for nothing and admit frankly that we are all in this together. George Washington'],"Clinton gives the economy his primary focus. He advocates for an emphasis on investment rather than consumption as well as a reduction in the federal deficit, government inefficiency, and government spending."
4,"[' George W. Bush Jr. George H.W. Bush Sr. George George Washington, Jr. Bush, Jr., George Washington Bush, George Washington J. Bush. George Washington George Washington Jr. J. George Bush, J. John Adams Bush George Washington III George Washington John Adams Jr. John Washington Bush George George Bush George Bush John Adams George III George George John Adams John John Bush George John Washington George III John Washington John George George George III. John John George John George BushGeorge Washington George George Kennedy George Washington Kennedy John John Kennedy John Kennedy George George. John George Kennedy John Henry George John Henry John John Henry Washington John Henry Henry George George Henry John George. George John John']","On the 100th day of his administration, President Clinton addresses a myriad of community and student volunteers in New Orleans, Louisiana, to thank them for their commitment to national service. He stresses that national service allows higher learning to go hand in-hand with the higher purpose of addressing the country's unmet needs to secure the future."
5,[' George H.W. Bush. George W. Bush: Operation Restore Hope is the largest humanitarian relief operation in history. George Washington Bush: The work of the just can prevail over the arms of the warlords. George Bush: America will never forget what they did or what they gave. George George Bush Jr.'],President Clinton addresses distinguished guests from all branches of the military to announce the accomplished mission of Operation Restore Hope in Somalia. He acknowledges that the largest humanitarian relief operation in history has written an important new chapter in the international annals of peacekeeping and humanitarian assistance.
6,"[' John Edwards: Robert Kennedy dared us all. He dared the grieving not to retreat into despair, the comfortable not to be complacent, the doubting to keep going. He would dare us to leave yesterday and embrace tomorrow, Edwards says. Kennedy was gentle to those who were most vulnerable, very tough in the standards he kept for himself, and a relentless searcher for change, for growth, for the potential of heart and mind that he sought in himself and he demanded of others. Edwards: Kennedy understood that the real purpose of leadership is to bring out the best in all of us. He believed that the sum total of all the decisions that one person can make must make a difference']","President Clinton speaks at a memorial mass for Robert F. Kennedy on the 25th anniversary of his assassination. Clinton remembers him, standing on the hood of a car, grasping at outreached hands, black and brown and white. His promise was that the hands that reached out to him might someday reach out to each other. And together, those hands could make America everything that it ought to be. The President urges Americans to focus on the powerful, simple message of Robert Kennedy: We can do better."
7,"[' George Bush: Peace of the brave is within our reach. George W. Bush: Every peace has its enemies, those who still prefer the easy habits of hatred to the hard labors of reconciliation. John Kerry: The United States of America is committed to ensuring that the people who are affected by this agreement will be made more secure by it.']","This ceremony begins with President Bill Clinton speaking about the historic agreement being signed between the Israelis and the Palestinians. After Clinton speaks, Foreign Minister Shimon Peres of Israel and Mahmoud Abbas, PLO Executive Committee member, make brief remarks. Then Foreign Minister Peres and Mr. Abbas sign the declaration, and Secretary of State Warren Christopher and Foreign Minister Andrey Kozyrev of Russia sign as witnesses. Secretary Christopher and Foreign Minister Kozyrev then make remarks, followed by Prime Minister Yitzhak Rabin of Israel and Chairman Yasser Arafat of the PLO. The video runs 63 minutes, but the transcript contains just President Clinton's first remarks."
8,"[' George W. Bush: America is in a time of profound change and opportunity. George W Bush: Our purpose in this dynamic age must be to make change our friend and not our enemy. George Bush: If Americans are to have the courage to change in a difficult time, we must first be secure in our most basic needs. George Washington Bush: This health care system of ours is badly broken, and it is time to fix it. George George Washington']","Bill Clinton addresses Congress and asks them to support his plan to fix America's broken health care system. He argues that the current system is simply too broken, too uncertain, too expensive, and too bureaucratic to continue as currently structured. The President outlines the following six principles for restructuring: security of coverage, inclusion of all Americans, savings, choice, quality, and responsibility."
9,"[' George W. Bush: Why are we still there? How did a humanitarian mission turn violent? And when will our people come home? Bush: ""We started this mission for the right reasons, and we\'re going to finish it in the right way"" Bush: It is not our job to rebuild Somalia\'s society or even to create a political process that can allow Somalia\'s clans to live and work in peace.']","After American soldiers were killed in Somalia, President Clinton addresses the nation regarding in 1881. military involvement in Somalia. He outlines the goals for continued in 1881. involvement, including protecting in 1881. troops, securing the area, and keeping the flow of food and supplies open. Clinton stresses that the United States will only leave Somalia on its own terms, and the in 1881. military must increase its strength so it can do its job and bring our soldiers home."
