,Generated_Summary,Original_Summary
0,"[' George W. Bush, President Clinton, President Bush, and President Obama, fellow Americans, and people of the world: thank you. We, the citizens of America, are now joined in a great national effort to rebuild our country and to restore its promise for all of our people. For too long, a small group in Washington, D.C., has reaped the rewards of government while the people have borne the cost. Washington flourished – but the people did not share in its wealth. Politicians prospered, but the jobs left, and the factories closed. The establishment protected itself, but not the people of our country. Their victories have not been your victories; their']","Donald J. Trump was inaugurated on January 20, 2017. His speech had an anti-establishment message that focused on populism and his campaign slogan of ""American First."""
1,"[' George W. Bush Jr. George H.W. Bush, George W., George Washington, George Washington. George Washington Jr. Bush. George George Washington Bush Jr., George George Bush, John Adams Adams. George Herbert John Adams, 17th president of the U.S. John Adams Jr., 17th President George Washington John Adams III, 1701-1708']",President Donald Trump talks about his administration's approach to energy. He promises to create jobs and money by opening up natural resources to be developed for natural gas and oil. He pledges to reduce government regulations and restrictions on development. The president ends his speech by announcing 6 new initiatives to create an era of American energy dominance.
2,"[' George W. Bush. John F. Kennedy. George Washington. John Adams. John Quincy Adams. James Madison. John and John Adams Adams. Thomas Jefferson, John Adams, John and James Madison, George Washington and John and George Washington Carver. John Washington']","President Trump addresses the Boy Scout Jamboree in West Virginia, talking about the values of persistence and hard work and never losing momentum. He praises the Boy Scouts for their values and patriotism."
3,"[' George W. Bush: U.S. is strong and resilient, and we will emerge from these hardships more determined than ever before. George Washington Bush: We live in a time of extraordinary opportunity, but each day also brings news of growing dangers that threaten everything we cherish and value. George Bush: It is entirely up to us whether we lift the world to new heights, or let it fall into a valley of disrepair. George George Washington']","President Trump addresses the 72nd session of the United Nations General Assembly in New York City. He focuses on his message of ""America First"" and discusses the ongoing situations with North Korea, Iran, and Syria."
4,"[' George W. Bush Jr. George H.W. Bush Sr. George George Bush, Jr. John Bush, John Adams Adams Bush George Washington John Adams Johnson John Adams Bush John Adams John Adams. George Washington Bush, George Washington George Washington. John Adams George Washington Washington Bush John John Adams Kennedy John Adams Henry George Washington']","President Donald Trump addresses the issue of national security, focusing on his ""America First"" ideology and unveiling his administration's strategy. It focuses on securing in 1881. borders, fighting Islamic terrorism, promoting economic prosperity, building up the military, and strengthening alliances."
5,"[' John Kerry: America hopes for a future in which everyone can prosper, and every child can grow up free from violence, poverty, and fear. John Adams: America is open for business, and we are competitive once again. John John Adams Jr: The world is witnessing the resurgence of a strong and prosperous America. John Patrick Adams Jr.']","In Davos, Switzerland, President Trump addresses the World Economic Forum, a nonprofit foundation that brings together politicians, business leaders, academics, journalists, and celebrities to address major issues facing the world. Trump brings his message of ""America First"" to the international gathering. He says he supports free trade but argues that it needs to be fair and reciprocal. At the end of his speech, he is asked a few questions by Klaus Schwab, the founder and executive chairman of the forum."
6,"["" George W. Bush's health care law. George Washington's Gettysburg Address in 1787. John F. Washington's Mount Rushmore. Washington, D.C.'s Mount Washington. John Adams. John Quincy Adams. Washington D. C.'s St. Patrick’s Cathedral. Washington Square Park. St. John”s Cathedral’. Washington” George Washington’S St. Paul” John Adams’ St. George” Stambaugh’ John Adams, John Adams the 4th of John Adams; John Adams 3rd of Johnths Johnths, Johnths and Johnths; Johnths Adams the 5th. Johnths""]","In the 2018 State of the Union Address, President Donald Trump talks about the tax cut passed in December 2017 and the strength of the US economy. He also focuses on immigration, laying out the four pillars for his administration's reform proposal. The transcript is his speech as prepared for delivery."
7,"[' John Boehner, John Boehner. John McCain, John McCain. John Edwards, John Edwards. John Adams Morgan, John Adams John Adams Adams. John Quincy Adams, James Adams Adams, John John Adams and John Adams James Adams. James Madison, James Madison and James Madison. James Monroe, James Monroe and James Monroe. James Adams and James Washington, James Washington. James Washington and James Jefferson. James Jefferson, James Jefferson and James John Adams. George Washington, George Washington and George Washington. John Washington, John Washington and John Jefferson. John Jefferson, John Jefferson and John James Washington III. John James Madison III. James James Madison Jr. John John Washington III, John James Adams III.']","President Trump addresses the Republican members of the US House and Senate, focusing on the unity within the party and its chief tenets such as strong borders, fewer regulations, and well funded military. He also congratulates the members on passing the tax cut bill in December 2017."
8,"[' George W. Bush: ""We are here for you, whatever you need, whatever we can do, to ease your pain"" Bush: We are committed to working with state and local leaders to help secure our schools, and tackle the difficult issue of mental health.']","President Trump makes a statement about the school shooting that took place on February 14, 2018, at Marjory Stoneman Douglas High School in Parkland, Florida. Seventeen people were killed."
9,"[' George W. Bush: ""I try like hell to hide that bald spot, folks. I work hard at it. It doesn\'t look bad. Hey, we\'re hanging in. We\'re hanging. in there, right? Together, we are hanging in"" George Washington']",President Trump addresses the Conservative Political Action Conference by pointing to his conservative credentials and praising the tax cut passed in December 2017. He also warns the crowd not to get complacent about the midterm elections in November 2018 and be sure to vote for Republicans.
10,"[' George W. Bush Jr. George H.W. Bush, Jr. John Adams, John Adams Sr. George Adams, George George Bush Jr., George George John Adams Jr., John Adams John Adams III. George George Washington Bush, George Washington John Adams. George Washington George Bush, John George Washington, John John Adams George III. John George Adams George Washington Jr. Washington George Washington III George Washington Jnr. George John Washington J. George J. Bush George George George III George George J George John John George Bush George John George John Henry John Henry J. John Henry George George. George Henry John George George Henry George John Alexander George George Alexander George John Allen George John William George']","President Trump speaks in New Hampshire about the opioid crisis and the nationwide initiative to combat the problem. He proposes steps such as trying to develop less addictive painkillers, having fewer painkillers prescribed to patients, and cracking down on drug traffickers."
11,"[' George Brett of the Kansas City Royals. George Brett, a member of the Baseball Hall of Fame, George Brett. John McCain, John McCain. John Adams. John Quincy Adams, the first president of the United States of America. George Washington. Washington, D.C.']","President Trump addresses American veterans from US wars. He stresses his accomplishments, his focus on ""America First,"" and his plans going forward."
12,"["" George W. Bush: America's economy is booming like never before. Since my election, we've added $ 10 trillion in wealth. We have secured record funding for our military, $ 700 billion this year, and $ 716 billion next year. With support from many countries here today, we have engaged with North Korea to replace the specter of conflict with a bold and new push for peace. I honor the right of every nation in this room to pursue its own customs, beliefs, and traditions. The United States will not tell you how to live or work or worship. We only ask that you honor our sovereignty in return.""]","President Donald Trump addresses the General Assembly of the United Nations during its 73rd session in New York City. He stresses the concept of ""America First"" and the country's desire to act according to its own interests, focusing on sovereignty over global governance."
13,"[' John McCain: There is a humanitarian and security crisis on our southern border that requires urgent action. Thousands of children are being exploited by ruthless coyotes and vicious cartels and gangs. One in three women is sexually assaulted on the dangerous journey north. McCain: Our immigration system should be the envy of the world, not a symbol of disunity and dysfunction. He says both sides in Washington must simply come together, listen to each other, put down their armor, build trust, reach across the aisle, and find solutions.']",President Donald Trump speaks about what he sees as a crisis with immigration on the southern border of the United States. He wants Congress to approved funding to build a wall along the southern border and to end the government shutdown that occurred after no agreement could be reached.
14,"["" John Boehner, John Boehner and John Boehner. John Boehner: America will recognize two important anniversaries that show us the majesty of America's mission, and the power of American pride this year. America will mark 75 years since the start of what General Dwight D. Eisenhower called the Great Crusade, the Allied liberation of Europe in World War II. In 2019, we also celebrate 50 years since brave young pilots flew a quarter of a million miles through space to plant the American flag on the face of the moon. Half a century later, we are joined by one of the Apollo 11 astronauts who planted that flag: Buzz Aldrin.""]","In his second State of the Union Address, President Donald Trump encourages Democrats and Republicans to work together to pass legislation. He praises the strength of the US economy and his efforts to improve trade agreements. He talks about immigration at the southern border of the country and the need to build a wall to prevent people from coming into the United States. He also touches on lowering prices for prescription drugs, ending HIV and AIDS, and outlawing late-term abortions. He ends with a focus on national security and the unstable situation in the Middle East."
15,"[' George W. Bush Jr. George H.W. Bush, George W., George Washington, George Washington. George Washington Jr. Bush. George George Washington Bush Jr., George George Bush, Jr. John Adams Adams, John Adams John Adams. George Herbert John Adams Jr., John Adams III. John Washington John Adams, George John Adams George Washington']",President Donald Trump declares a national emergency to help limit immigration into the United States from the southern border. He states that he wants to build a wall to stop drugs and gangs from coming into the country. He also discusses the strength of the in 1881. economy and takes questions from the press.
16,"[' John Kerry: ""The future does not belong to globalists. The future belongs to patriots"" John Kerry. John Kerry (John Kerry ( John Kerry) John Kennedy Kennedy ( John Kennedy) John Adams John Adams ( John Adams Adams) John Quincy Adams (John Adams Adams Jr.) John Adams III John Adams']","President Donald Trump speaks to the 74th session of the UN General Assembly. He praises nationalism and discounts globalism. Trump also focuses his speech on trade and the in 1881. trade relationship with China. Finally he talks about Iran, US border security, Afghanistan, and Venezuela."
17,"[' George W. Bush Jr. George H.W. Bush Sr. George George Washington, Jr. Bush, George Washington Bush, Jr., George Washington Jr. John Bush Sr., George George Bush Jr., John George Bush, John Bush III. George Bush Sr, George Bush III, John George Washington John Bush Jr,. George Bush George Bush II George Bush Junior, John John Bush George Washington George Bush. George Washington III George Bush Bush Jr, George George George John Bush Bush George George HW Bush George HW George Bush John Bush John Henry John Henry Bush George John Henry George Washington. George John Washington Bush John George Henry John George John George George Henry George George William Bush George William George George']",President Donald Trump holds a press conference after a whistleblower complaint against his conduct becomes public. At issue is a phone call President Trump had with President Volodymyr Zelensky of Ukraine in July 2019. The president also discusses his efforts to meet with other leaders during the UN General Assembly meeting and takes questions from the press.
