,Generated_Summary,Original_Summary
0,"[' John F. Kennedy Jr. John Kennedy Kennedy Junior. John Adams Kennedy. John John Adams Johnson, John Adams John Adams Jr. President John Adams. John Jay John Adams, John Jay Johnson. John A. Johnson, George Washington John Adams III. John Washington John John Washington. John James Madison John Adams Jnr. John Quincy Adams John Jay Adams John. John D. Washington, John D John Adams George Washington. George Washington Jnr., John Adams Adams John, John George Washington, Jr. George George Washington George Washington Galt John Adams Galt. John David John Adams Grant, John David Adams Grant. John William Adams Grant Jr., John John D George Washington Grant, George']","President Franklin Delano Roosevelt delivers the Inaugural Address following his election to his first of four Presidential terms.  The President recounts the nation's current economic hardships during the Great Depression and stresses the importance of addressing this issue.  Roosevelt pledges to propose solutions to aid in the economy's recovery, even if it requires unconventional methods to fight this “unprecedented task.”"
1,"[' John Adams Morgan Jr. John Adams Johnson, Jr. President John Adams John Adams Jr. James Madison Morgan, J. Edgar Hoover John Adams, Jr., J. Henry Morgan, John Adams Adams, and John Adams III. John John Adams J. Adams Jr., John Adams James Adams, John James Madison, and James Adams Johnson. John James Adams Adams Jr,. John Adams Kennedy, John Jay John Adams and John Jay Adams. John Jay Washington John Adams II. John J. Washington Adams Jr, John John James Washington Adams, George Washington Adams and George Washington Washington. John Washington Adams III, John George Washington, John Henry Adams III and James John Adams George Washington. George Washington John']","By the time of Roosevelt's inauguration, nearly all of the banks in the nation had temporarily closed in response to mass withdrawals by a panicked public. Roosevelt calms the fears of the nation and outlines his plan to restore confidence in the banking system."
2,"[' George W. Bush. Bush: ""We were faced by a condition and not a theory. There were just two alternatives: The first was to allow the foreclosures to continue, credit to be withheld and money to go into hiding"" Bush: I came to the conclusion that such a policy was too much to ask the American people to bear. He says Congress gave him generous and intelligent support.']","Sixty days into the ""First Hundred Days"" Roosevelt updates the nation on the progress of the special session of Congress that he called on March 5th. He also uses the fireside chat as a platform to push forward proposed bills that Congress had yet to act upon."
3,"[' John F. Kennedy Jr. John Kennedy Jnr. John F., John F, John John Kennedy Jr., John John John, John George Washington, John Adams John Adams. John Adams Johnson John Adams Jnr., John Adams Kennedy John Adams, John Jay John Adams Jr. George Washington Jnr, George Washington John AdamsJohn Adams John John Adams George John Adams III. John George John John Washington John John George Adams John Washington George Washington. John John Henry John Adams James Madison John Adams Adams John Jay. John Quincy Adams John Henry Adams John David John Adams Galt John Adams Grant John Adams and George Washington Galt. John Jay Galt, John Galt George Washington Grant George Washington']","Roosevelt defends the New Deal at the end of the First Hundred Days as a system of orderly, successful programs. He focuses specifically on building support for the National Recovery Administration. Through the NRA, the President hoped to stabilize the economy through better employment codes. No audio recording exists for this address."
4,"[' John F. Kennedy Jr. John Kennedy Jnr. John John Kennedy Junior. John Adams Kennedy Jr., John Adams Johnson, John Adams John Adams Jr. President John Adams Jnr., John Jay John Adams, John John Adams. John Jay Jnr,. John Adams Junior, John Jay Adams Jr, John George Washington John Adams III. John Washington Jnr, John James Madison John Adams JR. John James John Adams II. John George John AdamsJohn Adams John Kennedy John Jr. George John Washington John J. Kennedy John John John, John Henry John Adams George Washington. John Quincy Adams John. John Henry Washington John. Adams John John. George Washington Johnson, George John John Henry Johnson']","In the midst of discouraging economic news reports, Roosevelt tries to paint a positive picture of economic progress, emphasizing the NRA and AAA. The President also outlines a strategy for inflating currency to increase commodity prices, a policy he would later abandon after it failed to have the desired impact. No audio recording exists for this address."
5,"[' George W. Bush: Congress completed the work it had begun in March, 1933. President Bush: ""This Congress displayed a greater freedom from mere partisanship than any other peace-time Congress since the Administration of President Washington himself"" Bush: The session was distinguished by the extent and variety of legislation enacted and by the intelligence and good will of debate upon these measures. George Washington']","After summarizing the achievements of the seventy-third Congress, Roosevelt addresses the mounting criticism of his New Deal strategy  most notably former President Herbert Hoover. No audio recording exists for this address."
6,"[' John Adams Morgan. President John Adams Johnson. John Adams. John John Morgan. John A. Johnson, John Adams John. Morgan, John John. John. A. John, John. N. John Morgan, George Washington. John Jay John Adams, John Jay. John J. Adams John John John Adams Jr. John James Adams John Adams III. John George Washington John AdamsJohn Adams Johnathan Adams John Jay, John James Madison John Adams and John Adams Adams John Henry John Adams James Madison. John D. Washington John Jay Galt John Adams George Washington George Washington Galt. George Washington Johnson John Adams Galt, John George John Adams J. John Henry George Washington, John']","Five weeks before mid term elections, President Roosevelt addresses the relationship between management, labor, and government. He reprimands both labor and business for not fully cooperating with New Deal reforms but perhaps comes down harder on business, hinting at Roosevelt's movement to the left."
7,"["" George W. Bush. George H.W. Bush: Job of creating a program for the Nation's welfare is, in some respects, like the building of a ship. George Bush: The most difficult place in the world to get a clear open perspective of the country as a whole is Washington. George Washington""]","President Roosevelt begins his address by defending the New Deal as a unified program rather than a group of individual laws. He specifically champions the newly passed Works Progress Administration as a necessary program to combat unemployment. The President also introduces the Social Security Act, at the time awaiting action by Congress."
8,"[' John F. Kennedy: America will not forget these recent years, will not forgotten that the rescue was not a mere party task. John Adams: In our strength we rose together, rallied our energies together, applied the old rules of common sense, and together survived. George Washington']",President Roosevelt addresses the Democratic National Convention upon his acceptance of the Democratic Party's nomination for the 1936 Presidential election.   Roosevelt criticizes the actions of monopolies in the United States and stresses the need for economic equality in the country.  The President also states his previous efforts to aid the less fortunate and pledges his intentions to continue.
9,"["" George W Bush: 'I have been on a journey of husbandry. I saw drought devastation in nine states. I talked with families who had lost their wheat crop, lost their corn crop and lost their livestock, lost the water in their well' John Adams: 'No cracked earth, no blistering sun, no burning wind, no grasshoppers, are a permanent match for the indomitable American farmers and stockmen and their wives and children who have carried on through desperate days, and inspire us with their self reliance, their tenacity and their courage' George Washington""]","President Roosevelt seeks to remind farmers and laborers of how they rely on one another two months before the election, in which he successfully carries both the agricultural and industrial states. After the 1936 drought, the President outlines the relief efforts being made for the farmers, while also highlighting programs under way for labor."
