,Generated_Summary,Original_Summary
0,"[' Reagan: America today is a proud, free nation, decent and civil, a place we can not help but love. Reagan: The totalitarian era is passing, its old ideas blown away like leaves from an ancient, lifeless tree. New breeze is blowing, and a nation refreshed by freedom stands ready to push on, Reagan says.']","President George H. W. Bush stresses the importance of strengthening America through community involvement, a balanced budget, and bipartisanship."
1,"[' George W. Bush: ""The hand remains extended; the sleeves are rolled up; America is waiting; and now we must produce. Together, we can build a better America"" George W Bush: \'I intend, in the months and years to come, to give you what friends deserve: frankness, respect, and my best judgment about ways to improve America\'s future\' George Washington']",Bush reveals his plan to reduce the deficit without an increase in taxes. He also hopes to see increased investment and improvements in education.
2,"[' George W. Bush: ""I want to pay my special respects to our Governor, Bill Clements; to your Congressman from this district, Joe Barton; and then, of course, to Senator Phil Gramm"" George W Bush: I was brought here today by an Aggie, and I brought him here to this marvelous ceremony with me. George Washington']","President George H.W. Bush describes the success of containment in dealing with the Soviet Union, the superiority of free societies and markets, and the necessary steps toward an open relationship between the United States and the Soviet Union."
3,[' George W. Bush: No President takes such action lightly. George W Bush: I have no higher obligation than to safeguard the lives of American citizens. George Bush: The United States intends to withdraw the forces newly deployed to Panama as quickly as possible. George Washington Bush: U.S. fully committed to implement the Panama Canal treaties and turn over the Canal to Panama in the year 2000. George George Washington'],Bush justifies United States military intervention (Operation Just Cause) in Panama in terms of Noriega's attacks on Americans. He vows to uphold democracy in Panama and to fully implement the Panama Canal treaties.
4,"["" George H.W. Bush: The events of the year just ended, the Revolution of ' 89, have been a chain reaction, changes so striking that it marks the beginning of a new era in the world's affairs. George W Bush: America stands at the center of a widening circle of freedom, today, tomorrow, and into the next century. George Washington""]",President Bush contemplates the American model for democracy as Communist nations fall apart.
5,"["" George W. Bush: Americans for Disabilities Act is the world's first comprehensive declaration of equality for people with disabilities, the first. John Adams: “We hold these truths to be self evident, that all men are created equal, that they are endowed by their Creator with unalienable rights.” George Washington""]","Bush explains the importance of this civil rights act that will guarantee independence, freedom of choice, and equality to the disabled."
6,"[' George W. Bush: ""We stand today at a unique and extraordinary moment"" George W Bush: The crisis in the Persian Gulf offers a rare opportunity to move toward an historic period of cooperation. George Bush: Out of our fifth objective, a new world order, can emerge: a new era in which the nations of the world, North and South, can prosper and live in harmony. George Washington']","""It is Iraq against the world."" Bush describes Saddam Hussein's actions in the Persian Gulf as ""inhumane aggression."" He demands that Iraq pull out of Kuwait."
7,"[' George W. Bush: ""I have never been prouder that the United States is the host country for the United Nations"" George W Bush: The United Nations Security Council\'s response to Iraq\'s unprovoked aggression has been without precedent. George Washington Bush: Not since 1945 have we seen the real possibility of using the U.N. as it was designed: as a center for international collective security. George Bush: Two days from now, the world will be watching when the cold war is formally buried in Berlin.']",Bush emphasizes the need for a stronger United Nations in the post-Cold War era. He also highlights the importance of free elections and action against Iraq.
8,"["" John Kerry: Budget deficit is a cancer gnawing away at our nation's health. Kerry: If we fail to act, next year alone we will face a Federal budget deficit of more than $ 300 billion. John McCain: We must act this week, when Congress will hold the first of two crucial up-or-down votes on a deficit reduction agreement worked out between the administration and the bipartisan leaders of Congress. John Kerry""]","In a direct appeal to the American people, Bush asks for support for a deficit reduction agreement."
9,"[' George W. Bush: ""The world could wait no longer. Sanctions, though having some effect, showed no signs of accomplishing their objective"" Bush: U.S., U.N. exhausted every means at our disposal to bring this crisis to a peaceful end.']",Bush explains that the aerial invasion of Iraq comes after months of failed negotiations with Saddam Hussein. The United States enters Iraq with the support of twenty-eight nations and the United Nations.
10,"[' John Kerry: America has always led by example. Kerry: ""For two centuries, we\'ve done the hard work of freedom. And tonight, we lead the world in facing down a threat to decency and humanity"" Kerry: Americans know that leadership brings burdens and sacrifices. But we also know why the hopes of humanity turn to us. We are Americans; we have a unique responsibility to do the hardWork of freedom, John Kerry says.']",President Bush sees the allied invasion of Iraq as an indication of post-Cold War unity against aggression. He also discusses economic growth and the ability of the individual to affect change.
11,"[' George W. Bush: ""As Commander in Chief, I can report to you our armed forces fought with honor and valor"" George W Bush: I thank the Members of this Congress, support here for our troops in battle was overwhelming. George Bush: We must work to create new opportunities for peace and stability in the Middle East. George Washington']","Bush declares the end of the Persian Gulf War to be ""a victory for unprecedented international cooperation and diplomacy."""
12,"["" George W. Bush. George W Bush: I am proud to receive and I am honored to accept your nomination for President of the U.S. George Bush: This nomination's not for me alone. It is for the ideas, principles, and values that we stand for. George George Bush""]",Bush reflects on the successes of his administration and defends his stance on the economy and foreign policy.
13,"[' George W. Bush: ""I leave the White House grateful for what we have achieved together and also exhilarated by the promise of what can come to pass"" George W Bush: America remains today what Lincoln said it was more than a century ago, “the last best hope of man on Earth’ George Washington']","""The Soviet Union did not simply lose the Cold War; the Western democracies won it."" Bush says that the United States and the rest of the ""democratic community"" must continue to fight for democracy in the wake of the Cold War."
14,"[' George W. Bush. George H.W. Bush: ""I am about to get on with the rest of my life"" George W Bush: I want to share with you some of my thinking about the world you will soon be called upon to enter and the life that you have chosen. George Bush: The end of the cold war, we would all concede, is a blessing. It is a time of great promise. Democratic governments have never been so numerous. George Washington']","Bush says that the United States must promote peace without acting as the ""world's policeman."" He also recognizes the necessity of force in some cases."
