,Generated_Summary,Original_Summary
0,"[' John Kerry: We have a place, all of us, in a long story, a story we continue, but whose end we will not see. Kerry: The grandest of these ideals is an unfolding American promise that everyone belongs, that everyone deserves a chance. He says America has never been united by blood or birth or soil, but bound by ideals that lift us above our interests.']","George W. Bush delivers his inaugural address following his election to the first of his two Presidential terms.  The President recognizes and thanks his 2000 Presidential Election opponent, Vice President Al Gore, who contested Bush's victory until a recount of Florida's votes took place, the critical state in the Electoral College tally.  Bush also promises reductions in taxes, reforms in Social Security, Welfare and education, increases in defense, and intolerance of weapons of mass destruction."
1,"[' John Dilulio: ""I want to ensure that faith-based and community groups will always have a place at the table in our deliberations"" George W. Bush: ""We will not fund the religious activities of any group, but when people of faith provide social services, we will not discriminate against them"" George Washington']","President Bush delivers a speech in the Indian Treaty Room of the Dwight D. Eisenhower Executive Office Building to an audience of religious and community leaders, on federal initiatives to support religious and other community organizations."
2,"[' George W. Bush Jr. George W Bush, George H.W. Bush. George George Bush, Junior. George H W Bush Jr., John Bush, John Bush. John Bush Junior, John Henry George Bush III. George Bush Junior. John George Bush George. George Washington Bush, Jr. John John Bush George, John George George George Washington George. John Henry Bush George George, George George W George George. William Henry George George John John George John Washington George George III. John William George GeorgeGeorge Washington George III, George William George III George Washington John George Washington Henry George III John George Henry George John. George William John GeorgeGeorge George George Herbert John Henry John George III']","President Bush, in the presence of Nigerian President Olusegun Obasanjo and UN Secretary General Kofi Annan, proposes a global fund against HIV or AIDS, Malaria, and Tuberculosis, especially in Africa, as part of his policy pursuit of public health initiatives in Africa."
3,"[' George W. Bush. George W Bush. Bush: Tax cuts are a great day for America. George H.W. Bush Jr. George George W George Bush, Jr. Bush, George Washington. George Washington Bush Jr., George George Bush Sr. George Bush III, George George Washington George Bush II. George Herbert Walker Bush Jr,. George Washington']","President Bush remarks on the passage of the Economic Growth and Tax Relief Reconciliation Act, which he describes as “the first broad tax relief in a generation.”  The President emphasizes the act's widespread benefits to people of all economic classes.  Bush promised tax relief prior to entering office and delivered this act early in his first Presidential term."
4,"[' George W. Bush Jr. George H.W. Bush, Jr. John Bush, George George Bush Sr. George Bush Jr., George Bush, John George Bush III. George Washington Bush Jr, George Washington John Bush George George Washington George Bush Junior. George George John Bush Bush George Washington Kennedy George Bush George Bush Jnr. John George Washington Jnr., George George George William Bush George J. Bush George John Kennedy George Jnr,. George George Kennedy George George Henry Washington George Henry John George John Henry George Henry George George. George John George GeorgeGeorge Washington George George Jefferson George Henry J. George William George George III George Washington Henry George John Washington George WashingtonGeorge George John John George']","President Bush addresses the nation on his position on federal funding for stem cell research from the Bush Ranch in Crawford, Texas."
5,"["" George W. Bush: Terrorist attacks can shake the foundations of our biggest buildings, but they can not touch the foundation of America. George W Bush: America was targeted for attack because we're the brightest beacon for freedom and opportunity in the world. George Bush: We will make no distinction between the terrorists who committed these acts and those who harbor them. George Washington""]","President Bush addresses the nation on the terrorist attacks which occurred on the morning of September 11, 2001."
6,"[' George W. Bush: America is a country awakened to danger and called to defend freedom. George W Bush: Grief has turned to anger, and anger to resolution. George Bush: Whether we bring our enemies to justice, or bring justice to our enemies, justice will be done. George Washington']","President Bush addresses Congress on the US response to the terrorist attacks of September 11, 2001, including the proposed War on Terror."
7,"[' George W. Bush Jr. George Bush Sr. George George Bush, George Bush Jnr. George H.W. Bush George Bush Junior George Bush Jr., George Bush G. Bush John George Bush George George John John George John George George George. George Washington George Washington Bush George John Henry George George, George Washington John George. John John John Henry John George James George George Washington Henry George Jr. John James Washington George George III George George Henry George John James John George III. George John Washington George III John John James George John Edward Kennedy George George Kennedy John John Kennedy George John Kennedy John Kennedy. George James John John Edward John Kennedy, George John Robert Kennedy John George Kennedy Jr.']","President Bush visits Hamilton High School in Hamilton, Ohio to speak on the ""No Child Left Behind"" education reform bill entering Congress."
8,"[' George W. Bush: ""The state of our Union has never been stronger"" George W Bush: America and Afghanistan are now allies against terror. George Bush: Terrorists who once occupied Afghanistan now occupy cells at Guantanamo Bay. George George Bush Jr.: ""The war against terror is only beginning"" George Bush Jnr.: ""Our cause is just, and it continues""']","In his first State of the Union address, President George W. Bush focuses on the United States' response to the September 11th events.  He credits the United States military with having suppressed terrorist activity in Afghanistan, yet he allows that many terrorist training camps still exist in other countries. Bush refers to Iraq Regime and terrorist cells as an “axis of evil” that poses a real danger to global peace. He asserts that if the in 1881. were to look at the Iraq situation with indifference, the outcome would be “catastrophic.”"
9,"[' John Kerry: West Point is a guardian of values that have shaped soldiers who have shaped the history of the world. John Kerry and Laura Bush: In every corner of America, the words “West Point’s command immediate respect. George C. Marshall, a VMI graduate, is said to have given this order: “I want an officer for a secret and dangerous mission. I want a West Point football player.” George Washington']","President Bush delivers the Graduation Speech at the United States Military Academy in West Point, New York, discussing the state of national security and the nature of conflict in the 21st Century."
