,Generated_Summary,Original_Summary
0,"[' John Adams Adams. John Adams. The Declaration of Independence. The Constitution of the United States of America. The American Revolution. John John Adams and the Declaration of the Rights of Man. The United States. The Rights of the American People. The First Amendment to the U.S. Constitution. The Bill of Rights. The Second Amendment. The Fourteenth Amendment, the First Amendment, and the Second Amendment of the Constitution, to the US Constitution, the 14th Amendment and the US Declaration of independence from the French Revolution. The 14th and 15th Amendments. The 4th Amendment.']","Washington calls on Congress to avoid local and party partisanship and encourages the adoption of a Bill of Rights, without specifically calling them by name. The first President demonstrates his reluctance to accept the post, rejects any salary for the execution of his duties, and devotes a considerable part of the speech to his religious beliefs."
1,"[' John Adams Morgan was a 17th-century American statesman. He was a member of the Continental Congress. Morgan was the son of John Adams and John Adams. John Adams was a statesman and statesman who died in 1788. Morgan is a son of James Morgan, who was born in New Hampshire and died in Washington, D.C. in 1837.']","At the request of Congress, Washington establishes November 26th as a national holiday of thanks to God for the successful establishment of the Constitution and government and the liberties the citizens enjoy under the new United States."
2,"[' John Adams Morgan. John Adams. Morgan, 17th century American statesman, statesman and statesman. He was a member of the U.S. Senate and House of Representatives. He died in 1788. John John Adams, 1701-1788. He is buried in Mount Washington, North Carolina, near Raleigh.']","In a wide ranging speech, President Washington addresses the need for a regular army, better roads for communication, and taking a census. An important part of his message highlights the need for establishing a good system of education in the country as a way to guarantee all people understood their rights under the Constitution."
3,"[' George Washington dispatch. Letter to the U.S. Senate and House of Representatives. Letter from President George Washington. Letter addressed to the United States Senators and Representatives of the Senate and the House of Representative of the United\xa0 States. Letter also addressed to U. S. House and Senate of Representatives, and the people of Kentucky, the District of Virginia. Letter was addressed to both houses of Congress, and addressed to President John Adams, the 4th President of the US, John Adams (1765-1815.']","Washington focuses on commerce in his second address to Congress, outlining the recent loan deal made in Holland and praising the good harvests for maintaining good public credit. The President warns that any type of war on the seas could pose problems for in 1881. commerce, and he encourages developing a reliable form of American transportation of goods to avoid dependence on Europeans in matters of commerce."
4,"[' John John Livingston and Oliver Phelps have obtained your lands, assisted by Mr. Street of Niagara, and they have not complied with their agreement. John Livingston was not legally authorized to treat with you, and that every thing he did with you has been declared null and void. It does not appear from any proofs yet in the possession of government, that Oliver Phelps has defrauded you. If however you should have any just cause of complaint against him, and can make satisfactory proof thereof, the federal Courts will be open to you for redress, as to all other persons. Hear well, and let it be heard by every person in your Nation, that the President of the United States declares']","The President reassures the Seneca Nation that the new government of the United States devotes itself to the friendship and fair treatment of the Indians. Washington reminds the Indians of their rights to sell and refuse to sell land, assures them of fair treatment by government agents, and gives them the right to redress any of their grievances in American courts."
5,"[' George Washington dispatch to the Senate. George Washington Columbus. John Adams Morgan. John Patrick Henry Adams. John James Madison. John John Adams. James Madison, John Adams, George Washington. James Adams, John Jay, John Quincy Adams. Washington, D.C. John Jay John Adams George Washington, Jr. George John Adams Adams. George George Washington John Adams III. George Adams John Adams Jr., George Washington Adams Jr. John George Washington George Washington III. James John Adams John Washington, George George Adams, James Washington, John George Adams III, George John Washington. John Washington Adams, U.S. President John Adams and George Washington']","Washington praises the success of the new banks, renounces the need for any additional taxes, and congratulates the public on the good economic situation of the country. After pressing Congress to work on initiatives he proposed months before, the President updates Congress on the Indian situation, and he urges the country to open the justice system to the Indians wishing to use it."
6,"[' George Washington dispatch. John Adams, 17th century. George Washington. John Henry Adams, 16th Century. James Madison, 1703. John James Madison. John George Washington, 1708. John John Adams. John Madison, 1609. John William Adams, 7th century, John Adams and John James Adams, 9th century; John Adams III, 1701. John and John Adams Jr., 9th and 9th centuries. John Jay, 1707. John Quincy Adams, 8th and 8th centuries; John George Adams, 10th and 11th centuries, John James. John Washington, 12th and 12th centuries: John Adams & John Adams; George Washington']",President Washington returns a congressional redistricting bill citing inconsistencies in the proportion of representatives and the provisions laid out by the Constitution. This is the first presidential veto.
7,"["" George Washington dispatch. Letter to John Adams. John Adams: 'I have received authentic information, that certain lawless and wicked persons, of the western frontier in the State of Georgia, did lately invade, burn, and destroy a town belonging to the Cherokee nation, although in amity with the United States, and put to death several Indians of that nation' George Washington""]","Offering a reward for the capture of American citizens who attacked a Cherokee town, Washington urges American citizens to maintain the peace and the good faith of the United States."
8,"[' John Adams Adams. John Adams, 17th century US President. President of the United States John Adams. President John Adams Jr. John John Adams III John Adams John Adams II John Adams and John Adams I John Adams the Younger John Adams (1701-1762) John Adams']","In a simple, brief speech, Washington expresses his commitment to the Oath of Office and calls upon the people to reprimand him should he fail his duties."
9,"[' George Washington dispatch from 1783. Letter to the King George III. George III of George III, George III ( George III) George III George III: George George I. George George George, George Washington George ( George George III). George George John Washington George George. George John Adams George (George John Adams) George George Adams George George Washington. George Washington Adams George Washington Washington George. John Adams Washington George III John Adams ( George Washington John Adams). George Washington Henry George George II George George Henry George IIIGeorge Washington George Henry Washington George John Henry George II. George Henry John George GeorgeGeorge Henry George Henry Henry George John George Washington']",Washington declares United States neutrality in the face of emerging European conflicts. He warns citizens not to undermine the neutrality of the country at the risk of prosecution.
