,Generated_Summary,Original_Summary
0,"[' George Washington dispatch to Congress. Letter to the Senate and House of Representatives. President John Adams. John Adams, 17th President. Letter. President George Washington. John John Adams Jr. George Washington, 1709. John Jay John Adams III. John George Washington Jr., 1709- John Adams II. John James Madison, 1708- George Washington John Adams I. George George Washington III. George John Adams John Adams George Washington George Washington Jnr. George James Madison Jnr., 1707- George John John George Adams J. John Washington J. J. Henry George. George Henry George, 1788- John George George, George Washington Henry J. George, John Adams J']","Following violent attacks against Chinese immigrants in the Western United States, Cleveland asks Congress to reconsider legislation dealing with Chinese workers in the United States."
1,"[' George Washington dispatch to the Senate and House of Representatives. President John Adams: The value of labor as an element of national prosperity should be distinctly recognized. George Washington Post: George Washington postcard. John Adams. John Washington Post. John George Postcard. Washington Post, June 4, 18th, 1837.']","In a message to Congress, President Cleveland asserts that labor is a vital element of national prosperity and should be a concern of the federal government. He suggests the creation of a government committee to resolve disputes between labor and capital, making him the first President to do so."
2,"[' House Bill No. 1471, entitled “An act increasing the pension of Andrew J. Hill’s pension,” was returned to the House of Representatives without my approval. The policy of frequently reversing by special enactment the decisions of the Pension Bureau invested by law with the examination of pension claims is exceedingly questionable, he said. George Washington']",President Cleveland vetoes the first of several bills granting military pensions to Civil War Union veterans who had appealed to Congress after their claims were rejected by the Pensions Bureau. Hundreds of these claims are bogus.
3,"[' George Washington Carver Jr. George Washington C. Washington, Jr. Junior, George Washington, Junior, John Adams Carver, Jr., John Adams Adams, Jr,. George Washington. John Adams C. J. C. Carver. Jr., George Washington John Adams John Adams Jr., Jr. The George Washington Carpenter Jr. Collection. John John Adams Johnson, John George Washington Johnson, Jr, George John Adams Carr, George George Washington Carr, Jr.; George Washington Adams Johnson; George Washington Henry George Carver Junior. George George George C. Johnson Jr. John Henry George George John C. John George John Henry Johnson, Junior. John Washington George George Henry John Henry John John']","President Cleveland recommends to Congress that the nation accept France's gift of the Statue of Liberty. The gift commemorates the alliance between the two countries during the Revolutionary War. The statue will be placed on Liberty Island, adjacent to Ellis Island off the New Jersey coast. Ellis Island will serve as a welcoming center for the soaring number of immigrants to New York City."
4,[' George Washington dispatch. Letter to heads of departments and all officeholders in the General Government. Warns against use of official positions to control political movements in localities. Letter also warns against the manipulation of political primary meetings and nominating conventions. Letter is addressed to the Heads of Departments in the Service of the General government.'],Cleveland warns government employees against using their official positions for political purposes.
5,"[' House bill No. 10457, entitled “An act for the relief of dependent parents and honorably discharged soldiers and sailors who are now disabled and dependent upon their own labor for support.” This is the first general bill that has been sanctioned by the Congress since the close of the late civil war permitting a pension to the soldiers who served in that war upon the ground of service and present disability alone. No corresponding number of statutes have ever been passed to cover every kind of injury or disability incurred in the service of any war or in the line of military duty.']","Cleveland vetoes the Dependent Pension Bill, which would have given a military pension to anyone serving a minimum of ninety days in any war. He argues that the bill will only encourage fraudulent assertions."
6,[' House Bill No. 10203. Bill would allow special distribution of seeds in drought-stricken counties of Texas. House Speaker John Tyler Hagan: I can find no warrant for such an appropriation in the Constitution. John Adams: The friendliness and charity of our countrymen can always be relied upon to relieve their fellow citizens in misfortune.'],"President Cleveland vetoes the Texas Seed Bill, which was designed to provide relief to drought-stricken farmers. Cleveland believes the bill oversteps the powers of the federal government."
7,"[' Regime revokes the rules known as “Amended Civil-Service Rules” and “Special Rule No. 1,” heretofore promulgated under the power and authority referred to herein. No officer in the executive civil service who shall use his official authority or influence for the purpose of interfering with an election or controlling the result thereof. No noncompetitive examination shall be held except under the following conditions: The failure of competent persons to be, after due notice, competitively examined, thus making it impracticable to supply to the appointing officer in due time the names of persons who have passed a competitive examination. The Commission may refuse to examine an applicant who would']","The Civil Service Commission announces amended rules, prompting President Cleveland to respond with a letter containing detailed objections. Cleveland is a proponent of civil service reform, and by the time he leaves office in 1889, he will have expanded the list of classified positions filled under the merit system from sixteen thousand to twenty-seven thousand."
8,"[' John Adams Madison. James Madison. John Adams. Madison. The experiment of blending the social habits and mutual race. idiosyncrasies of the Chinese laboring classes with those of the great body of the. the people of the United States has been proved in every sense unwise, impolitic, and injurious to both. nations.']","Cleveland renews the Chinese Exclusion Act, restricting Chinese immigration to the United States. The law prohibits Chinese immigrants who return to China from coming back to the in 1881.. President Chester Arthur passed the first such bill in 1882. Barriers to Chinese immigration would not be eradicated until 1943."
9,"[' John Adams Morgan. Morgan: ""The business situation is so critical and the legislative situation so unpromising, with the omission thus far on the part of Congress to beneficially enlarge the powers of the Secretary of the Treasury in the premises, as to enjoin immediate Executive action with the facilities now at hand"" Morgan: The difference in the estimation of investors between bonds made. payable in coin and those specifically made payable in gold is represented by three fourths of a cent in. annual interest in favor of the latter.']","President Cleveland sends a message to Congress announcing a third treasury bond sale to a syndicate headed by J.P. Morgan, which restores gold reserves and validates the credit of the government."
