,Generated_Summary,Original_Summary
0,"[' Franklin Delano Roosevelt. Roosevelt: The world knows it has lost a heroic champion of justice and freedom. Tragic fate has thrust upon us grave responsibilities. Our departed leader never looked backward. He looked forward and moved forward. That is what he would want us to do. America will never cease our struggle to preserve and maintain our American way of life. Nothing shall shake our determination to punish the war criminals even though we must pursue them to the ends of the earth. Lasting peace can never be secured if we permit our dangerous opponents to plot future wars with impunity at any mountain retreat, however distant. Real security will be found only in law and in justice.']","In this address to Congress at the Capitol in Washington, D.C.., Truman honors the memory of recently deceased President Franklin D. Roosevelt. Truman also vows to support the ideals of justice, peace, and liberty and calls on the nation to remain focused and dedicated to the fight for freedom and the eventual defeat of Nazi Germany and Japan."
1,"[' Harry S. Truman: ""Our victory is but half-won. The West is free, but the East is still in bondage to the treacherous tyranny of the Japanese"" Truman: We must work to bind up the wounds of a suffering world, to build an abiding peace, a peace rooted in justice and in law. Sunday, May 13, 1945, should be a day of prayer, Truman says.']",This broadcast to the American people formally announces the unconditional surrender of Nazi Germany. Truman praises the hard work and sacrifice of the American people but reminds them that the war continues in the Far East.
2,"[' John D. Rockefeller, Jr. John John Adams Johnson. John Adams, John Adams Jr., John Adams John Adams and John Adams. John D John Adams Jnr., John John Washington Johnson, John D George Washington Johnson. George Washington Jnr. John George Washington John Adams Junior, John George John Adams James Madison Johnson, James Adams Johnson, George Washington George Washington. John Washington John Johnson John Adams II, John James Madison John AdamsJohn Adams Johnson Jr., George Washington James Madison Jnr, John John John James Adams John James Washington Johnson Jr. James John Adams George Washington Johnston Jr. George John James Johnson Johnson Jr, George John John George Johnson Jnr,. George John George George']","President Truman reports on the United States' use of the atomic bomb on Hiroshima, Japan, as an alternative to a land invasion to defeat Japan in World War II.  In the address, the President describes the destructive force of the new weapon and the secrecy regarding its creation."
3,"[' John Foster Dulles, Jr. John Foster Foxx. John Kennedy Dulles Jr. President of the United States of America. John John Kennedy Foxx John Kennedy Jr. U.S. President John Kennedy John Kennedy Jnr. John F. Kennedy Japsapsaps John John John Japs Kennedy John John Adams Kennedy John Adams. John Adams John Adams Japs John Adams Johnson John Adams Jr. George Washington']","In this radio address, delivered after the conclusion of the European theater of World War II, Harry S. Truman explains the Allies' objective to obtain war reparations from Germany.  Moreover, the President emphasizes the need to support European nations in their rebuilding efforts following the war's devastation.  Truman references the Pacific theater of the war as well, demanding surrender by Japan."
4,"[' John F. Kennedy: ""We have had our day of rejoicing over this day of our victory over this victory over our enemies"" Kennedy: The evil done by the Japanese war lords can never be repaired or forgotten. We think of those whom death in this war has hurt, taking from them fathers, husbands, sons, brothers, and sisters whom they loved. No victory can bring back the faces they longed to see, only the knowledge that the victory, which these sacrifices have made possible, will be wisely used, can give them any comfort.']","In this radio address to the American people after the signing of the terms of Japan's unconditional surrender aboard the in 1881.S. Missouri, Truman praises the sacrifice made by so many American soldiers as well the dedication to the war effort by Americans on the home front. The President credits the Spirit of Liberty, the freedom of the individual, and the personal dignity of man as the forces which led to victory but also warns the difficult peace that lay ahead."
5,"[' John F. Kennedy, Jr. President John Fitzgerald Kennedy Jr. John Kennedy Jr., John John Adams Kennedy, John Adams John Adams. John Adams JFK, John John John Kennedy, Junior John Adams Jr. U.S. Navy, Marine Corps, and Coast Guard. Navy opened a highway for the armies and air forces of the United States. They landed our gallant men, millions of them, on the beachheads of final triumph. Fighting from Murmansk, the English Channel and the Tyrrhenian Sea, to Midway, Guadalcanal, Leyte Gulf and Okinawa, they won the greatest naval victories in history. New York joins the rest of the Nation']","In this address to a New York City audience, Truman pays tribute to the four million men and women in the Navy, Marines, and Coast Guard and to the ships which carried them to victory in World War II. The President describes the need of four principal military tasks and the fundamentals of American foreign policy all of which are directed not toward war or conquest, but rather toward a lasting peace."
6,[' Greek Government has appealed for financial and economic assistance. Greece must have assistance if it is to become a self supporting and self respecting democracy. Greece is not a rich country. Lack of sufficient natural resources has always forced the Greek people to work hard to make both ends meet. We have already extended to Greece certain types of relief and economic aid but these are inadequate. No other country is willing and able to provide the necessary support for a democratic Greek government.'],"In this address before a joint session of Congress, Truman asks for $400 million in military and economic assistance for Greece and Turkey and establishes the Truman Doctrine, which pledges American support for free peoples who are resisting subjugation by armed minorities or outside pressures such as communism."
7,"[' George W. Bush: Taft-Hartley labor bill is bad for labor, bad for management, and bad for the country. Bush says he would gladly have signed a labor bill if it had taken us in the right direction of stable, peaceful labor relations. He says bill would take bargaining power away from the workers and give more power to management. Bill would make unions liable for damage suits for actions which have long been considered lawful, Bush says.']","In this radio address to American people on the presidential veto of the Taft-Hartley Bill, Truman claims the bill is bad for labor, bad for management, and bad for the Nation. The President asserts that the bill's restrictions on workers go far beyond what the American people believe, and he would not, under any circumstances, sign the bill."
8,"[' Roosevelt: ""We have reached a turning point in the long history of our country\'s efforts to guarantee freedom and equality to all our citizens"" Roosevelt: We believe that every man should be free to live his life as he wishes, limited only by his responsibility to his fellow countrymen. Roosevelt: Civil rights laws written in the early years of our Republic, and the traditions which have been built upon them, are precious to us. ""We can not be content with a civil liberties program which emphasizes only the need of protection against the possibility of tyranny by the Government. We can not stop there. We must keep moving forward, with new concepts of civil rights to safeguard our heritage,"" he']","With this speech to the National Association for the Advancement of Colored People at the Lincoln Memorial in Washington, D.C.., Truman becomes the first President to address the NAACP. He states there is no justifiable reason for discrimination because of ancestry, religion, race, or color. He further claims that the United States must not tolerate such limitations on the freedom of any Americans and on their enjoyment of the basic rights which every citizen in a truly democratic society must possess."
9,"["" John F. Kennedy Jr. John Kennedy Junior: I accept the nomination of the Democratic Party. John John Kennedy Jr.: I am sorry that the microphones are in the way, but I must leave them the way they are because I have got to be able to see what I am doing, as I am always able to See what I'm doing. George Washington""]","In this address in Philadelphia, President Truman accepts the 1948 presidential nomination of the Democratic National Convention. He then presents the Democratic platform and criticizes the Republican platform with a particularly passionate critique of the Republican 80th Congress."
