,Generated_Summary,Original_Summary
0,[' John McCain: The Republican Party has always reflected the spirit of the American people. McCain: Never has it done more for the advancement of fundamental progress than during the past seven and a half years since we took over the Government amidst the ruin left by war. John Kennedy: Government today deals with an economic and social system vastly more intricate and delicately adjusted than ever before.'],"In Herbert Hoover's penultimate speech of his successful presidential campaign, the self made millionaire expresses his belief that the American system is based on ""rugged individualism"" and ""self reliance."" He suggests that government, which had necessarily assumed unprecedented economic powers during World War I, should retreat, and cease to interfere with businesses."
1,[' John Sherman: Vote in the Senate today at best adds further delay to farm relief and may gravely jeopardize the enactment of legislation. Bill would create Federal Farm Board endowed with extraordinary authority to reorganize the marketing system in the interest of the farmer. Report was agreed to by members of both parties and would remove the agricultural problem from politics and place it in the realm of business.'],"President Hoover makes a statement in June, 1929 regarding the Farm Relief Bill (Agricultural Marketing Act), which Hoover calls the “most important measure ever passed by Congress in aid of a single industry.” On June 15th, 1929, Hoover signs the Agricultural Marketing Act to revitalize the increasingly poor market for farm products. It represents a marked reversal in federal policy; Coolidge had vetoed a number of similar bills designed to aid farmers during his presidency."
2,"[' John Adams first came John Adams, who had taken over the reins of administration of the newly established republic from George Washington. Each President in the long procession of years down to Roosevelt worked at this fireside. In this room have been taken those reluctant steps which have led our Nation to war and those willing steps that have again led to peace. Never have we had a President who was either a pacifist or a militarist. Never has there been a President. who did not pray that his administration might be one of peace, and. that peace should be more assured for his successor.']",President Hoover delivers a radio message regarding international peace and arms reduction efforts.
3,"[' George Osborne says the economy is on a sound and prosperous basis. Wages and output per worker in many industries again shows an increase, all of which indicates a healthy condition. The construction and building material industries have been to some extent affected by the high interest rates induced by stock speculation and there has been some seasonal decrease in one or two other industries but these movements are of secondary character when considered in the whole situation.']","President Hoover delivers a message regarding the national economic situation and the events of “Black Thursday,” October 24, 1929, assuring that the economy is still sound."
4,"[' John Taylor Giffords. John Taylor Teller. John T. Gifford, Jr. John Tyler Teller, Jr., John Teller Jr., Publisher, Publisher, Editor, Publisher. John John T T. Teller Sr., Publisher. Publisher, publisher, Publisher,. Publisher, Writer, Writer. John Giffard Teller Teller Jnr., Publisher,. Writer, Publisher; Writer, Editor. George Washington Post. John George Washington Teller,. Publisher. George George T. Washington Post, Publisher: John George Teller John Terence Terence, George Terence. John Washington Terence Jr., Editor, George Washington Washington Post,. Publisher; Publisher, George']","In a press conference, President Hoover provides an overview of the economic situation."
5,"[' John Adams Morgan. Morgan: We are dealing here with a psychological situation to a very considerable degree. It is a question of fear. We have had a collapse in the stock market, out of which a good many people have lost money, and a lot of unfortunate people have been brought in. The real problem and the interpretation of it is one of maintenance of employment. This is not a. question of bolstering stock markets or stock prices or anything of that kind. We are. dealing with the vital question of maintaining employment in the United States and consequently the. comfort and standard of living of the people and their. ability to buy goods and proceed in the normal course of their lives']",President Hoover makes a statement on the economy at a daily press conference.
6,"[' John D. Rockefeller, Jr., Jr. “The Departments of Commerce and Labor are engaged in the usual monthly survey of business and unemployment.” “Unemployment amounting to distress is in the main concentrated in 12 States. The authorities in the remaining 36 States indicate only normal seasonal unemployment or that the minor abnormal unemployment is being rapidly absorbed”']",President Hoover makes a brief statement providing the results from a survey of business and unemployment conducted by the Departments of Commerce and Labor.
7,"[' John Adams Morgan. Morgan: ""We have already 11,985 prisoners in federal establishments built for 6,946. The overcrowding of the prisons themselves is inhumane and accentuates criminal tendencies"" Morgan: We have within the limits of existing legislation improved the personnel and greatly increased the efficiency of the existing federal machinery in criminal law enforcement during the past year. The D.C. District of Columbia is without an adequate prohibition enforcement law.']",President Hoover sends a message to Congress recommending certain improvements be made in criminal law enforcement.
8,"[' John F. Kennedy Jr. John John Kennedy Junior. John F., John John John F, John John, John Adams John Adams. John Adams Johnson. John Jay John Adams J. John George Washington. John Patrick Henry John Adams III. John Quincy Adams John John Adams, Jr. George Washington John Adams Jr. President John AdamsJohn Adams John Quincy John Henry John. John D. George John Adams II. John James Madison John Adams IV. John Francis John Adams George. George Adams John III. George George Washington George. John Washington John. Adams John, George WashingtonJohn Adams, III. President George Washington Washington George Washington Henry John John Jay. John David Adams, John George John']","The Smoot-Hawley Tariff raises duties prohibitively high on many imports. President Hoover signs the Smoot-Hawley Tariff act on June 17 against the urgings of many economists. Rather than solve the economic crash, the act causes other countries to follow America's lead by raising their tariffs. Such ""economic nationalism"" exacerbates both the international depression and nationalist tensions."
9,"[' John F. Kennedy Jr. John Kennedy Jnr. John John Kennedy Jr., John John John Adams Kennedy, John Adams John Adams. John Adams Jnr., John Adams Johnson, John Jay John Adams Jr. U.S. Supreme Court Justice John Adams James Madison Kennedy, Jr. James Madison John Adams, J. A. Kennedy John Adams III John Adams']",President Hoover delivers a special session message to the Senate urging the ratification of the London Naval Treaty.
