,Generated_Summary,Original_Summary
0,"[' John F. Kennedy: I accept nomination with a deep sense of duty and high resolve. John Kennedy: ""I accept it with a full and grateful heart, without reservation, and with only one obligation, the obligation to lead our party back to victory and our Nation back to greatness"" George Washington']","At Memorial Coliseum in Los Angeles, California, Kennedy calls for the ""New Frontier,"" his successor to the ""New Deal"" and the ""Fair Deal."""
1,"["" John F. Kennedy. John Kennedy: I believe in an America where the separation of church and state is absolute. Kennedy: No man is denied public office merely because his religion differs from the President who might appoint him or the people who might elect him. JFK: I would not look with favor upon a President working to subvert the first amendment's guarantees of religious liberty.""]","This speech was recorded at the Rice Hotel in Houston, Texas, and runs for 11:32. Kennedy stresses the importance of separation of church and state and condemns nations without religious liberty and tolerance. Kennedy de emphasizes the importance of Catholicism in his candidacy."
2,"["" John F. Kennedy Jr. John Kennedy Jr.: I am not here to bid farewell to Massachusetts. Kennedy: For forty-three years, whether I was in London, Washington, the South Pacific, or elsewhere, this has been my home; and, God willing, wherever I serve, this shall remain my home. JFK: The enduring qualities of Massachusetts, the common threads woven by the Pilgrim and the Puritan, the fisherman and the farmer, the Yankee and the immigrant, will not be and could not be forgotten in this nation's executive mansion.""]","In Boston, Massachusetts, Kennedy gives his last formal address before assuming the presidency. He articulates the characteristics of leadership that he will try to model in his administration."
3,"[' John Kennedy Kennedy: ""We observe today not a victory of party but a celebration of freedom"" Kennedy: We pledge to pay any price, bear any burden, meet any hardship, support any friend, oppose any foe to assure the survival and the success of liberty. Kennedy: United, there is little we can not do in a host of cooperative ventures; divided, we dare not meet a powerful challenge at odds and split asunder. John Kennedy: Let us never negotiate out of fear of fear, but let us never fear to explore what problems unite us instead of belaboring those problems which divide us.']","In his Inaugural Address, Kennedy pledges to support liberty, commit to allies, avoid tyranny, aid the underprivileged throughout the world, and strengthen the Americas. Kennedy challenges Communist nations to engage in a dialogue with the United States to ensure world peace and stability. The speech is best known for the words: ""Ask not what your country can do for you ask what you can do for your country."""
4,"[' John F. Kennedy Jr. John Kennedy Junior. John Adams Kennedy Jr., John Adams Johnson, John Adams John Adams Jr. President John Adams J. John John Adams, Jr. James Adams Johnson. John Jay John Adams III John Adams Junior, John Jay Adams Jr., George John Adams. George Washington John AdamsJohn Adams John Kennedy John Kennedy, Jr,. John Adams Adams Johnson Jr. George John Washington John John Kennedy Johnson, Jr, John George Washington Johnson, Junior. George George Washington Kennedy, Junior, George Washington, John John John Washington, Jr., James John Adams II. John Washington Kennedy Jr, George John John George Adams, John Quincy Adams, III. John Henry John Adams']","President Kennedy delivers his first State of the Union before Congress only ten days after his inauguration. He discusses his many goals for the next four years, including economic growth in the United States and attentiveness to the rising Communist movements in China and Latin America. While Kennedy describes the state of the world as one fraught with danger and uncertainty, he expresses great confidence in the commitment of American government, the still-young United Nations, and the notion of American freedom which he believes will serve as an inspiration during the Cold War."
5,"[' John F. Kennedy, Jr. John Kennedy, John Adams Kennedy and John Adams Johnson. John Adams John Adams, John John Adams Jr., John Adams Jnr. John Washington John Adams III John Adams James Madison John AdamsJohn Adams Johnson John Adams. John John Washington Jnr John Adams George Washington George Washington. John Jay John Adams Junior John Adams Adams George John Adams Joseph Jefferson John Adams Johns Hopkins John Adams Henry John Adams King John Adams David Adams. George Washington David Adams John Jay Adams John Washington George Adams John David Adams Adams John George Washington John Jay David Adams, George Washington Adams John Henry David John Adams and George Washington Henry David Williams John Adams Washington John Washington Adams. President John Adams']","President Kennedy offers several remarks on the Youth Fitness Program. He encourages vigorous, participatory lifestyles for the youth of the West and makes mention of the Peace Corps, which he plans to implement so that young men and women may go and spread education abroad."
6,"[' Peace Corps will be a pool of trained American men and women sent overseas by the U.S. Government or through private institutions and organizations. It is our hope to have 500 or more people in the field by the end of the year. We will only send abroad Americans who are wanted by the host country, who have a real job to do, and who are qualified to do that job. There will be no salary and allowances will be at a level sufficient only to maintain health and meet basic needs. Men and women will be expected to work and live alongside the nationals of the country in which they are stationed, doing the same work, eating the same food, talking the same language']","Recorded at a news conference held in the State Department Auditorium, Kennedy states that the Peace Corps is a tool to help qualified individuals assist the underdeveloped throughout the world, not a tool of propaganda. The President notes that a decent life acts as the foundation for peace and freedom."
7,"[' George W. Bush Jr. George H.W. Bush Sr. George Bush Jr., George George Bush, Jr. John Bush Bush, George George Washington Bush, John Adams Bush. George Washington Washington Bush Sr., John Adams Kennedy George Washington, George Washington. George George Kennedy Bush Jr,. George Washington Kennedy, John George Bush III. John George Washington George Bush George Washington Jr., John George Kennedy, George Herbert John Adams, John John Adams. George John Adams John Adams George Washington III, John Washington George Washington John Adams III.']",President Kennedy speaks at the Waldorf-Astoria Hotel in New York City before the American Newspaper Publishers Association. Kennedy asks the press for their cooperation in fighting Communism by applying the same standards for publishing sensitive materials in the current Cold War that they would apply in an officially declared war.
8,"["" John Adams and John Quincy Adams had an intimate relationship with Harvard University. John Adams was a member of the board of overseers at Harvard. George Washington and Lee shows intimate relationship, for General Lee, was willing to devote his life at the end of the war to educating the men and women of the South, indicated his understanding of this basic precept. I don't think that there has ever been a time when we have had greater need for those qualities which a university produces.""]","President Kennedy gives some remarks as he accepts an honorary degree bestowed by George Washington University. He describes the importance of universities in the time of the Cold War, and explains that though democracies may seem disadvantaged by their divisions, he believes “over the long run people want to be free,” and the West is capable of providing that freedom."
9,"[' John F. Kennedy Jr. John Adams Kennedy Jr., John Adams Johnson, John Adams John Adams Jr. President John Adams Junior, John John Adams, John George Washington, George Washington John Adams III. John Jay John Adams Jnr., John John Washington, John Jay Washington, Jr. George Washington Jnr. John John John George John Adams George Washington George WashingtonJohn Adams John Washington John Kennedy John, Jr., George George Washington. John George George John Washington J. John James John AdamsJohn Adams J. J. Washington, J. George John John Henry John Adams JR. John Alexander John John English John John America John John Patrick Adams John Patrick Henry John Patrick John Adams. John Patrick']","President Kennedy provides an address before the assembled members of the Canadian Parliament in Ottawa. He states in French, “I feel that I am truly among friends,” and emphasizes warm relations between the United States and Canada throughout his speech. He also discusses the goals for further North Atlantic Treaty Organization (NATO) action to promote American and Canadian interests and security."
