,Generated_Summary,Original_Summary
0,"[' John Adams Morgan: ""We are called to honor our own words of reverent prayer with resolution in the deeds we must perform to preserve peace and the hope of freedom"" Morgan: We as a nation have failed ourselves by not trusting the law and by not using the law to gain sooner the ends of justice which law alone serves. ""It is deceit to promise more as it would be cowardice to demand less. In this hour, it is not our respective races which are at stake it is our nation. Let those who care for their country come forward, North and South, white and Negro, to lead the way through this moment of challenge and decision""']",Johnson challenges the nation to transform the laws and proclamations about equality from rhetoric to fact by persevering together for the sake of the entire nation.
1,[' John F. Kennedy Jr. John Fitzgerald Kennedy lives on in the immortal words and works that he left behind. John F Kennedy Jr.: All I have I would have given gladly not to be standing here today. John John Kennedy Jr: John John John. John Kennedy Jnr. George Washington'],President Johnson addresses Congress and the American public only a few days after the assassination of John F. Kennedy. He talks about carrying out the work and wishes of Kennedy and coming together as one nation.
2,"["" John F. Kennedy Jr.'s legacy will live on in the U.S. John Kennedy Jr. John Fitzgerald Kennedy, John John John Kennedy, Jr. President John Kennedy Kennedy, J.F. Kennedy Jnr. John John Fitzgerald John Kennedy John John George Kennedy Jr., John George John Kennedy J. George John John Adams Kennedy, George John Adams J. John Adams, John Adams John Adams Johnson, George Washington""]","Johnson outlines the goals of his administration, which emphasize domestic problems like poverty, high taxes, an unbalanced budget and racial discrimination. In his 10-point foreign policy agenda, the President highlights programs that encourage peace through food, science, and alliances instead of stockpiling weapons."
3,"[' George W. Bush Jr. President John F. Kennedy, Jr. George H.W. Bush, Jr., Jr. Kennedy Jr. John John F., George F. George George Bush, JR. George F., Jr., George George George John George Washington, Jr, George George Herbert John John George Bush Jr., John George John Kennedy, George Washington John Kennedy III. George John John Kennedy John George Kennedy Jr, John George George Washington Bush, John John Henry John Kennedy Jr,. George John Washington John Henry George Washington III, George John William George Washington George Washington J. John Henry J. George Washington. George Henry John John John Washington, J. Henry John George J. Kennedy']","President Johnson holds a press conference to issue general announcements from the White House and field questions from members of the press. Foreign policy and early campaigning efforts for the 1964 presidential election are discussed, as is the progress of civil rights legislature and the consideration of women as a group which faces discrimination."
4,"[' John Kerry: Mexico and the U.S. have walked a common road. Kerry: No American conscience can be at peace while any American is jobless, hungry, uneducated, and ignored. Kennedy: In South Viet-Nam, terror and violence, directed and supplied by outside enemies, press against the lives and the liberties of a people who seek only to be left in peace.']",President Johnson uses the familiar theme of democracy as a heritage and an impetus for the United States' pursuit of peace around the world.  He outlines current international problems and the United States' role in resolving them.  Johnson also mentions the successes of freedom and emphasizes the in 1881. desire and responsibility to reward the peaceful actions of foreign nations.
5,"[' George W. Bush. George H.W. Bush, George W Bush, John F. Kennedy Jr. George Bush Jr., George H W. John Kennedy, George Herbert Hoover. George W George Washington Bush, Jr. John John George Washington, George Washington George Washington. George Washington Washington, Jr., John John John Washington, John George George Washington,. George Washington Henry George Bush, III. George Herbert John George, George George Herbert George, III George Washington John George. George George George Bush III George George John George Bush George Washington III George John John Henry, George John Henry. George John Washington George George III George Henry George III John Henry George George Henry John Henry John, George']","President Johnson holds a press conference at the State Department following his announcement of several nominations and appointments of State Department personnel. The press conference was not convened to discuss a single issue, but touches on foreign policy, President Johnson's first 100 days in office, and the impending presidential election in the fall."
6,"[' John F. Kennedy, Jr. John Adams, John Adams Jr., John Adams III, John John Adams and John Adams John Adams. President Truman and Mrs. Johnson will go as my personal representatives to the funeral of King Paul. I am very pleased by early action to the tax cut and to the outlook for the economy in general. New figures on business intentions to invest in plant and equipment will be released this week. The Dow Jones Index of industrial stocks was 711 on November 22, and it was 806 yesterday. The revised Consumers Price Index last week was well paved in January only one-tenth of a percent above December. Twenty-two new women have been appointed to']","President Johnson holds a press conference at the White House where he announces several appointments, the creation of the Commission of Heart Disease, Cancer, and Stroke, and relations in South America. Questions address the subjects of President Johnson's views on the vice presidency and American interaction with the Soviet Union and Vietnam."
7,"[' John F. Kennedy Junior. President John Kennedy Junior, John Adams Kennedy. John Adams John Adams Johnson, John Jay John Adams Jr. John Jay Johnson. John John Kennedy John Adams, John John Adams Junior. John Kennedy Kennedy Jr., John AdamsJohn Adams John John John, George Washington John Adams. John Washington John, John Quincy Adams, Jr. George Washington. John Quincy John John. John Patrick Henry John Adams III John John Patrick John Adams George Washington, John James John Adams II. John James Audubon John Adams Jnr. John J. Adams John James Madison John Adams James Madison. John George Washington George Washington Johnson John Adams Adams, George George Washington Johns Hopkins John Adams']","President Johnson speaks at the State Department, briefly discussing the state of the nation's economy before moving onto questions from the press. There is discussion on the strength of the military, Medicare, and how Johnson's support for pending civil rights legislation may influence the outcome of the approaching election."
8,"[' John F. Kennedy, Jr. President John Fitzgerald Kennedy. President Kennedy Jr. John Kennedy, J. Edgar Hoover, John Adams Johnson. John Adams Kennedy Jr., John Adams John Adams, John John Adams. John Jay John Adams J. Kennedy Jr,. John Adams Adams, George Washington John Adams III. George Washington']","President Johnson speaks at a press conference on the South Lawn of the White House. After speaking about the economy, President Johnson answers questions related to a variety of topics including military strategy in Vietnam, the boycott of Cuba, and his “War on Poverty” programs."
9,"["" John F. Kennedy, Jr. John F., John F.: America's Great Society rests on abundance and liberty for all. John: The Great Society is a place where every child can find knowledge to enrich his mind and to enlarge his talents. John John: We have always prided ourselves on being strong and free, but America is not only the free America, but the strong America of the Great Society. John G. Kennedy Jr.: We must rebuild the entire urban United States in the next 40 years. John, John: It is harder and harder to live the good life in U.S. cities today. John Kennedy Jr.""]","Johnson illustrates his vision for a Great Society in America, as he challenges graduates to continue working to improve the nation. This plan for domestic reform concentrates on revitalizing cities, beautifying the countryside, and reforming the educational system."
10,"[' John F. Kennedy\'s Civil Rights Act of 1964 will be signed into law. President John Kennedy: ""We believe that all men are created equal. Yet many are denied equal treatment"" John Adams: ""The only limit to a man\'s hope for happiness, and for the future of his children, shall be his own ability"" George Washington']",The President notes the discrepancies between the freedoms outlined in the Constitution and the reality of life in America before praising the Civil Rights Bill for outlawing such differences. Johnson also sets out his plan for enforcing the law and asks citizens to remove injustices in all communities.
11,"[' George H.W. Bush. Bush: New SR-71 aircraft will fly at more than three times the speed of sound. U.S. trade surplus in agriculture last year was over $ 2 billion, the highest in 50 years. George W. Bush']","President Johnson speaks at a press conference held at the State Department. Questions from the press mostly pertain to United States strategy in Vietnam and Senator Barry Goldwater, Johnson's primary opponent in the presidential election in the fall."
12,"[' John F. Kennedy Jr. President John F Kennedy Junior. John F John Kennedy Junior, Jr. John John F JFK Junior, John F J. Kennedy JR. John Adams Kennedy Jr., John John John George Washington John Adams Johnson, John Adams John Adams. John George John Adams, John John Kennedy John Adams Jr. George John John Adams III. John Jay John Adams Jnr., John F George John George Johnson, George Washington George Washington Johnson. George Washington Jnr. John Fitzgerald Kennedy Jnr, George John Fitzgerald John John Henry John Henry Johnson. John Francis Kennedy John Henry Jnr,. John John Washington John John Johnson John Adams George Washington. George George John Kennedy Johnson John John']","Johnson informs the American people of the attack on in 1881. warships in the Gulf of Tonkin by gunboats from North Vietnam, and reports that a retaliatory attack is already in progress.  He reiterates the firm commitment the in 1881. made to secure a peaceful South Vietnam.  In addition, Johnson describes his plan to involve the UN Security Council and obtain an affirmative resolution from Congress."
13,"[' John F. Kennedy Jr. John John John Kennedy John Adams Kennedy. John Adams John Adams Johnson John Adams Jr. President John Adams Jnr. John Jay John Adams Junior. John A. Kennedy John John Adams, John Adams George Washington John Adams III. George Washington J. John Kennedy, Jr. George John AdamsJohn Adams John John Washington John John George Washington George Washington. John Washington George John Kennedy George John George George Washington, John John Henry John Adams. John George John John Jay George John Washington, George John Henry George George George John Alexander John Alexander George Washington III. John Alexander Washington John Alexander Johnson John John Alexander Henry John AlexanderJohn Alexander John George Alexander John John A John Alexander']","President Lyndon Johnson speaks at Syracuse University about his Administration's goals in Southeast Asia. He sees the primary goal of military action in the region as enabling ""the will of the world for peace"" and publicly affirming that America will not abandon its allies in the Cold War."
14,"[' John Edwards: ""I would much rather have them with me thanagainst me, and I have had them both ways"" Edwards: I want to remind thepeople in New Orleans and all Louisiana that Mr. Rayburn said one time whenthey asked him why Texas had such a good, effective delegation in the Congress. He said, “We pick them young, and we pick them honest. We send themthere and we keep them there. “']","Campaigning for re election, Johnson highlights the need for courage, confidence and commonsense in American government, and he cites his administrations' success in avoiding recessions and containing communism. The President calls for unity in Congress and in the country for implementing the Civil Rights Bill."
15,"[' John Adams Johnson: We are entering the third century of the pursuit of American union. John Adams Kennedy: We seek the unity of man with the world that he has built, with the knowledge that can save or destroy him. John John Adams John Adams: We will not assume that it is the task of Americans alone to settle all the conflicts of a torn and troubled world. George Washington']","President Johnson begins his State of the Union address by asserting that the state of the Union is dependent on the state of the world.  He compares the American fight for freedom with the struggles of emerging nations and those threatened by communism.  Johnson presents an explanation for in 1881. presence in Vietnam, claiming that in 1881. security is tied to that of Asia.  The President also further defines the aims of the Great Society, and sets forth a series of proposals to further advance it."
16,"[' Barack Obama: We are one nation and one people. Obama: Our fate as a nation and our future as a people rest not upon one citizen but upon all citizens. He says U.S. was created in justice, written in liberty, bound in union, it was meant one day to inspire the hopes of all mankind.']","President Johnson talks about change in the United States. He concentrates on three essential ideas justice, liberty, and union as the qualities which formed America. The country will use these qualities to move forward to address the problems prevalent throughout the world. The President identifies the Great Society as a mechanism for continually seeking improvement and reaffirms the centrality of American values and heritage."
17,"[' George W. Bush: ""Food today is our best bargain"" George H.W. Bush. George W Bush. John F. Kennedy. George Washington Bush, George Washington. George George Bush Jr. George Bush Bush Jr., George George George Washington, George George. George Herbert Bush Jr, George Herbert John George George, George H George Washington III. George John George Washington George George III, George John Washington George III. John John George Bush George George Herbert George III George George John John Washington III George John Henry Washington George. John Henry John George John. George Henry John Henry George IIIGeorge George George Henry George George I George George II George George William Henry John John Adams George Washington']","President Johnson holds a press conference where he provides announcements on agriculture in America and voter registration in Alabama. He then takes questions from members of the press on several topics, including exchanging visits with Soviet leaders, involvement in Vietnam, and progress on civil rights in the South."
18,"[' George W. Bush, President George Washington Bush. Bush: ""What happened in Selma was an American tragedy. The blows that were received, the blood that was shed, the life of the good man that was lost, must strengthen the determination of each of us to bring full and equal and exact justice to all of our people"" George Washington']","President Johnson holds a press conference to discuss recent events in Selma, Alabama and his meeting with Governor Wallace. Questions from the press mostly pertain to civil rights and the growing moderation in the South, though the discussion touches on removing military dependents from an increasingly dangerous Vietnam while attempting to negotiate an early end to problems there."
19,"[' John Adamsason: I speak for the dignity of man and the destiny of democracy. I urge every member of both parties, Americans of all religions and of all colors, from every section of this country, to join me in that cause. There is no cause for pride in what has happened in Selma, Alabama.']","Johnson states that every man should have the right to vote and that the civil rights problems challenge the entire country, not one region or group. The President asks Congress to help him pass legislation that dictates clear, uniform guidelines for voting regardless of race or ethnicity and that allows all citizens to register to vote free from harassment."
20,"["" George Wallace, Governor of Alabama, Montgomery, Alabama. George Wallace and the Alabama Legislature believe that the State is unable to protect American citizens without Federal forces. Lyndon Johnson: “It is not a welcome duty for the Federal Government to ever assume a State Government's own responsibility for assuring the protection of citizens in the exercise of their constitutional rights.”""]","President Johnson holds a press conference at the LBJ Ranch in Texas. He discusses presidential appointments, the United States' goal in Vietnam, and interactions with Governor Wallace of Alabama. Questions from members of the press pertain to the duration and extent of federal assistance in Alabama, the voting rights bill, and Vietnam."
21,"[' George W. Bush: Four Ku Klux Klan members in Birmingham, Alabama, charged with conspiracy to violate civil rights of Viola Liuzzo. Four members of the United Klans of America, Inc., Knights of the Ku Klux Klux Klan, will of course be arraigned immediately. George Washington']","President Lyndon Johnson announces the arrest of four Ku Klux Klan members accused of murdering Violo Liuzzo, a civil rights activist. He praises the professional action of the FBI and mentions plans to support legislation aimed at bringing ""the activities of the Klan under effective control of the law."""
22,[' John Young and Gus Grissom were the first Americans to land in space. John Adams and John Kennedy were the last two men to land on the moon. John F. Kennedy Jr. was the first man to walk on the Moon. John Glenn was the second man to orbit the Earth. John McCain was the third man to fly to the moon and the fourth man to the solar system. George Washington'],"President Johnson offers recognition of Major Grissom and Commander Young, two astronauts who have recently returned from space. Major Gus Grissom is, as of this landing, is the first man to enter space twice. Johnson also praises the efforts of NASA's extensive support and ground staff, who he delcares the astronauts are always first to recognize as equally responsible for successful launches."
23,"[' John F. Kennedy. President John Kennedy. George Washington. John Kennedy, John Adams. John Adams, George Washington, Jr. President George Washington John Adams Jr. John John Adams John Adams III John Adams George Washington Jr., John Adams Johnson John Adams and George Washington Johnson. John Washington Johnson, John Washington, John George Washington and John Adams Kennedy. John Jay John Adams Jnr. John James Madison John Adams James Madison, John James Adams, John Jay Adams, James Madison and John Jay Zick John Adams II. John J. Adams III George Washington Jnr., John James Washington, George John Adams Adams and James Madison. George John Washington']","President Johnson holds a press conference in the East Room of the White House. There is no specific focus of this conference, as the President addresses Vietnam and developments in the steel industry before being asked questions on foreign relations and civil rights, including his War on Poverty, at home."
24,"[' George W. Bush: I have ordered the Secretary of Defense to put the necessary American troops ashore in order to give protection to hundreds of Americans who are still in the Dominican Republic and to escort them safely back to this country. 400 Marines have already landed. General Wheeler, the Chairman of the Joint Chiefs of Staff, has just reported to me that there have been no incidents. We have appealed repeatedly in recent days for a cease-fire between the contending forces of Dominican Republic in the interests of all Dominicans and foreigners alike. I repeat this urgent appeal again tonight. The Council of the OAS has been advised of the situation by the Dominican Ambassador and the Council will be kept fully']","President Johnson makes a brief statement about his decision to order American troops to the Dominican Republic to protect American citizens. The video begins after Johnson has already begun talking, and it omits the first sentence of the statement: ""I have just concluded a meeting with the leaders of the Congress."""
25,"[' John McCain: The war in Viet-Nam has many faces. McCain: ""In this conflict our only object is to prove that force will meet force, that armed conquest is futile, and that aggression is not only wrong, but it just will not work"" "" Communist China apparently desires the war to continue whatever the cost to their allies""']",President Johnson speaks to the Association of American Editorial Cartoonists primarily about the war in Vietnam and how they have a significant ability to shape public opinion on the development of the armed conflict. He lists many ways in which America has offered humanitarian assistance to South Vietnam and reaffirms his public stance that peace and non aggression is the primary goal of military action in Southeast Asia.
26,"[' George W. Bush, President George H.W. Bush. Bush: U.S. to withdraw Marines from Dominican Republic. George W Bush, George W George Bush, Jr. George George Washington Bush, Junior. George Washington, Junior, George George George W., Junior, John Adams Bush. George Bush Jr., George Washington George Washington Jr., John Adams Kennedy, George Washington John Adams']","President Johnson holds a press conference in the East Room to announce the withdrawal of United States Marines from the Dominican Republic and how foreign aid funds for Southeast Asia will be handled. He then takes questions on a number of subjects, including the Organization of American States, Vietnam, and the establishment of the “Johnson Doctrine,” which would seek to oppose attempts to install Communist dictatorships in the Western hemisphere."
27,"[' John F. Kennedy, Jr. John Kennedy, John Kennedy Jr., John Kennedy Sr. John John Kennedy John Kennedy Kennedy Jr. President John Adams Kennedy Jr, John John John Adams, John Adams John Adams Jr. George Washington John Adams J. Kennedy Jr,. John Adams Johnson, John George Washington, John James Madison, John Quincy Adams. John Adams James, John Jay John Adams Adams Jr., George Washington J. Washington, George Washington. John James Washington, Jr., President John Washington, J. Edgar John Adams JR., John Adams David John, John Henry John Adams III. John George John Kennedy III, John Alexander John Adams George John Adams. George John John Washington John, George']","The President praises the progress made in civil rights, while asking citizens to address other serious problems in America. Johnson particularly discusses the economic gulf between blacks and whites, the persistent injustices in America, and the breakdown of the family as serious challenges to the country."
28,"[' John F. Kennedy, Jr. John Adams Johnson, John Adams, Jr., John Adams John Adams Jr. President John Adams III John Adams Kennedy, JR. John John Adams Junior, John John George Washington, Jr, John James Madison, John Jay Washington, John Quincy Adams, John Thomas John Adams and John Adams Adams, III. John Jay John Adams Jnr., John Thomas Adams Jr., George Washington John Adams. George Washington Adams, Jnr. John James John Adams JR., John James Adams Jr,. John Adams James Adams, Junior John AdamsJohn Adams, George John Adams II John Adams George Adams Jr, George Washington George Adams, James Adams III, John Alexander Johnson, George']","President Johnson offers some remarks in praise of America's astronauts and NASA for helping to further the country's standing in the 'Space Race.' His message is a hopeful one, and Johnson stresses that his desire to share the benefits of space exploration ""for the benefit of all mankind."""
29,"[' John F. Kennedy, Jr. President John Fitzgerald Kennedy. John Adams Kennedy, John Adams, Jr., John Adams and John Adams John Adams Jr. John John Adams III John AdamsJohn Adams, John Jay John Adams II John Adams J. Adams, George Washington John Adams I John Adams James Madison John Adams Johnson John Adams Adams Jr., George Washington Adams Johnson, John George Washington George Washington. John Washington Adams John Washington John Jay Johnson George Washington Johnson, George John Adams George WashingtonJohn Adams Johnson Jr. George Washington James Adams Johnson J. John David Adams John David Johnson John David John Adams. John D. Washington John David Washington John George Adams Johnson Johnson John John David David Johnson. John']","President Johnson holds a press conference in the East Room of the White House where he nominated Thurgood Marshall as Solicitor General and discusses developments in Vietnam and the Dominican Republic. President Johnson receives questions from the press about the possibilities for war and peace in Vietnam, the repeal of the Poll Tax, and the slowly developing anti-war movement in America."
