,Generated_Summary,Original_Summary
0,"[' Dick Nixon: ""I want to tell you my side of the case"" Nixon: I am sure that you have read the charge and you\'ve heard that I, Senator Nixon, took $ 18,000 from a group of my supporters. Nixon: Not one cent of that money of that type ever went to me for my personal use. Every penny of it was used to pay for political expenses that I did not think should be charged to the taxpayers of the United States.']","As a candidate for vice president, Richard Nixon gives a televised address to the public after being accused of accepting illegal gifts. Nixon provides a detailed account of his and his family's finances to remove any suspicion. The title of the speech refers to the Nixon's family dog, Checkers, who was a gift but one which Nixon declines to return."
1,"[' George W. Bush: ""For the first time, because the people of the world want peace, and the world are afraid of war, the times are on the side of peace"" Bush: America has suffered from a fever of words; from inflated rhetoric that promises more than it can deliver. ""Greatness comes in simple trappings. The simple things are the ones most needed today if we are to surmount what divides us, and cement what unites us""']","President Richard Nixon addresses the nation and beckons the American people and people of all nations to rally together in the pursuit of everlasting peace. In a period of unprecedented international conflict, the President proclaims to the nation and the world that his administration will move forward under the banner of unity in an attempt to thwart the hatreds that divide the world."
2,"[' John F. Kennedy Jr. President John John John Kennedy, Jr. John Kennedy John F John Kennedy Jnr. John F Kennedy Jr., John John George Kennedy, John F George John John Adams John Adams, John Adams. John Adams Jnr., John Adams George John Adams Jr. George George Adams Jr, John George Adams, George Washington John Adams III. John George Washington Jnr,. John John Washington John, John Washington George Adams III John Adams II John Adams Kennedy John Adams Johnson John Adams']","President Nixon assures the American people that he is taking all necessary measures to push towards peace and end the Vietnam War.   He does not advocate withdrawing troops, but instead negotiating peace. The President remains sympathetic to the American call for peace but pushes forward with steadfast intention to end the war and ensure stability in South Vietnam."
3,"[' John F. Kennedy Jr. John Adams Kennedy, John Adams Johnson John Adams Jr. President John Adams Junior John Adams, John John Adams III John Adams John Adams and John Adams. John Jay John Adams Jnr John AdamsJohn Adams Kennedy John Adams James Madison John Adams']","President Nixon proposes that the new decade should be a time of governmental reform. He first urges that America strive to achieve its pursuit of peace throughout the world. The President then puts forth his plan for economic growth and proposes a balanced budget as the basis for this growth. Nixon also suggests reworking the welfare system, combating urban crime, and rewarding environmental responsibility as part of his new plan for America."
4,"[' George W. Bush: North Vietnam has increased its military aggression in all these areas, and particularly in Cambodia. John Kerry: The actions of the enemy in the last 10 days clearly endanger the lives of Americans who are in Vietnam. John McCain: We have three options: First, we can do nothing; second, we provide massive military assistance to Cambodia; and third, we do our best to provide arms and equipment to the Cambodian Army.']",President Richard Nixon defends his decision to use American forces against the North Vietnamese in Cambodia. Cambodia was an agreed upon neutral state but the North Vietnamese forces violated the agreement and threatened the security of American forces and the people of South Vietnam. President Nixon upholds his pledge to bring forces home but emphasizes the need for American intervention in Cambodia.
5,"[' George W. Bush: 92nd Congress has a chance to be recorded as the greatest Congress in U.S. history. George W Bush: America has been going through a long nightmare of war and division, of crime and inflation. George Bush: Now we are ready for the lift of a driving dream. George Washington']","President Nixon urges Congress to continue the progress of the previous Congress. He reiterates his desire to continue to improve the environment and abolish the current welfare system to create one which helps people help themselves. He also focuses on new policies including making health care accessible, revenue sharing for state and local governments, and consolidating cabinet departments from twelve to eight."
6,[' George W. Bush: Report on foreign policy is my second annual comprehensive report on the conduct of our foreign affairs. Report: How we are getting out of the war this Nation has been in for the past six years; — How we have created a new and different foreign policy approach for the U.S. in a greatly changed world; and—How we are applying that approach in working with others to build a lasting peace. George Washington'],"President Nixon addresses Congress over the radio about in 1881. foreign policy, emphasizing the need for a new foreign policy as a direct consequence of the events in the Vietnam War. He touches on a number of foreign policy subjects from all points around the globe. The President calls for more self reliance and peaceful settlements for nations around the world struggling with turmoil."
7,"[' George H.W. Bush. George W. Bush, President George W Bush, Jr. George H W Bush Jr. Bush Jr., President George HW Bush, JR. George Washington Bush, Junior. George Bush Jr, Junior, George George Washington, Jr., George George Bush, Jnr. George George George W George Bush Jnr, George Washington Jnr., George Washington John Adams Bush, John Adams John Adams. George John Adams Jnr,. George Washington George Washington Johnson, John John Adams Johnson, George Herbert John Adams, John Washington']","President Nixon reports that Vietnamization has succeeded. He now plans to increase the rate of American withdrawals because of the increased strength of the South Vietnamese, the success of the Cambodian operation, and the achievements of the South Vietnamese operation in Laos. President Nixon assures the public that an end to American involvement in Vietnam is near."
8,"[' George W. Bush. George W Bush. John Kerry. John Adams Kennedy. George Washington. John Kennedy. John John Kennedy Jr. George George Washington John Adams John Kennedy, George Washington Kennedy. Washington, John Kennedy John Kennedy III. John George Kennedy John Adams. John Washington John Kennedy Junior. John Bush John Kennedy Kennedy John John Adams George Washington George John Kennedy George John John John George George Kennedy George George John George John Washington. George John Henry Washington John Henry George John. John Henry John John Washington George George George Henry John. George Henry George George. John Jay John John. Washington John John Bush George John A George John Adams, George John Allen John John Allen George John Bush.']","President Nixon addresses the nation to announce a significant development between the United States and the Soviet Union regarding the limitation of the deployment of anti-ballistic missile systems (ABMs). Both nations have promised to make this agreement a top priority in the coming year, working together to limit ABMs. The President notes that intensive negotiations will follow to codify the pledge between the two nations but reports that this commitment is a major breakthrough for both nations."
9,"["" John McCain to Congress: 'I have presented to the leaders of the Congress today a message of 15,000 words discussing in some detail where the nation stands and setting forth specific legislative items on which I have asked the Congress to act' John McCain: 'There is ample precedent, in this election year, for me to present you with a huge list of new proposals, knowing full well that there would not be any possibility of your passing them if you worked night and day. I shall not do that. I am presenting only vital programs which are within the capacity of this Congress to enact, within the. capacity of the budget to finance, and which I believe should be above partisanship""]","President Nixon describes the current needs of the country as bipartisan priorities. He talks about the need for America to maintain lasting peace and sets out his policy for defending freedom worldwide. Domestically, the President states his desire to create jobs, increase income, and attain full employment through increasing industrial competitiveness."
