,Generated_Summary,Original_Summary
0,"["" John McCain: No nation in history has ever survived a tax burden that reached a third of its national income. McCain: There can be no real peace while one American is dying some place in the world for the rest of us. He says there is no such thing as a left or right. There's only an up or down, [ up ] man's old, old aged dream, the ultimate in individual freedom consistent with law and order, or down to the ant heap of totalitarianism.""]","In a speech supporting the Republican presidential nominee Barry Goldwater, Reagan speaks of big government, high taxation, and the ""war on poverty."" He addresses foreign policy issues including the risk of appeasement, ""peace through strength,"" and the Vietnam War. The speech establishes Reagan as an important figure in the conservative wing of the Republican Party."
1,"[' George W. Bush. John Kerry: ""I accept your nomination for the presidency of the United States"" John Edwards: ""As president, I will establish a liaison with the 50 governors to encourage them to eliminate, where it exists, discrimination against women"" John Kennedy: ""My view of government places trust not in one person or one party, but in those values that transcend persons and parties"" John Adams']","Reagan accepts his nomination as the Republican candidate for the forthcoming Presidential election. The future Chief Executive then moves on to deliver a sustained critique of the current Carter administration, whilst outlining his own vision for the future."
2,"[' George W. Bush: U.S. is confronted with economic affliction of great proportions. George W Bush: Government is not the solution to our problem; government is the problem. George Bush: We are going to begin to act, beginning today. George Washington']","Reagan focuses on the economy and ending inflation, while lessening the influence and growth of big government. He returns to passages in his 1967 inaugural speech as California's governor."
3,"["" George W. Bush: Social security problems have been building for more than 20 years, and nothing has been done. George W Bush: I've been deeply disturbed by the way those of you who are dependent on social security have been needlessly frightened by some of the inaccuracies which have been given wide circulation. George Bush: You have no reason to be frightened; you will continue to receive your checks in the full amount due you. George Washington""]","In this address, President Reagan spoke about cutting taxes and government spending as part of his economic recovery program, targeting the national debt."
4,"[' John F. Kennedy Jr. President John Kennedy Jnr. John John Kennedy Junior. President Kennedy J. John Kennedy JR. John Fitzgerald Kennedy, Jr. The President. John George Kennedy Jr., John John George Washington J. Kennedy, J. George Washington, Jr., George George Washington Jr. George George Kennedy, John George John Kennedy, JR. George John George, Jr, George George John Washington, JR, George Washington George Washington John Kennedy Jr, John Kennedy John Kennedy Kennedy Jr,. George John John John Washington John, John John, George John. John G. George Kennedy John J. Bush, John G George John, Jr,. John John G John Kennedy George George, John']","President Ronald Reagan speaks about the air traffic controllers strike. He states very clearly that if the striking union workers do not report to work in 48 hours, they will be fired from their jobs. The President then takes questions along with Attorney General William French Smith and Secretary of Transportation Andrew Lewis, Jr."
5,"["" George W. Bush: Poland is at the center of European civilization. George W Bush: Democracy is proving itself to be a not at all-fragile flower. George Bush: We're approaching the end of a bloody century plagued by a terrible political invention, totalitarianism. George Washington""]","Often considered the original ""evil empire"" speech, Reagan predicts that Communism will be left on the ""ash-heap of history."" He quotes Winston Churchill on numerous occasions and praises the British for the Falklands War. He concludes with a call for a ""crusade for freedom."""
6,"["" George W. Bush: I want you to know we're doing something about the economy. George W Bush: A tax bill before Congress tied to a program of further cuts in spending is not the “greatest single tax increase in history” George W George Bush: The tax cut I proposed is the biggest in U.S. history. George Washington""]","In this address, President Reagan speaks about the Tax Equity and Fiscal Responsibility Act of 1982 or TEFRA and discounts claims that this is “the largest single tax increase in history,” stressing that one-third of the increased tax revenue will come from those evading taxes. This legislation represents a departure from the 1981 tax cuts, although Reagan notes it resulted from a difficult compromise."
7,"[' George W. Bush: America is good, and if America ever ceases to be good, will cease to be great. George Washington: Freedom prospers only where the blessings of God are avidly sought and humbly accepted. John Adams: God who gave us life, gave us liberty at the same time.']","In this address to the National Association of Evangelicals in Orlando, Florida, President Reagan presents his view of the Soviet Union. The President defends America's Judeo-Christian traditions against the Soviet Union's totalitarian leadership and lack of religious faith, expressing his belief that these differences are at the heart of the fight between the two nations."
8,"["" George W. Bush: Central America's problems do directly affect the security and the well being of our own people. George W Bush: We can not afford to lose sight of our neighbors to the south. George Bush: Democracy is beginning to take root in El Salvador, which, until a short time ago, knew only dictatorship. George Washington Bush: Every President since this country assumed global responsibilities has known that those responsibilities could only be met if we pursued a bipartisan foreign policy.""]","Speaker of the House Tip O'Neill introduces President Ronald Reagan to the in 1881. Congress. Reagan speaks to his audience about the in 1881. interests in Central America and problems facing countries such as El Salvador and Nicaragua. He then outlines four in 1881. goals in Central America: supporting democracy and reform, economic development, security in the region, and dialog and negotiations."
9,"[' John Kerry: U.N. Security Council to hold special session on Korean airline massacre. Kerry: The attack by the Soviet Union against 269 innocent men, women, and children aboard an unarmed Korean passenger plane must never be forgotten, here or throughout the world. Kennedy: The parents of one slain couple wired me: “Our daughter.. and her husband.. died on Korean Airline Flight 007. Their deaths were the result of the Soviet U.S. violating every concept of human rights”']","President Ronald Reagan speaks to the American public about the Soviet Union shooting down a Korean passenger plane, killing 269 passengers. He outlines the details of the attack and its affect on in 1881.-Soviet relations."
10,"["" George H.W. Bush: America is back and standing tall. George Bush: I've come to a difficult personal decision as to whether or not I should seek reelection. George W. Bush. George George Bush, George Washington Bush, Jr. George William Jefferson Bush,""]","In January 1984, President Ronald Reagan spoke to the American public announcing his candidacy for reelection. He outlines some of the accomplishments of his first four years, especially in the economic realm, but notes that his work is not done."
11,"[' John Wayne Gacy: 40 years ago today, the Allied armies joined in battle to reclaim this continent to liberty. Gacy says the men of Normandy had faith that what they were doing was right, faith that God would grant them mercy on this beachhead or the next.']","In Normandy, France, President Reagan addresses the American Rangers who fought on D-Day. After recounting events from D-Day and commending the those who fought in World War II for their service, Reagan uses the speech to make a comparison between the Allied fight against fascism and the current fight against communism."
12,[' George W. Bush Jr. John Edwards: America is presented with the clearest political choice of half a century. John McCain: I will campaign on behalf of the principles of our party which lift America confidently into the future. John John McCain Jr. George Washington'],"From the Republican National Convention in Dallas, Texas, President Ronald Reagan reflects on taxes, poverty, and foreign policy. He criticizes the Democrats for high taxes, liberal policies, and a lack of concern for the American family. The President then closes with words on the Cold War with the Soviet Union."
