,Generated_Summary,Original_Summary
0,"[' John McKinley. President McKinley crowned a life of largest love for his fellow men, of earnest endeavor for their welfare, by a death of Christian fortitude. Thursday next, September 19, the day in which the body of the dead President will be laid in its last earthly resting place, as a day of mourning and prayer throughout the United States.']",Theodore Roosevelt announces the death of President McKinley.
1,"[' John Adams Morgan: President McKinley was the third U.S. President to be murdered. He was shot by an anarchist while attending the Pan-American Exposition at Buffalo. Morgan: McKinley a man of moderate means, a man whose stock sprang from the sturdy tillers of the soil. The blow was not aimed at tyranny or wealth, it was aimed at one of the strongest champions the wage-worker has ever had.']","In light of President McKinley's assassination, President Theodore Roosevelt reflects on the life of an honorable public servant who was respected and well loved by his fellow Americans. In addition to this sorrowful event, President Roosevelt addresses business concerns, immigration, territories, the armed forces, and education, among other issues."
2,"[' George Washington dispatch to Congress. Letter to U.S. Senate and House of Representatives. President John Adams principles of reciprocity with Cuba. John Adams: Cuba has in her Constitution affirmed what we desired, that she should stand, in international matters, in closer and more friendly relations with us than with any other power. George Washington']",President Roosevelt sends a message to congress advocating commercial reciprocity with Cuba.
3,"[' John Adams Morgan: U.S. is in a period of unbounded prosperity. He says the laws under which we work have been instrumental in creating the conditions which made it possible. Morgan: Economic development must not be checked, but side by side with it should go such progressive regulation as will diminish the evils.']","In an era of prosperity, President Theodore Roosevelt addresses business concerns such as monopolies, regulation of interstate commerce, and tariffs. Similarly to the previous year's speech, President Roosevelt discusses Puerto Rico, Cuba, Hawaii and the Philippines, and the armed forces."
4,"[' John Hay, Secretary of State. Proclamation by Theodore Roosevelt, President of the United States of America, by virtue of the power vested in me by the Constitution, do hereby proclaim and declare that an extraordinary occasion requires the convening of both Houses of the Congress. All persons entitled to act as members of the 58th Congress are required to take notice of this proclamation. Given under my hand and the Seal of the U.S. at Washington the 20th day of October in the year of our Lord one thousand nine hundred and three and of the Independence of the US the one hundred and twenty-eighth.']",Roosevelt calls for a special session of Congress to approve the reciprocal Commercial Convention between the United States and Cuba.
5,[' John Hay: Uprising on Isthmus reported. John Ehrman: Situation is critical. John Loomis: Message sent to Nashville to Colon may not have been delivered. John D. Hay: In the interests of peace make every effort to prevent Government troops at Colon from proceeding to Panama.'],"President Roosevelt transmits to the House of Representatives correspondence and other documents relating to the Panamanian revolution. On November 3, 1903, a revolt broke out in Panama against Colombian rule. The uprising is sponsored by Panamanian agents and officers of the Panama Canal Company, with tacit permission of the Roosevelt administration. The presence of the American Navy prevents Colombia from crushing the revolt and on November 6, 1903, the United States officially recognizes the Republic of Panama."
6,"[' John Hay, Secretary of State, Washington, D.C., November 19, 1903. Declaration of intent to build a ship canal across the Isthmus of Panama to connect the Atlantic and Pacific oceans. Panama grants to the United States in perpetuity the use, occupation and control of a zone of land and land under water for the construction, maintenance, operation, sanitation, and protection of said canal of the width of 10 miles. U.S. guarantees and will maintain the independence of the Republic of Panama.']","President Roosevelt submits the Hay-Buneau-Varilla Treaty between the United States and Panama, negotiating the construction of the Panama Canal, to the Senate for ratification. The treaty gives the United States control of a ten-mile-wide canal zone in return for $10,000,000 in gold plus a yearly fee of $250,000."
7,"[' Theodore Roosevelt, President of the United States of America, made the proclamation on April 20, 1818. The President declared that the act passed on the 20th day of April, A. D. 1818, commonly known as the “neutrality law ”, the following acts are forbidden to be done, under severe penalties: Accepting and exercising a commission to serve either of the said belligerents by land or by sea against the other belligerent. Fitting out and arming, or attempting to fit out and arm, or procuring to be fitted out and armed, or knowingly being concerned in the furnishing, fitting out, or arming of any ship or vessel']",President Roosevelt declares United States neutrality in the war between Russia and Japan.
8,"[' George Washington Carville Jr. President George Washington. George Washington J. Washington Jr. George W. Carville, J.C. C. J. R. Martin George Washington Junior, George Washington Johnson, Jr. John Adams Johnson, John Adams John Adams J. Martin John Adams, Jr., George Washington George Washington John Adams. John Washington Johnson John Adams Jr., John Adams James Madison John Adams III. John Jay John AdamsJohn Adams Johnson George Washington James Madison Johnson John John Adams George Washington']",President Roosevelt updates Congress on the construction of the Panama Canal.
9,"[' John D. Rockefeller Jr. John Taylor Giffords, Jr. President John Tyler Gifford, Jr., Jr. U.S. Senate and House of Representatives. John Giffard, J. D. Giffards, Jr.: Report of Mr. James Bronson Reynolds and Mr. Charles P. Neill, the special committee whom I appointed to investigate into the conditions in the stock yards of Chicago and report thereon to me. John John John T. Taggard Jr., J.D. Tuck John Tuck Giffen, Jr,. John John George Tuck Tuck, Jr, John George George Tack John George Washington Tack,']","President Roosevelt addresses Congress on the condition of the stockyards and meatpacking plants. On June 30, 1906, Roosevelt signs the Meat Inspection Act and the Pure Food and Drug Act. The legislation calls for both an honest statement of food content on labels and for federal inspection of all plants engaging in interstate commerce."
10,"[' John Adams principles. John Adams: Porto Rico is a veritable tropic Switzerland. Porto Rican regiment of troops must be appropriated for by the Congress. John John Adams, Jr.: Porto Ricans are loyal, loyal to our flag, making rapid progress under our flag. John Jay John Adams John Adams. George Washington']",President Roosevelt reports to Congress on his trip to Puerto Rico.
11,"[' John Adams Johnson. Johnson visited the Isthmus of Panama, going over the Canal Zone with considerable care. Johnson also visited the cities of Panama and Colon, which are not in the Zone or under the U.S. flag. Johnson: I was three days ashore not a sufficient length of time to allow of an exhaustive investigation of the minutiae of the work of any single department, still less to pass judgment on the engineering problems.']",President Roosevelt delivers a message to Congress regarding his recent visit to Panama.  The President and Mrs. Roosevelt's trip to Panama to inspect the building of the Panama Canal marked the first trip abroad by a sitting American President.
12,[' John C. Calhoun. John Calhoun Calhoun: I am glad to avail myself of the opportunity afforded by these resolutions to lay before the Senate the following facts as to the murderous conduct of certain members of the companies in question and as to a conspiracy by which many of the other members of these companies saved the criminals from justice. George Washington'],"President Roosevelt reports to the Senate on the clashes that erupted in Brownsville, Texas after white civilians taunted black soldiers in April, 1906."
13,"[' John Adams principles. Child labor should be prohibited throughout the Nation. No temporary restraining order should be issued by any court without notice. The interstate-commerce law should be amended so as to give railroads the right to make traffic agreements. Receiverships should be used, not to operate roads, but as speedily as possible to pay their debts and return them to the proper owners.']","President Roosevelt addresses Congress on labor legislation. Among other things, Roosevelt calls for the prohibition of child labor, which Congress responds to by passing a child labor law for the District of Columbia on May 28, 1908."
