,Generated_Summary,Original_Summary
0,"[' John Adams Forrester. John Adams: ""Let us restore to social intercourse that harmony and affection without which liberty and even life itself are but dreary things"" John Adams forrester: ""I believe this, on the contrary, the strongest Government on earth. I believe it the only one where every man, at the call of the law, would fly to the standard of the Law"" George Washington']","After a particularly bitter and divisive campaign and election, Jefferson focuses on unifying the country, especially Republicans and Federalists. The President enumerates his ideas of the principles of government, which include equal rights, preservation of the constitution, and civil control of the military."
1,"[' Samuel Bishop has been appointed collector of New Haven. John Adams. Franklin was a great statesman and statesman. He was a friend of John Adams and John Adams, and is a member of his family. Franklin died in 1837. John John Adams was a statesman, states John Adams (1701-1837) John Adams']","After Jefferson removed the collector for the port of New Haven, a Federalist appointed by Adams, New Haven merchants sent their objections against Samuel Bishop as the replacement to the President. The President responds by enumerating Bishop's qualifications for the post and calling for harmony with and political tolerance for those of other parties and beliefs."
2,"[' John Adams III. John Adams. George Washington. John Washington. James Madison. John John Adams John. Adams. John. Washington III. James John Adams, John Adams Jr. John Jay John Adams George Washington John. John James Adams John Adams Jnr. John George Washington Jnr John Adams Johnson John Adams James Madison Jnr., George Washington Johnson. George George Washington, George Washington Jr. George John Adams,. John AdamsJohn Adams John John. Johnson. John Henry Washington John Adams II. John Jefferson John Adams Joseph John. J. George Adams John, John John Henry John. George Henry John Adams; George Washington George. John A. George, John Henry George. George.']","Jefferson outlines his Republican policies, outlining the status of the military, his views on taxes and the organization of the federal and local government system. The President spends some time addressing the volatile situation in the Barbary States, especially Tripoli."
3,"[' Danbury Baptist Association gives me highest satisfaction. I believe with you that religion is a matter which lies solely between man and his God, that he owes account to none other for his faith or his worship. I contemplate with sovereign reverence that act of the whole American people which declared that their legislature should “make no law respecting an establishment of religion,” thus building a wall of separation between church and State. Adhering to this expression of the supreme will of the nation in behalf of the rights of conscience, I shall see with sincere satisfaction the progress of those sentiments which tend to restore to man all his natural rights, convinced he has no natural right in opposition to his social']","Responding to a supportive letter from the Danbury Baptist Association in Connecticut, Jefferson admires the ""wall of separation between church and state"" established by the First Amendment. The President wanted to reprimand the large number of clerics that mixed religion and politics in that part of the nation, especially those that publicly opposed his beliefs on the subject."
4,"[' John Adams: I am happy to learn you have been so far favored by the Divine spirit as to be made sensible of those things which are for your good and that of your people, and of those which are hurtful to you. I do not wonder then, brother, at your censures, not only on your own people, who have voluntarily gone into these fatal habits, but on all the nations of white people who have supplied their calls for this article. But these nations have done to you only what they do among themselves. They have sold what individuals wish to buy, leaving to every one to be the guardian of his own health and happiness. I will sincerely cooperate with your']","Jefferson addresses the concerns of Handsome Lake for his people by agreeing to restrict the sale of liquor to the Indians. Extending his friendship, the President reiterates his commitment to allowing Handsome Lake to maintain the same territories, and he offers the protection of the United States government to ensure the integrity of any sale of land."
5,"[' George Washington dispatch to Congress. Letter to the U.S. Senate and House of Representatives. George Washington Post, December 4, 18th, 1777. GeorgeWashington Post, January 4, 1778. George George Washington. George W. Washington, George Washington, Jr. George John Adams, 17th century. John Adams Jr. James Madison, 1737. John Madison, John Adams III. James Adams, 1803. John Jay, John Jay and George Washington']","President Jefferson discusses Indian relations, outlining his negotiations to create fixed boundaries, and he remarks on the continued state of warfare between the United States and Tripoli. Domestically, Jefferson praises the good state of finances that have allowed him to pay off a large portion of the national debt."
6,[' George Washington dispatch. Letter to the U.S. Senate and House of Representatives. Letter on the extension of public commerce with the Indian tribes. Letter from George Washington Post to the Senate and the House of Reps. George Washington Dispatch. Letter by George Washington Posterior to the United States Congress. John Adams'],"Jefferson introduces an act to Congress to establish trading houses among the Indians and persuade them to take on an agricultural lifestyle deemed less expansionary and more civilized. The President also suggests deploying officers to explore the Missouri River area to establish trading relations with the groups of Indians situated further west, resulting in the Lewis and Clark expeditions."
7,"["" Meriwether Lewis esq. of the 1st regimt. of infantry of the U.S. of follows; “It situation as Secretary of the President of U. S. has made you acquainted with the objects of my confidential message of Jan. 18, 1803 to the legislature. You have seen the act they passed, which, tho ' expressed in general terms, was meant to sanction those objects, and you are appointed to carry them into execution. Instruments for ascertaining, by celestial observations, the geography of the country through which you will pass, have been already provided. Light articles for barter and presents among the Indians, arms for your attendants,""]","The President lists his goals for the Lewis and Clark expedition, most notably the evaluation of opportunities to expand commerce westward. Jefferson reminds Captain Lewis to be friendly and approachable with the Indians and to begin establishing important trading relationships."
8,"[' John Adams. John Adams: The United States and the United States of America. The U.S. and the British colonies of New Orleans, Louisiana, and other territories acquired by the U. S. in 1802. George Washington. John John Adams, John Adams and John Adams Jr. George John Adams III. The John Adams Papers. George George Adams, George Washington John Adams II. The George Washington Adams Papers, George George Washington George Adams Jr., John Adams John Adams Jnr. John George Washington Jnr., George Washington III. John Washington John George Adams Jr. George Adams III, George John Washington George Washington Galt. John Galt John Adams Galt George']","Jefferson discusses the implications of the Louisiana Purchase for both national and foreign affairs, emphasizing the importance of acquiring the port of New Orleans. The President states that the debt accumulated from the purchase will be paid off over the course of fifteen years, silencing critics on the debilitating financial indications."
9,"[' John Adams Morgan, the first president of the United States of America. Morgan: ""I welcome you here; am glad to take you by the hand, and to assure you, for your nation, that we are their friends"" ""We are just also. We take from no nation what belongs to it. Our growing numbers make us always willing to buy lands from our red brethren, when they are willing to sell."" ""We will give you a copy of the law, made by our great Council, for punishing our people, who may encroach on your lands, or injure you otherwise. Carry it with you to your homes, and preserve it, as the shield which we spread']","Upon meeting with leaders of the Choctaw Nation, Jefferson praises the bonds between the Indians and the Americans, and he emphasizes the peaceful co-existence of the two groups. The President agrees to buy land around the Mississippi from the Choctaw Nation to help pay off its debts and praises their pledge to turn to agriculture."
