,Generated_Summary,Original_Summary
0,"[' John Adams Forrester, 17th president of the U.S. John Adams, 1765-1865. John John Adams forreign, 1763-1864. John Jay John Adams Jr. 1765 - John Adams III, 1770. John James']","In this message to Congress, President Grant asks Congress to allow the citizens of Virginia to vote on a new state constitution so the State of Virginia may be restored “to its proper relations to the Union.”"
1,"[' John Adams Morgan. John Adams. Morgan. 18th century American. President John Adams, John Adams Adams, Jr. John John Adams Jr., John Adams and James Madison. James Madison, Jr., James Madison and James Monroe. James Monroe, James Madison III, James Monroe III. George Washington']","President Grant's proclamation submits the new Virginia state constitution for ratification by the citizens of Virginia. Two sections of the constitution are submitted to a separate vote. In July of the same year, President Grant will issue a similar proclamation for the State of Mississippi (Proclamation 184)."
2,"["" Grant: 8 hours a day's work for all laborers, workmen, and mechanics employed by or on behalf of the Government of the United States. Grant: No reduction shall be made in the wages paid by the Government by the day on account of such reduction of the hours of labor.""]",President Grant establishes an eight hour work day for Federal Government employees.
3,"[' George Washington dispatch to U.S. Senate and House of Representatives. Letter to the two Houses of Congress on ratification of the Fifteenth Amendment to the Constitution. Letter also to the House and Senate of Representatives on the adoption of the 15th Amendment. Letter was sent on February 27, 1869, by Grant Hamilton Fish, the Secretary of State of the United States.']","President Grant announces the ratification of the Fifteenth Amendment to the United States Constitution to the Senate and House of Representatives. The amendment makes black male suffrage universal, stipulating that no state shall deprive any citizen of the right to vote because of “race, color, or previous condition of servitude.” The suffrage amendment is only partially successful. During Reconstruction, black men vote frequently; following Reconstruction, however, whites use discriminatory laws and taxes to disenfranchise black men."
4,"[' Grant: I, Ulysses S. Grant, President of the United States, do hereby admonish all good citizens of the U.S. against aiding, countenancing, abetting, or taking part in such unlawful proceedings. I warn all persons that by committing such illegal acts they will forfeit all right to the protection of the Government or to its interference in their behalf to rescue them from the consequences of their own acts. I do hereby enjoin all officers in the service of the. United States to employ all their lawful authority and power to prevent and defeat the aforesaid unlawful. proceedings and to arrest and bring to justice all persons who may be engaged therein.']","President Grant issues a statement against the attempts of the Fenian Brotherhood to damage Anglo-United States relations by attacking Canada. The next day, the Fenian Army of Vermont attempts to invade Canada but is driven back. The British government agrees to handle compensation for Canada in the Treaty of Washington in 1871, which will be signed by both nations on May 8, 1871."
5,"[' John Adams principles. John Adams: ""No territory on this continent shall be regarded as subject of transfer to a European power"" John Adams, Jr.: ""A European power stands ready now to offer $ 2,000,000 for the possession of Samana Bay alone. If refused by us, with what grace can we prevent a foreign power from attempting to secure the prize?"" John Adams']","In an address to the Senate, President Grant advocates for the annexation of the Dominican Republic to the United States."
6,"["" Henry George Grant, U.S. Secretary of State, July 14, 1870. Report on commercial relations between United States and Spanish American States. Grant: If commerce has been diverted, it may be partly traced to political causes, swept away by great civil convulsion in this country. Grant's report: The United States were the first of the European colonies in America to arrive at maturity as a people and assume the position of an independent republic.""]","President Grant transmits to the Senate a report from the Secretary of State, Hamilton Fish, detailing the history, development, and current condition of the  relations between the United States and other American countries."
7,"[' Grant: All persons within the territory and jurisdiction of the United States are subject to the duty of an impartial neutrality during the existence of the contest. Grant: The act passed on the 20th day of April, A. D. 1818, commonly known as the “neutrality law,” the following acts are forbidden to be done, under severe penalties, within the U.S.']",President Grant issues a proclamation establishing and enforcing in 1881. neutrality in the war between France and the North German Confederation.
8,"["" Germany's Union is an attempt to reproduce in Europe some of the best features of our own Constitution, with such modifications as the history and condition of Germany seem to require. The local governments of the several members of the union are preserved, while the power conferred upon the chief imparts strength for the purposes of self defense, without authority to enter upon wars of conquest and ambition. The relations of the United States with Germany are intimate and cordial. The commercial intercourse between the two countries is extensive and is increasing from year to year. I recommend that the salaries of the minister and of the secretary of legation at Berlin be respectively increased to the same amounts as are allowed to those at London""]",President Grant applauds the union of the States of Germany and their new form of Government and requests that the salaries of in 1881. diplomats to Germany be increased.
9,"[' Bill would repeal ""test oath"" required of those ""selected or appointed to offices of honor or trust"" John Adams. President John Adams: I can not affix my name to a law which discriminates against the upholder of his Government. John Adams, John Adams']",President Grant briefly states his objections to “an act prescribing an oath of office to be taken by persons who participated in the late rebellion” who seek public office.
10,"[' President Grant. Proclamation enjoins all good citizens, and especially public officers, to be zealous in the enforcement of the law. Grant: I will not hesitate to exhaust the powers thus vested in the Executive whenever and wherever it shall become necessary to do so for the purpose of securing to all citizens of the United States the peaceful enjoyment of the rights guaranteed to them by the Constitution and laws.']",President Grant issues this proclamation stating his intent and commitment to enforcing the provisions of the Fourteenth Amendment to the Constitution.
11,"[' Grant: I, Ulysses S. Grant, President of the United States of America, do hereby declare that in my judgment the public safety especially requires that the privileges of the writ of habeas corpus be suspended, to the end that such rebellion may be overthrown. Grant: In the counties of Spartanburg, York, Marion, Chester, Laurens, Newberry, Fairfield, Lancaster, and Chesterfield, in the State of South Carolina, I have commanded all persons composing such unlawful combinations and conspiracies to disperse and retire peaceably to their homes. All arms, ammunition, uniforms, disguises, and other means and implements used, kept, possessed, or']",President Grant suspends the writ of habeas corpus within certain counties in South Carolina.
12,"[' John Adams Morgan. Morgan was president of the U.S. from 1788 to 1789. He was a member of the United States Senate from 1837 to 1841. Morgan: Bill would give an additional dollar to the irredeemable paper currency of the country. He said it would be a ""departure from true principles of finance, national interest, national obligations to creditors, Congressional promises, party pledges ( on the part of both political parties ), and of personal views and promises made by me in every annual message sent to Congress and in each inaugural address.']","After vacillating on the issue, Grant vetoes the inflation bill, passed by Congress, which would have increased the money supply by $100 million to alleviate the effects of the depression. Grant understands the motivation behind the measure but believes that inflating the currency is a dangerous strategy."
13,"[' Grant: I, Ulysses S. Grant, President of the United States, do hereby make proclamation and command said turbulent and disorderly persons to disperse and retire peaceably to their respective abodes within five days from this date. I invoke the aid and cooperation of all good citizens thereof to uphold law and preserve the public peace. Done at the city of Washington, this 15th day of September, A.D. 1874, and of the Independence of the U.S. the ninety-ninth. in 1881.']","Grant calls for the dispersal of the rebellious ""White League"" in Louisiana. Grant sends five thousand troops and three gunboats to New Orleans; the resistance ends two days later. Grant and the Republicans are criticized severely for the intervention."
14,"[' John Adams Morgan: I have the honor to make the following answer to a Senate resolution of the 8th instant. The resolution asked for information as to any interference by any military officer or any part of the Army of the United States with the organization or proceedings of the general assembly of the State of Louisiana. Morgan: To say that lawlessness, turbulence, and bloodshed have characterized the political affairs of that State since its reorganization under the reconstruction acts is only to repeat what has become well known as a part of its unhappy history. The vote of 1868 was reduced to a few thousands, and the bloody riots of 1866 and 1868, to show that the disorders there are not']","President Grant informs the Senate on the situation in Louisiana and the military intervention in the state, which Grant had ordered the previous September."
15,"[' Bill to resume specie payments to U.S. John Adams Morgan. Morgan: The duty on tea and coffee might be restored without permanently enhancing the cost to the consumers. Morgan also suggested that the 10 per cent horizontal reduction of the tariff on articles specified in the law of June 6, 1872, be repealed.']","Grant sends a special message to Congress approving  the Specie Resumption Act, allowing fractional currency and legal-tender notes to be redeemed for coin, beginning January 1, 1879. Sponsored by John Sherman, the bill also increases the number of national banks throughout the country."
16,"[' John Adams Morgan. President John Adams Johnson. President of the United States. John Adams. Morgan. James Madison Johnson. James Adams Johnson, John Adams John. Johnson. John John Adams, John. John. Adams. Johnson, James Madison, Jr. John Jay John Adams III. John James John Adams Jr., John Adams James Madison Jr. George Washington']",Grant vetoes a bill that would have fixed the salary of the President.
17,"[' Bill would regulate the counting of votes for President and Vice-President. John Adams Johnson. John James Madison. James Madison, John Adams. James John Adams, James Madison and James Madison Jr. James Adams Jr. John John Adams Jr., John Adams John Adams and John Adams III. John Jay John Adams II John Adams I John Adams James Adams, John Jay Adams III John Adams J. Adams, George Washington John Adams ( John Adams Adams and George Washington Adams. George Washington']","The 1876 presidential election results are inconclusive. Tilden appears to have a 300,000 edge in the popular vote as well as 184 electoral votes to Hayes's 165. But the returns from Florida, Louisiana, and South Carolina, representing 19 electoral votes, are disputed. In January, 1877, both parties in Congress agree to establish a commission, composed of five members of each house of Congress and five members of the Supreme Court, to determine results of the contested presidential election. In this address to the Senate, President Grant states his approval of Congress's plan for settling the dispute."
