,Generated_Summary,Original_Summary
0,"[' John Adams Morgan: Change of government means much more than the mere success of a party. He says the Nation is using the Democratic Party for a large and definite purpose. Morgan: We have been refreshed by a new insight intoour own life. We seethe bad with the good, the debased and decadent with the sound and vital. With this vision we approach new affairs. Our duty is to cleanse, to reconsider, to restore, to correct the evil without impairing the good. We have made up our minds to square our minds with every national life again.']","Woodrow Wilson delivers his first Inaugural Address following his victory over President William Taft and former President Theodore Roosevelt in the 1912 Presidential Election.  In the address, Wilson elucidates his goals as President, which include: reduction of the tariff and reforms in banking and currency."
1,"[' George Washington dispatch to Congress. Letter to the U.S. House of Representatives and the Senate. Letter addressed to the President of the United States. Letter also addressed to Mr. President of United States, John Adams Adams. Letter was published in The New York Times on March 4, 18th, 1837.']",President Wilson appears before Congress to recommend adjusting tariff duties.  A President had not addressed Congress personally since John Adams in 1800.
2,"[' John Adams Morgan: ""We are debtors to those fifty crowded years; they have made us heirs to a mighty heritage"" Morgan: We have harder things to do than were done in the heroic days of war, because harder to see clearly, requiring more vision, more calm balance of judgment, a more candid searching of the very springs of right. ""Our day is not over; it is upon us in full tide. Have affairs paused? Does the Nation stand still? Is what the fifty years have wrought since those days of battle finished, rounded out, and completed? Here is a great people, great with every force that has ever beaten in the lifeblood of mankind. And']","President Woodrow Wilson applauds the nation's recent peace at the fiftieth anniversary of the Battle of Gettysburg.  Wilson looks to the future as well, encouraging Americans to continue this peace."
3,"[' John Adams. John Adams: "" Liberty consists in the circumstances in which human happiness consists in human life"" John Adams (1776) John Adams, John Adams and John Adams Jr. (1763-18th century) John John Adams III (1777-1837) John Jay']","Woodrow Wilson praises the success of the American government as well as its creators' accomplishments.  Wilson also encourages emulation of these men, saying that “we are the custodians” of their “principles.”"
4,"[' John Adams Morgan. Morgan: ""The antagonism between business and government is over. The Government and business men are ready to meet each other half-way in a common effort to square business methods with both public opinion and the law. The best informed men of the business world condemn the methods and processes and consequences of monopoly as we condemn them"" Morgan: We are all agreed that “private monopoly is indefensible and intolerable, and our program is founded upon that conviction.”']","President Woodrow Wilson describes to Congress the current injustices resulting from trusts and monopolies. The President argues for the creation of new legislation to counter these unfair business practices and argues that the nation is ready for such changes.  In addition, Wilson proposes that “the punishment should fall upon” the individuals responsible, “not upon the business organizations” they represent."
5,"[' John C. Stearman. John John Stearlier this month John Adams Adams. The U.S. Vice President. John Adams John Adams. John Jay John Adams, Jr. The John Adams Papers, 1858-1881. John A John Adams and John Adams Jr., 1838-1859.']","President Wilson requests the authorization and support of Congress to use force in Mexico in response to the Tampico incident. On April 9, in the port of Tampico, Mexican officials detained several in 1881. Marines from the in 1881.S. Dolphin. Despite the their quick release and an expression of regret by President Victor Huerta, in 1881. Admiral Henry T. Mayo demands that Mexican troops salute an American flag as a sign of contrition. President Huerta refuses the demanded salute and three days later President Wilson orders American warships to Tampico Bay. In order to ""obtain from General Huerta and his adherents the fullest recognition of the rights and dignity of the United States,"" President Wilson requests authorization from Congress to use force in Mexico. Both houses sanction such force on April 22. Ultimately, President Wilson accepts an offer of arbitration presented by Argentina, Brazil, and Chile to resolve the controversy, however, the mediation proves unnecessary when Mexican President Huerta is forced to resign on July 15."
6,"[' John Adams Morgan: ""We come not for their sakes but for our own, in order that we may drink at the same springs of inspiration from which they themselves selves drank"" John Adams Johnson: ""I can never speak in praise of war, ladies and gentlemen; you would not desire me to do so. But there is this peculiar distinction belonging to the soldier, that he goes into an enterprise out of which he himself can not get anything at all. He is giving everything that he hath, even his life, in. order that others may live, not in order he himself may obtain gain and. prosperity."" John Adams']",President Wilson delivers a Memorial Day address at Arlington National Cemetery.
7,"[' John Adams Morgan: The way to be patriotic in America is not only to love America but to love the duty that lies nearest to our hand and know that in performing it we are serving our country. Morgan: Patriotism consists in some very practical things, practical in that they belong to the life of every day, that they wear no extraordinary distinction about them. He says it is patriotic, also, to learn what the facts of our national life are and to face them with candor.']",President Wilson delivers a Fourth of July address at Independence Hall in Philadelphia.
8,"["" John Adams Morgan: The effect of the war upon the United States will depend upon what American citizens say and do. Morgan: Every man who really loves America will act and speak in the true spirit of neutrality. He warns against that deepest, most subtle, most essential breach of neutrality which may spring out of partisanship, out of passionately taking sides. The United States must be neutral in fact as well as in name during these days that are to try men's souls, he says.""]","President Wilson preaches the importance of remaining neutral during the initial stages of World War I, and asks the American people to “be impartial in thought as well as in action.”  The President also recognizes the difficulty of impartiality in this widespread European conflict, especially considering the large percentage of Americans with European heritage."
9,"[' John Jay Gacy: I am very deeply gratified by the greeting that your president has given me and by your response to it. My only strength lies in your confidence. We stand now in a peculiar case. We are custodians, not of commands, but of the spirit of righteousness, of equal-handed justice, of the perfectibility of the law. Public life, like private life, would be very dull and dry if it were not for this belief in the essential beauty of human spirit and the belief that the human spirit could be translated into action and ordinance. Not you can go any faster than you can advance the moral judgments of the average mass of mass, but you']","In an address to the American Bar Association, President Woodrow Wilson laments some recent trends in the field.  Furthermore, the President looks forward to a “renewal” of the original “vision of the law.”"
10,"[' George Washington Carville Jr. President George Washington. George Washington J. Washington Jr. George George Washington Johnson Jr. Vice President George W. Bush George Washington Junior. George W George Bush J. J. Bush Vice president George Washington John Adams Bush Jr. John Adams John Adams Johnson Jr., George Washington George Washington Bush, George Washington Kennedy Jr., John Adams Kennedy, John Adams Adams Jr., James Adams Johnson, John John Adams III. John Washington Kennedy J. George John Adams J. Kennedy, George George John George Washington III George Washington Johns Hopkins J. John John Kennedy Jr, George John John Washington III, George Henry Washington III. George Henry John John John Henry John Adams, George']",President Wilson vetoes a bill requiring literacy tests for all immigrants to the United States claiming that it “embodies a radical departure from the traditional and long established policy of this country.”
11,"[' George Washington dispatch to Congress. Letter from President George Washington to Congress on U.S. relations with Germany. George Washington Post. Letter to Congress from George WashingtonPost.com. Letter by George Washington post to Congress, March 4, 1915. George W. Bush, George Washington Bush, Jr., George Washington, Jr. George George Washington George Washington. Post.com, March 3, 1915, at 3:30 p.m. John Adams Adams, John Adams, Jr,. John Adams Jr., John Adams III, George Adams, George John Adams George Adams. George Adams Jr, George George Adams III. George Bush George Washington John Adams John Adams. Washington George Adams George Washington']",President Wilson addresses Congress on German violations of international law in their attacks on non belligerent passenger and freight carrying ships. Wilson threatens to sever in 1881. diplomatic relations with Germany if they do not stop these attacks.
12,"[' John F. Kennedy Jr. John Kennedy Junior. John F., John John Kennedy J. John George Kennedy. John John George George Kennedy, John George John Kennedy, Jr. George George John George Washington. George John, George George Washington John Kennedy. George Washington George. John Washington John John. George Kennedy John, John John John Henry John Henry George. George Henry John John Jay John George, George John John Washington George, John Adams John Adams George. James Madison John Adams Johnson John Adams James. John Adams Kennedy John John Adams. John James John. James John Adams, George Washington Johnson. John Alexander Johnson, John Alexander John John Johnson, George Alexander John. John A. John']","In an address to the National Democratic Convention, incumbent President Woodrow Wilson accepts the party's nomination for the 1916 Presidential Election.  Wilson spells out his first term successes and the fulfillment of his promises prior to taking office.  In addition, the President reiterates the country's position of neutrality in World War I, a staple of the party's 1916 platform."
13,"[' John F. Kennedy Jr. John Kennedy Junior. John F., John John Kennedy J. John George Kennedy. John John George George Kennedy, John George John Kennedy, Jr. George George John George Washington. George John, George George Washington John Kennedy. George Washington George. John Washington John John. George Kennedy John, John John John Henry John Henry George. George Henry John John Jay John George, George John John Washington George, John Adams John Adams George. James Madison John Adams Johnson John Adams James. John Adams Kennedy John John Adams. John James John. James John Adams, George Washington Johnson. John Alexander Johnson, John Alexander John John Johnson, George Alexander John. John A. John']",President Wilson accepts the Democratic nomination for President.
14,"["" Dr. Davis: The astonishing thing about the movement which you represent is that it has grown so rapidly. Two generations ago, no doubt Madam President will agree with me in saying, it was a handful of women fighting this cause. Now it is a great multitude of women who are fighting it. And there are some interesting historical connections which I would like to attempt to point out to you. One of the most striking facts about the history of the United States is that at the outset it was. a lawyers ' history. Almost all of the questions to which America addressed itself, say a hundred years ago, were legal questions, were questions of method, not questions of what you were""]","President Wilson addresses the Suffrage Convention in Atlantic City, New Jersey."
15,"[' John Adams Morgan: Peace must be followed by a concert of power that will make it virtually impossible that any such catastrophe should ever overwhelm us again. Morgan: U.S. people should play no part in that great enterprise. No covenant of cooperative peace that does not include the peoples of the New World can suffice to keep the future safe against war. Mere agreements may not make peace secure, he says, and it will be absolutely necessary that a force of the permanency of the settlement so much greater than the force of any nation now engaged in war must be created to secure it.']","Prior to the United States' involvement in World War I, Woodrow Wilson discusses his intentions to obtain peace in the war and to prevent future wars.  The President stresses the need for “equality” in this peace.  This equality was never obtained, however, as Germany was severely punished at the conclusion of the war."
16,"[' Germany announced in January 1916 that it would use submarines against all shipping seeking to pass through certain designated areas of the high seas. John Adams: ""The Government of the United States is at last forced to the conclusion that there is but one course it can pursue"" George Washington']","In reaction to the German resumption of unrestricted attacks against merchant shipping, President Wilson addresses Congress regarding the severance of diplomatic relations with Germany."
17,"[' I have again asked the privilege of addressing you because we are moving through critical times during which it seems to me to be my duty to keep in close touch with the Houses of Congress. On the third of February I officially informed you of the sudden and unexpected action of the Imperial German Government in declaring its intention to disregard the promises it had made to this Government in April last. That policy was forthwith put into practice. It has now been in active execution for nearly four weeks. Its practical results are not yet fully disclosed. The commerce of other neutral nations is suffering severely, but not, perhaps, very much more severely than it was already suffering before the first of February, when the']",President Wilson asks Congress for the authority to arm merchant ships.
18,"["" John Adams Morgan: Four years have been full of important reforms in U.S. history. He says America has sought to set its house in order, correct grosser errors andabuses of its industrial life, lift its politics to a broader view of the people's essential interests. Morgan: We stand firm in armed neutrality since it seemsthat in no other way we can demonstrate what it is we insist upon and cannot forget.""]","Following his victory in the 1916 Presidential Election, President Woodrow Wilson delivers the Inaugural Address to his second Presidential term.  The President speaks about the nation's neutral position in the current European conflict, World War I, in addition to guidelines for peace."
19,"[' I have called the Congress into extraordinary session because there are serious, very serious, choices of policy to be made, and made immediately. On the 3rd of February last, I officially laid before you the extraordinary announcement of the Imperial German government that on and after the 1st day of February it was its purpose to put aside all restraints of law or of humanity and use its submarines to sink every vessel. Vessels of every kind, whatever their flag, their character, their cargo, their destination, their errand, have been ruthlessly sent to the bottom without warning and without thought of help or mercy for those on board, the vessels of friendly neutrals along with those of bellig']","President Woodrow Wilson outlines his reasons for asking Congress for a declaration of war against Germany. He points to the German use of submarine warfare as a major factor in his decision to go to war against Germany. The President argues that the United States needs to wage war to make the world safe for democracy. Congress approves Wilson's request and declares war against Germany on April 6, 1917, bringing the United States into World War I."
20,"[' Woodrow Wilson: A state of war exists between the United States and the Imperial German Government. Wilson: All natives, citizens, denizens, or subjects of Germany, being males of the age of 14 years and upwards, who shall be within the U.S., and not actually naturalized, who for the purpose of this proclamation and under such sections of the Revised Statutes are termed alien enemies. All alien enemies are enjoined to preserve the peace towards the United. States and to refrain from crime against the public safety, and to. refrain from violating the laws.']",President Wilson lays out the United States' regulations in dealing with enemy aliens during the nation's very recent involvement in World War I.
21,"[' George Washington dispatch. Letter to his fellow Americans. Letter addressed to his countrymen. Letter also addressed to the farmers of the country and to all who work on the farms. Letter was published in The New York Times on June 14, 1864, and published in the New York edition on June 21, 1866.']",President Wilson addresses the nation regarding the beginning of World War I.
22,"[' George WashingtonWashington D.C., May 18, 1917. Proclamation. By the President of the United States of America A Proclamation Whereas, Congress has enacted and the President has on the 18th day of May, 1917, approved a law which contains the following provisions. That all male persons between the ages of twenty-one and thirty, both inclusive, shall be subject to registration in accordance with regulations to be prescribed by the President.']","President Wilson issues a Presidential Proclamation regarding the Selective Service Act, which requires all men between the ages of 21 and 30 to register with locally administered draft boards for a federal draft lottery. It is the first conscription act in the United States since the Civil War."
23,"[' Parleys have been in progress at Brest-Litovsk between Russian representatives and representatives of the Central Powers. The Russian representatives presented a perfectly definite statement of the principles upon which they would be willing to conclude peace. The Central Powers, on their part, presented an outline of settlement which, if much less definite, seemed susceptible of liberal interpretation until their specific program of practical terms was added. That program proposed no concessions at all either to the sovereignty of Russia or to the preferences of the populations with whose fortunes it dealt. It meant, in a word, that the Central Empires were to keep every foot of territory their armed forces had occupied,. every province, every city, every']","In this address to Congress, President Wilson lists his ""Fourteen Points"" for a just and lasting peace. His objectives include the self determination of nations, free trade, disarmament, a pact to end secret treaties, and a league of nations to realize collective security. This speech becomes the basis for Wilson's peace proposals at the end of the war."
