,ent,ent_label
0,"the fourth day of July, 1776",DATE
1,Great Britain,GPE
2,Atlantic,LOC
3,North America,LOC
4,the first year,DATE
5,one,CARDINAL
6,Henry Clay,PERSON
7,three quarters of a century,DATE
8,Henry Clay,PERSON
9,those dark hours,TIME
10,Henry Clay,PERSON
11,Clay,PERSON
12,yesterday,DATE
13,twenty minutes,TIME
14,Washington,GPE
15,Americans,NORP
16,North,LOC
17,South,LOC
18,East,LOC
19,West,LOC
20,Henry Clay,PERSON
21,the French Revolution,EVENT
22,Napoleon,ORG
23,America,GPE
24,Europe,LOC
25,Great Britain,GPE
26,Greece,GPE
27,Turks,NORP
28,South America,LOC
29,Spain,GPE
30,Bolivar,ORG
31,two,CARDINAL
32,Clay,PERSON
33,at least three,CARDINAL
34,him!''While,ORG
35,Clay,PERSON
36,twenty-five years,DATE
37,Henry Clay,PERSON
38,the 12th of April 1777,DATE
39,Hanover county,GPE
40,Virginia,GPE
41,fourth or fifth year,DATE
42,Henry,ORG
43,Clay,PERSON
44,Clay,PERSON
45,at least one,CARDINAL
46,his twenty-third year,DATE
47,Clay,PERSON
48,Lexington,GPE
49,Kentucky,GPE
50,the year 1803,DATE
51,first,ORDINAL
52,the Kentucky Legislature,ORG
53,Legislature,ORG
54,1806,DATE
55,Senate,ORG
56,1807,DATE
57,the Kentucky House of Representatives,ORG
58,1808,DATE
59,1809,DATE
60,two years,DATE
61,the United States,GPE
62,Senate,ORG
63,1811,DATE
64,the United States,GPE
65,House of Representatives,ORG
66,the first day,DATE
67,1813,DATE
68,1814,DATE
69,British,NORP
70,Clay,PERSON
71,the same year,DATE
72,Europe,LOC
73,Congress,ORG
74,December 1815,DATE
75,John Q. Adams,PERSON
76,March 1825,DATE
77,State,ORG
78,Jackson,PERSON
79,March 1829,DATE
80,Kentucky,GPE
81,the Autumn of 1831,DATE
82,the Legislature of Kentucky,ORG
83,Senate,ORG
84,Senate,ORG
85,March 1842,DATE
86,December 1849,DATE
87,Senate,ORG
88,only a few months,DATE
89,Clay,PERSON
90,1803,DATE
91,1852,DATE
92,one year,DATE
93,half a century,DATE
94,ten years,DATE
95,Clay,PERSON
96,American,NORP
97,Missouri,GPE
98,Nullification,LAW
99,1824,DATE
100,first,ORDINAL
101,1832,DATE
102,1844,DATE
103,1824,DATE
104,1848,DATE
105,American,NORP
106,Jackson,PERSON
107,Van Buren,PERSON
108,Taylor,PERSON
109,Clay,PERSON
110,Henry Clay,PERSON
111,Clay,PERSON
112,Clay,PERSON
113,Fourth of July Oration,DATE
114,Union of these States,ORG
115,Clay,PERSON
116,first,ORDINAL
117,Clay,PERSON
118,the last half century,DATE
119,Americans,NORP
120,the War of 1812,EVENT
121,Missouri,GPE
122,Nullification,ORG
123,1812,DATE
124,Clay,PERSON
125,Great Britain,GPE
126,the day,DATE
127,Congress,ORG
128,years,DATE
129,British,NORP
130,Clay,PERSON
131,Congress,ORG
132,Clay,PERSON
133,Otis,GPE
134,Henry,PERSON
135,British,NORP
136,War,EVENT
137,1812,DATE
138,Missouri,GPE
139,North-West,LOC
140,Ohio,GPE
141,Mississippi,LOC
142,the States of Maine,GPE
143,Kentucky,GPE
144,Tennessee,GPE
145,Massachusetts,GPE
146,Virginia,GPE
147,North Carolina,GPE
148,the North Western Territory,ORG
149,Constitution,LAW
150,States,GPE
151,Union,ORG
152,North West,LOC
153,1803,DATE
154,French,NORP
155,State,ORG
156,Missouri,GPE
157,1819,DATE
158,Missouri,GPE
159,State,ORG
160,Missouri,GPE
161,Jefferson,PERSON
162,the night,TIME
163,second,ORDINAL
164,Justice,ORG
165,Clay,PERSON
166,1819,DATE
167,1821,DATE
168,Missouri,GPE
169,Clay,PERSON
170,Missouri,GPE
171,Missouri,GPE
172,Missouri,GPE
173,Clay,PERSON
174,State,ORG
175,Missouri,GPE
176,American,NORP
177,Clay,PERSON
178,days,DATE
179,Mexico,GPE
180,Clay,PERSON
181,consent--,GPE
182,Clay,PERSON
183,South Americans,NORP
184,Clay,PERSON
185,one,CARDINAL
186,more than fifty years,DATE
187,Kentucky,GPE
188,Clay,PERSON
189,the Union of these States,ORG
190,Bible,WORK_OF_ART
191,a single hour,TIME
192,Clay,PERSON
193,extreme--,PERSON
194,first,ORDINAL
195,American,NORP
196,John C. Calhoun,PERSON
197,South Carolina,GPE
198,South Carolina,GPE
199,only last year,DATE
200,Virginia,GPE
201,St. Louis,GPE
202,Bibles,GPE
203,Bible,WORK_OF_ART
204,Saint Voltaire,GPE
205,Thomas Jefferson,PERSON
206,two,CARDINAL
207,Siamese,NORP
208,"425,000",MONEY
209,America,GPE
210,the fresher days,DATE
211,Clay,PERSON
212,the American Colonization Society,ORG
213,1827,DATE
214,one,CARDINAL
215,annual,DATE
216,British,NORP
217,West Indian,NORP
218,South American,NORP
219,America,GPE
220,American Colonization Society,ORG
221,1816,DATE
222,Clay,PERSON
223,the many preceding years,DATE
224,Africa,LOC
225,African,NORP
226,African,NORP
227,twenty-five years ago,DATE
228,year,DATE
229,the Red Sea,LOC
230,Clay,PERSON
231,Henry Clay,PERSON
232,Henry Clay,PERSON
233,Divine Providence,PERSON
234,Henry ClayOn,PERSON
235,"the fourth day of July, 1776",DATE
236,Great Britain,GPE
237,Atlantic,LOC
238,North America,LOC
239,the first year,DATE
240,one,CARDINAL
241,Henry Clay,PERSON
242,three quarters of a century,DATE
243,Henry Clay,PERSON
244,those dark hours,TIME
245,those hours,TIME
246,Henry Clay,PERSON
247,Clay,PERSON
248,yesterday,DATE
249,twenty minutes,TIME
250,Washington,GPE
251,Americans,NORP
252,North,LOC
253,South,LOC
254,East,LOC
255,West,LOC
256,Henry Clay,PERSON
257,the French Revolution,EVENT
258,Napoleon,ORG
259,America,GPE
260,Europe,LOC
261,Great Britain,GPE
262,Greece,GPE
263,Turks,NORP
264,South America,LOC
265,Spain,GPE
266,Bolivar,ORG
267,two,CARDINAL
268,Clay,PERSON
269,at least three,CARDINAL
270,Clay,PERSON
271,twenty-five years,DATE
272,Henry Clay,PERSON
273,the 12th of April 1777,DATE
274,Hanover county,GPE
275,Virginia,GPE
276,fourth or fifth year,DATE
277,Henry,ORG
278,Clay,PERSON
279,Clay,PERSON
280,at least one,CARDINAL
281,his twenty-third year,DATE
282,Clay,PERSON
283,Lexington,GPE
