,ent,ent_label
0,the Federal Constitution,LAW
1,the United States,GPE
2,Legislature,ORG
3,Congress,ORG
4,Executive,ORG
5,States,GPE
6,Union,GPE
7,Congress,ORG
8,Constitution,LAW
9,the Federal Government,ORG
10,Navy,ORG
11,a million,CARDINAL
12,Indian,NORP
13,the Federal Government,ORG
14,the Congress of the United States,ORG
15,7th,ORDINAL
16,1824,DATE
17,the United States,GPE
18,the United States,GPE
19,the United States,GPE
20,the United States,GPE
21,the United States,GPE
22,the United States,GPE
23,Imperial Majesty the Emperor of Austria,ORG
24,de Lederer,PERSON
25,the United States,GPE
26,the United States,GPE
27,Austrian,NORP
28,the 1st day of January,DATE
29,Austrian,NORP
30,Andrew Jackson,PERSON
31,the United States of America,GPE
32,the United States,GPE
33,the Empire of Austria,GPE
34,the United States,GPE
35,the day,DATE
36,the United States,GPE
37,Austria,GPE
38,Washington,GPE
39,this 11th day,DATE
40,A. D. 1829,NORP
41,fifty-second,TIME
42,the Independence L of the United States,ORG
43,Senate,ORG
44,House of Representatives,ORG
45,Constitution,LAW
46,24,CARDINAL
47,"12,000,000",CARDINAL
48,first,ORDINAL
49,the United States,GPE
50,years,DATE
51,England,GPE
52,France,GPE
53,Spain,GPE
54,United States,GPE
55,this early day,DATE
56,Great Britain,GPE
57,years,DATE
58,two,CARDINAL
59,Great Britain,GPE
60,fifth,ORDINAL
61,first,ORDINAL
62,the Court of the Sovereign,ORG
63,Maine,GPE
64,France,GPE
65,1822,DATE
66,Court,ORG
67,France,GPE
68,two,CARDINAL
69,the French Monarch,GPE
70,French,NORP
71,Spain,GPE
72,Spain,GPE
73,European,NORP
74,Russia,GPE
75,the United States,GPE
76,Turkey,GPE
77,the United States,GPE
78,the Black Sea,LOC
79,Russia,GPE
80,Porte,FAC
81,Europe,LOC
82,the past summer,DATE
83,Austria,GPE
84,secondary,ORDINAL
85,Senate,ORG
86,Congress,ORG
87,Portugal,GPE
88,the present year,DATE
89,Denmark,GPE
90,Danish Majesty,PERSON
91,Mediterranean,LOC
92,Pacific,LOC
93,Republics,GPE
94,Mexico,GPE
95,South American,NORP
96,States,GPE
97,Spain,GPE
98,South American,NORP
99,Brazil,GPE
100,Imperial Majesty,ORG
101,1828,DATE
102,Peru,GPE
103,the United States,GPE
104,Mexico,GPE
105,the United States,GPE
106,two,CARDINAL
107,Mexican,NORP
108,Poinsett,PERSON
109,Mexico,GPE
110,Mexican,NORP
111,Republic,GPE
112,Poinsett,PERSON
113,Mexico,GPE
114,Mexico,GPE
115,Constitution,LAW
116,the House of Representatives,ORG
117,first,ORDINAL
118,the House of Representatives,ORG
119,24,CARDINAL
120,one,CARDINAL
121,One,CARDINAL
122,first,ORDINAL
123,Constitution,LAW
124,first,ORDINAL
125,second,ORDINAL
126,two,CARDINAL
127,four or six years,DATE
128,Congress,ORG
129,Congress,ORG
130,Cabinet,ORG
131,four years,DATE
132,republican,NORP
133,Congress,ORG
134,two,CARDINAL
135,three,CARDINAL
136,the day,DATE
137,North,LOC
138,South,LOC
139,East,LOC
140,first,ORDINAL
141,Congress,ORG
142,that year,DATE
143,Treasury,ORG
144,1829 - 01,DATE
145,"5,972,435.81",MONEY
146,the current year,DATE
147,"24,602,230",MONEY
148,"26,164,595",MONEY
149,Treasury,ORG
150,1830 - 01 01,DATE
151,"4,410,070.81",MONEY
152,the present year,DATE
153,"12,405,005.80",MONEY
154,1830 - 01 01,DATE
155,"48,565,406.50",MONEY
156,$ 7 million,MONEY
157,5 percent,PERCENT
158,the Bank of the United States,ORG
159,1829 - 07 - 01,DATE
160,"8,715,462.87",MONEY
161,Treasury,ORG
162,the Bank of the United States,ORG
163,Treasury,ORG
164,Congress,ORG
165,Constitution,LAW
166,Constitution,LAW
167,Constitution,LAW
168,a day,DATE
169,six,CARDINAL
170,12 months,DATE
171,the United States,GPE
172,Congress,ORG
173,Treasury,ORG
174,two,CARDINAL
175,Treasury,ORG
176,Treasury,ORG
177,the United States,GPE
178,the United States,GPE
179,the Treasury Department,ORG
180,one,CARDINAL
181,Congress,ORG
182,Congress,ORG
183,Treasury,ORG
184,the United States,GPE
185,17th,ORDINAL
186,Congress,ORG
187,1823 - 03 - 03,DATE
188,the United States,GPE
189,Treasury,ORG
190,one,CARDINAL
191,two years,DATE
192,the two years,DATE
193,Treasury,ORG
194,two years,DATE
195,two years,DATE
196,Congress,ORG
197,War,ORG
198,Army,ORG
199,Indian,NORP
200,Army,ORG
201,West Point,LOC
202,Congress,ORG
203,1,CARDINAL
204,1821,DATE
205,the Paymaster and Surgeon General,ORG
206,2.500,MONEY
207,Army,ORG
208,Revolutionary,ORG
209,the War of Independence,EVENT
210,154,CARDINAL
211,March 27,DATE
212,87,CARDINAL
213,Department,ORG
