,ent,ent_label
0,Dean,PERSON
1,Dick Durbin,PERSON
2,the United States,GPE
3,Americans,NORP
4,Hillary Rodham Clinton,PERSON
5,Clinton,PERSON
6,last night,TIME
7,Ted Kennedy,PERSON
8,the United States,GPE
9,Joe Biden,PERSON
10,one,CARDINAL
11,Amtrak,ORG
12,every night,TIME
13,First,ORDINAL
14,Michelle Obama,PERSON
15,Sasha,PERSON
16,Malia,PERSON
17,Four years ago,DATE
18,Kenya,GPE
19,Kansas,GPE
20,America,GPE
21,one,CARDINAL
22,American,NORP
23,tonight,TIME
24,two hundred and thirty two years,DATE
25,one,CARDINAL
26,American,NORP
27,Tonight,TIME
28,Americans,NORP
29,Washington,GPE
30,George W. Bush,PERSON
31,America,GPE
32,these last eight years,DATE
33,Ohio,GPE
34,one,CARDINAL
35,Indiana,GPE
36,twenty years,DATE
37,China,GPE
38,American,NORP
39,Tonight,TIME
40,American,NORP
41,Democrats,NORP
42,Republicans,NORP
43,Independents,NORP
44,the 21st century,DATE
45,American,NORP
46,next week,DATE
47,Minnesota,GPE
48,two,CARDINAL
49,George Bush,PERSON
50,Dick Cheney,PERSON
51,the next four years,DATE
52,November 4th,DATE
53,Eight,CARDINAL
54,Republican,NORP
55,John McCain,PERSON
56,next week,DATE
57,John McCain,PERSON
58,George Bush,PERSON
59,ninety percent,PERCENT
60,McCain,PERSON
61,George Bush,PERSON
62,more than ninety percent,PERCENT
63,1,CARDINAL
64,ten percent,PERCENT
65,McCain,PERSON
66,Americans,NORP
67,Michigan,GPE
68,every day,DATE
69,third,ORDINAL
70,fourth,ORDINAL
71,fifth,ORDINAL
72,Americans,NORP
73,McCain,PERSON
74,Americans,NORP
75,under five million dollars,MONEY
76,hundreds of billions,MONEY
77,one penny,MONEY
78,more than one hundred million,CARDINAL
79,Americans,NORP
80,Social Security,ORG
81,John McCain,PERSON
82,John McCain,PERSON
83,two decades,DATE
84,Republican,NORP
85,Washington,GPE
86,the Ownership Society,ORG
87,America,GPE
88,Democrats,NORP
89,the end of each month,DATE
90,23 million,CARDINAL
91,Bill Clinton,PERSON
92,American,NORP
93,"7,500",MONEY
94,"2,000",MONEY
95,George Bush,PERSON
96,the Fortune 500,FAC
97,a day,DATE
98,tonight,TIME
99,Iraq,GPE
100,Afghanistan,GPE
101,Pearl Harbor,FAC
102,Patton,GPE
103,Army,ORG
104,just three hours,TIME
105,the South Side of Chicago,LOC
