,ent,ent_label
0,State,ORG
1,Constitution,LAW
2,this day,DATE
3,the twenty-sixth,DATE
4,Constitution,LAW
5,first,ORDINAL
6,Washington,GPE
7,New York,GPE
8,Congress,ORG
9,"the 30th day of April, 1789",DATE
10,Congressand,GPE
11,the Declaration of Independence,WORK_OF_ART
12,Yorktown,GPE
13,Constitution,LAW
14,New York,GPE
15,second,ORDINAL
16,the Supreme Court,ORG
17,its second century,DATE
18,second,ORDINAL
19,Constitution,LAW
20,the first century,DATE
21,Constitution,LAW
22,Washingtonand,GPE
23,thirty,CARDINAL
24,States,GPE
25,States,GPE
26,Atlanticseaboard,ORG
27,Dakota,ORG
28,States,GPE
29,Virginia,GPE
30,States,GPE
31,1790,DATE
32,Baltimore,GPE
33,1880,DATE
34,Cincinnati,GPE
35,one hundred years ago,DATE
36,the General Government,ORG
37,Constitution,LAW
38,States,GPE
39,American,NORP
40,Europeanstatesmen,GPE
41,Congress,ORG
42,Republicfor,PERSON
43,the end of the century of the,DATE
44,States,GPE
45,States,GPE
46,the New England States,LOC
47,States,GPE
48,Mill,PERSON
49,States,GPE
50,Noneare,PERSON
51,State,ORG
52,South,LOC
53,South,LOC
54,Clay,PERSON
55,Webster,PERSON
56,Constitution,LAW
57,Congress,ORG
58,American,NORP
59,European,NORP
60,American,NORP
61,European,NORP
62,no European Government,ORG
63,American States,GPE
64,Thatwhich,PERSON
65,Navy,ORG
66,Senate,ORG
67,Constitution,LAW
68,Congress,ORG
69,Departments,ORG
70,Treasury,ORG
71,Congress,ORG
72,annual,DATE
73,Americansteamship,ORG
74,States,GPE
75,the Union of the Dakotas,ORG
76,Montana,GPE
77,Washington Territories,GPE
78,Territories,LOC
79,States,GPE
80,Territories,LOC
81,years,DATE
82,TheNational Congress,ORG
83,Constitution,LAW
84,States,GPE
85,Congress,ORG
86,Congressionaldistricts,ORG
87,States,GPE
88,State,ORG
89,State,ORG
90,the United States of America A Proclamation,GPE
91,A hundred years,DATE
92,noon,TIME
93,"April, 1789",DATE
94,New York,GPE
95,George Washington,PERSON
96,9 o'clock in the morning,TIME
97,first,ORDINAL
98,Congress,ORG
99,the day,DATE
100,Christian,NORP
101,Hebrew,LANGUAGE
102,an hour,TIME
103,that day,DATE
104,Benjamin Harrison,PERSON
105,the United States of America,GPE
