,ent,ent_label
0,today,DATE
1,American,NORP
2,winter,DATE
3,America,GPE
4,America,GPE
5,America,GPE
6,America,GPE
7,Americans,NORP
8,American,NORP
9,Bush,PERSON
10,half-century,DATE
11,America,GPE
12,millions,CARDINAL
13,Today,DATE
14,George Washington,PERSON
15,first,ORDINAL
16,billions,CARDINAL
17,America,GPE
18,today,DATE
19,Earth,LOC
20,millions,CARDINAL
21,Americans,NORP
22,millions,CARDINAL
23,Americans,NORP
24,today,DATE
25,the Civil War,EVENT
26,the Great Depression,EVENT
27,Thomas Jefferson,PERSON
28,Americans,NORP
29,America,GPE
30,America,GPE
31,American,NORP
32,America,GPE
33,America,GPE
34,America,GPE
35,Capital,ORG
36,Americans,NORP
37,today,DATE
38,America,GPE
39,Franklin Roosevelt,PERSON
40,America,GPE
41,Today,DATE
42,America,GPE
43,America,GPE
44,Americans,NORP
45,today,DATE
46,the Persian Gulf,LOC
47,Somalia,GPE
48,America,GPE
49,American,NORP
50,today,DATE
51,Congress,ORG
52,Americans,NORP
53,Congress,ORG
54,Congress,ORG
55,Americans,NORP
56,Americans,NORP
57,millions,CARDINAL
58,Today,DATE
59,America,GPE
60,America,GPE
61,two centuries,DATE
62,America,GPE
63,Americans,NORP
64,the 21st century,DATE
65,Good afternoon,TIME
66,1,CARDINAL
67,the last few days,DATE
68,Today,DATE
69,Nunn,PERSON
70,Mitchell,PERSON
71,the next few days,DATE
72,the Joint Chiefs of Staff,ORG
73,Congress,ORG
74,American,NORP
75,Defense,ORG
76,July the 15th,DATE
77,the next 6 months,DATE
78,the Joint Chiefs,ORG
79,the Joint Chiefs,ORG
80,Congress,ORG
81,The Joint Chiefs of Staff,ORG
82,the last few days,DATE
83,the next 6 months,DATE
84,July 15th,DATE
85,the Department of Justice,ORG
86,Department of Defense,ORG
87,Defense,ORG
88,Defense,ORG
89,Nunn,PERSON
90,Mitchell,PERSON
91,Congress,ORG
92,today,DATE
93,Americans,NORP
94,Americans,NORP
95,Congress,ORG
96,February 17th,DATE
97,the coming months,DATE
98,the White House Task Force on Health Care,ORG
99,First,ORDINAL
100,Congress,ORG
101,100 days,DATE
102,Nation,ORG
103,the last 2 or 3 days,DATE
104,Nunn,PERSON
105,Mitchell,PERSON
106,America,GPE
107,Congress,ORG
108,the next 6 months,DATE
109,American,NORP
110,yesterday,DATE
111,California,GPE
112,Navy,ORG
113,the Justice Department,ORG
114,one,CARDINAL
115,two,CARDINAL
116,secondly,ORDINAL
117,Senate,ORG
118,the Joint Chiefs,ORG
119,the Joint Chiefs of Staff,ORG
120,Senate,ORG
121,Nunn,PERSON
122,Mitchell,PERSON
123,6 months,DATE
124,Congress,ORG
125,Congress,ORG
126,Congress,ORG
127,1,CARDINAL
128,1,CARDINAL
129,Q.,PERSON
130,the first week,DATE
131,1,CARDINAL
132,the first week,DATE
