,ent,ent_label
0,fourth,ORDINAL
1,fourth,ORDINAL
2,Constitution,LAW
3,Executive,ORG
4,Congress,ORG
5,Constitution,LAW
6,two,CARDINAL
7,Constitution,LAW
8,American,NORP
9,Senate,ORG
10,the United States,GPE
11,Senate,ORG
12,71,CARDINAL
13,Chinese,NORP
14,Senate,ORG
15,the United States,GPE
16,Congress,ORG
17,China,GPE
18,Chinese,NORP
19,the United States,GPE
20,China,GPE
21,the United States,GPE
22,Burlingame,ORG
23,Chinese,NORP
24,the United States,GPE
25,the United States,GPE
26,China,GPE
27,the United States,GPE
28,the United States,GPE
29,Chinese,NORP
30,Congress,ORG
31,China,GPE
32,Burlingame,ORG
33,the United States,GPE
34,Chinese,NORP
35,the United States,GPE
36,Chinese,NORP
37,the United States,GPE
38,China,GPE
39,the United States,GPE
40,Burlingame,ORG
41,China,GPE
42,a year,DATE
43,Constitution,LAW
44,first,ORDINAL
45,the United States,GPE
46,first,ORDINAL
47,the United States,GPE
48,Chinese,NORP
49,the United States,GPE
50,the United States,GPE
51,Chinese,NORP
52,the United States,GPE
53,Congress,ORG
54,the United States,GPE
55,Congress,ORG
56,first,ORDINAL
57,the United States,GPE
58,Americans,NORP
59,Chinese,NORP
60,Chinese,NORP
61,Americans,NORP
62,Chinese,NORP
63,Chinese,NORP
64,Article II,LAW
65,Chinese,NORP
66,the United States,GPE
67,American,NORP
68,the Chinese Government,ORG
69,Burlingame,ORG
70,the United States,GPE
71,Chinese,NORP
72,United States,GPE
73,the United States,GPE
74,Chinese,NORP
75,Americans,NORP
76,the Chinese Government,ORG
77,two,CARDINAL
78,the United States Government,GPE
79,Chinese,NORP
80,Chinese,NORP
81,United States,GPE
82,Chinese,NORP
83,Chinese,NORP
84,first,ORDINAL
85,American,NORP
86,Chinese,NORP
87,first,ORDINAL
88,Chinese,NORP
89,the United States,GPE
90,the United States,GPE
91,each year,DATE
92,Chinese,NORP
93,one year,DATE
94,Chinese,NORP
95,years,DATE
96,every third year,DATE
97,two,CARDINAL
98,three,CARDINAL
99,five years,DATE
100,Americans,NORP
101,Chinese,NORP
102,the United States,GPE
103,one,CARDINAL
104,Chinese,NORP
105,Americans,NORP
106,Americans,NORP
107,the United States Government,GPE
108,Chinese,NORP
109,American,NORP
110,the United States,GPE
111,Chinese,NORP
112,the United States,GPE
113,Chinese,NORP
114,South,LOC
115,California,GPE
116,Congress,ORG
117,Chinese,NORP
118,Article I of which The Government of China,LAW
119,the United States,GPE
120,Chinese,NORP
121,the United States,GPE
122,Chinese,NORP
123,first,ORDINAL
124,sixty days,DATE
125,twenty years,DATE
126,Chinese,NORP
127,Chinese,NORP
128,sixty days,DATE
129,the United States,GPE
130,1880,DATE
131,twenty years,DATE
132,Burlingame,ORG
133,Congress,ORG
134,Congress,ORG
135,Chinese,NORP
136,Burlingame,ORG
137,the United States,GPE
138,the United States,GPE
139,Chinese,NORP
140,Congress,ORG
141,the United States,GPE
142,Incorporates,GPE
143,Europe,LOC
144,Chinese,NORP
145,Burlingame,ORG
146,Burlingame,ORG
147,the United States,GPE
148,Chinese,NORP
149,the United States,GPE
150,Chinese,NORP
151,Congress,ORG
152,Chinese,NORP
153,China,GPE
154,first,ORDINAL
155,forty years old,DATE
156,California,GPE
157,Pacific,LOC
158,Monarchy,PERSON
159,Chinese,NORP
160,the United States,GPE
161,Atlantic,LOC
162,Pacific,LOC
163,The States of,GPE
164,the Pacific Slope,ORG
165,Caucasian,NORP
166,Congress,ORG
167,East,LOC
168,China,GPE
169,Pacific Slope,ORG
170,The State of California,GPE
171,State,ORG
172,San Francisco,GPE
173,Asia,LOC
174,Oriental,NORP
175,Asiatic,NORP
176,first,ORDINAL
177,China,GPE
178,Hayes,PERSON
179,Senate,ORG
180,"the 10th January, 1881",DATE
181,State,ORG
182,Chinese,NORP
183,Washington,GPE
184,Senate,ORG
185,House of Representatives,ORG
186,North and South America,GPE
187,Washington,GPE
188,the 22d of November,DATE
189,America,GPE
190,the Republics of South America,ORG
191,Chile,GPE
192,Peru,GPE
193,Mexico,GPE
194,Guatemala,GPE
195,the States of Central America,GPE
196,Constitution,LAW
197,Senate,ORG
198,one,CARDINAL
199,States,GPE
200,South America,LOC
201,Congress,ORG
202,the United States,GPE
203,Isthmus,GPE
204,the Congress of the United States,ORG
205,Republics,GPE
206,Congress,ORG
207,as early a day,DATE
208,CHESTER A. ARTHUR DEPARTMENT OF STATE,ORG
209,Washington,GPE
210,"November 29, 1881",DATE
211,the United States,GPE
212,American,NORP
213,years past,DATE
214,one,CARDINAL
215,American,NORP
216,the United States,GPE
217,the New World,FAC
218,United States,GPE
219,the Argentine Republic,GPE
220,Bolivia,GPE
221,Brazil,GPE
222,Central America,LOC
223,Chile,GPE
224,Colombia,GPE
225,Mexico,GPE
226,Paraguay,ORG
227,Uruguay,GPE
228,Peru,GPE
229,Venezuela,GPE
230,Ecuador,GPE
231,the United States,GPE
232,some years past,DATE
233,States of Central and South America,ORG
234,the United States,GPE
235,American,NORP
236,the Western Hemisphere,LOC
237,the Governments of America,ORG
238,American Commonwealths,ORG
239,North and South America,GPE
240,Washington,GPE
241,"the 24th day of November, 1882",DATE
242,America,GPE
243,one,CARDINAL
244,the United States,GPE
245,America,GPE
246,the South Pacific coast,LOC
247,the United States,GPE
248,The United States,GPE
249,Mexico,GPE
250,the United States,GPE
251,the United States,GPE
252,the Mexican Republic,GPE
253,two,CARDINAL
254,The United States,GPE
255,two,CARDINAL
256,JAMES G. BLAINE,PERSON
257,the House of Representatives,ORG
258,the United States,GPE
259,House,ORG
260,2744,DATE
261,Houses of Congress,ORG
262,first,ORDINAL
263,13,CARDINAL
264,24,CARDINAL
265,100 cubic feet,QUANTITY
266,first,ORDINAL
267,120 cubic feet,QUANTITY
268,second,ORDINAL
269,two,CARDINAL
270,first,ORDINAL
271,31,CARDINAL
272,35,CARDINAL
273,less than 7 feet,QUANTITY
274,8 feet,QUANTITY
275,7 feet,QUANTITY
276,7 feet,QUANTITY
277,7 feet,QUANTITY
278,12,CARDINAL
279,14,CARDINAL
280,24,CARDINAL
281,an appointed hour,TIME
282,the very hour,TIME
283,three,CARDINAL
284,the House of Representatives,ORG
285,House,ORG
286,the House of Representatives,ORG
287,Two,CARDINAL
288,Congress,ORG
289,annual,DATE
290,December,DATE
291,Potomac,NORP
292,April last,DATE
293,the Mississippi River,LOC
294,States,GPE
295,the Constitution to Congress,LAW
296,Constitution,LAW
297,one,CARDINAL
298,State,ORG
299,State,ORG
300,year,DATE
301,1870,DATE
302,"3,975,900",MONEY
303,1875,DATE
304,"6,648,517.50",MONEY
305,1880,DATE
306,"8,976,500",MONEY
307,1881,DATE
308,"11,451,000",MONEY
309,"18,743,875",MONEY
310,Legislature,ORG
311,the present fiscal year,DATE
312,annual,DATE
313,Congress,ORG
314,one-half,CARDINAL
315,the fiscal year,DATE
316,War,EVENT
317,Constitution,LAW
318,Congress,ORG
319,Congress,ORG
320,four months,DATE
321,Senate,ORG
322,House of Representatives,ORG
323,the United States,GPE
324,Constitution,LAW
325,Congress,ORG
326,the year,DATE
327,first,ORDINAL
328,the year,DATE
329,the United States,GPE
330,Ireland,GPE
331,Great Britain,GPE
332,the American Isthmus,ORG
333,two,CARDINAL
334,Russia,GPE
335,Hebrew,LANGUAGE
336,American,NORP
337,Russia,GPE
338,Paris,GPE
339,1880,DATE
340,the United States,GPE
341,Paris,GPE
342,France,GPE
343,two,CARDINAL
344,Paris,GPE
345,Congress,ORG
346,the United States,GPE
347,Spain,GPE
348,Congress,ORG
349,Spain,GPE
350,the United States,GPE
351,Spanish,NORP
352,American,NORP
353,The German Government,ORG
354,the United States,GPE
355,Hamburg,GPE
356,"July, 1883",DATE
357,the early days,DATE
358,Congress,ORG
359,Marsh,PERSON
360,Italy,GPE
361,The Italian Government,ORG
362,Rome,GPE
363,Belgium,GPE
364,1874,DATE
365,Senate,ORG
366,State,ORG
367,Switzerland,GPE
368,the United States,GPE
369,the Swiss Government,ORG
370,the Cantons of Switzerland,ORG
371,"August 3, 1882",DATE
372,The Ottoman Porte,GPE
373,1830,DATE
374,Turkey,GPE
375,the United States,GPE
376,East,LOC
377,State,ORG
378,China,GPE
379,Japan,GPE
380,Congressional,NORP
381,Korea,GPE
382,Senate,ORG
383,Egypt,GPE
384,American,NORP
385,China,GPE
386,Chinese,NORP
387,"May 6, 1882",DATE
388,"November 7, 1880",DATE
389,Chinese,NORP
390,the United States,GPE
391,Congress,ORG
392,the Republic of Liberia,GPE
393,British,NORP
394,Sierra Leone,ORG
395,Hawaii,GPE
396,"September 9, 1883",DATE
397,twelve months ',DATE
398,Port au Prince,FAC
399,American,NORP
400,Mexico,GPE
401,Indians,NORP
402,Congress,ORG
403,Senate,ORG
404,the United States,GPE
405,Mexico,GPE
406,Congress,ORG
407,Mexico,GPE
408,Guatemala,GPE
409,Venezuela,GPE
410,Venezuela,GPE
411,"July, 1883",DATE
412,Caracas,GPE
413,Bolivar,GPE
414,South American,NORP
415,Caracas,GPE
416,Washington,GPE
417,American,NORP
418,the United States,GPE
419,Central America,LOC
420,Congress,ORG
421,Peru,GPE
422,Bolivia,GPE
423,Chile,GPE
424,more than three years ago,DATE
425,Chile,GPE
426,1880,DATE
427,Bolivia,GPE
428,the United States,GPE
429,Chile,GPE
430,Peru,GPE
431,January,DATE
432,Chile,GPE
433,Chile,GPE
434,Peru,GPE
435,the United States,GPE
436,Chile,GPE
437,About a year,DATE
438,Washington,GPE
439,"November, 1882",DATE
440,the South American Republics,LOC
441,April,DATE
442,two,CARDINAL
443,Congress,ORG
444,Congress,ORG
445,Governments,ORG
446,Congress,ORG
447,the past year,DATE
448,the Argentine Republic,GPE
449,Austria-Hungary,GPE
450,Brazil,GPE
451,Chile,GPE
452,China,GPE
453,France,GPE
454,Japan,GPE
455,Mexico,GPE
456,Netherlands,GPE
457,Russia,GPE
458,Denmark,GPE
459,Venezuela,GPE
460,Switzerland,GPE
461,Madagascar,GPE
462,Greece,GPE
463,The Shah of Persia,PERSON
464,Great Britain,GPE
465,the United States,GPE
466,3d,CARDINAL
467,State,ORG
468,Paris,GPE
469,1875,DATE
470,the Smithsonian Institution,ORG
471,the Department of State,ORG
472,Treasury,ORG
473,State,ORG
474,the Treasury Department,ORG
475,"the fiscal year ended June 30, 1882",DATE
476,"220,410,730.25",MONEY
477,"4,753,140.37",CARDINAL
478,Pacific Railway,ORG
479,"840,554.37",CARDINAL
480,Pacific Railway,ORG
481,"796,271.42",CARDINAL
482,"1,343,348.00",CARDINAL
483,"314,959.85",CARDINAL
484,"4,116,693.73",CARDINAL
485,Indian,NORP
486,"2,052,306.36",CARDINAL
487,the District of Columbia,GPE
488,"1,715,176.41",DATE
489,"3,383,445.43",CARDINAL
490,7,CARDINAL
491,"18,042,386.42",MONEY
492,"1,307,583.19",DATE
493,Indians,NORP
494,"61,345,193.95",CARDINAL
495,"43,570,494.19",CARDINAL
496,navy-yards,QUANTITY
497,"15,032,046.26",CARDINAL
498,"34,539,237.50",CARDINAL
499,the District of Columbia,GPE
500,"3,330,543.87",CARDINAL
501,"71,077,206.79",CARDINAL
502,Harriman,PERSON
503,1,CARDINAL
504,"145,543,810.71",MONEY
505,Treasury,ORG
506,"20,737,694.84",MONEY
507,"166,281,505.55",MONEY
508,"60,079,150.00",MONEY
509,"58,705.55",CARDINAL
510,July,DATE
511,"August, 1861 62,572,050.00",DATE
512,"March, 1863",DATE
513,"4,472,900.00",CARDINAL
514,"37,194,450.00",CARDINAL
515,1858,CARDINAL
516,"February, 1861 1,000.00",DATE
517,five-twenties,CARDINAL
518,"2,100.00",CARDINAL
519,five-twenties,CARDINAL
520,1864,CARDINAL
521,five-twenties,CARDINAL
522,ten,CARDINAL
523,"1864 254,550.00",CARDINAL
524,1865,DATE
525,1867,DATE
526,"408,250.00",CARDINAL
527,1868,CARDINAL
528,"675,250.00",CARDINAL
529,1913,DATE
530,the United States,GPE
531,the last fiscal year,DATE
532,Merchandise,GPE
533,"750,542,257",MONEY
534,"Specie 49,417,479 Total 799,959,73Guaidómports",ORG
535,Merchandise,GPE
536,"724,639,574",CARDINAL
537,"42,472,390",CARDINAL
538,Guantánamo,GPE
539,the previous six years,DATE
540,Year Ended June 30,DATE
541,1876,DATE
542,171,CARDINAL
543,"2,269",CARDINAL
544,"July 1, 1882",DATE
545,"324,656,458",MONEY
546,last year,DATE
547,"November 1, 1881",DATE
548,"November 1, 1882",DATE
549,a million and a half of dollars,CARDINAL
550,twenty-six millions,CARDINAL
551,one hundred and twenty-eight millions,CARDINAL
552,last year,DATE
553,Congress,ORG
554,Treasury,ORG
555,Congress,ORG
556,annual,DATE
557,Congress,ORG
558,year to year,DATE
559,"the fiscal year ended June 30, 1881",DATE
560,"100,000,000",MONEY
561,the fiscal year ended on the 30th of June,DATE
562,more than one hundred and forty-five millions,CARDINAL
563,one,CARDINAL
564,Treasury,ORG
565,Congress,ORG
566,Houses,ORG
567,the last fiscal year,DATE
568,Congress,ORG
569,the coming year,DATE
570,"at least $ 2,500,000",MONEY
571,"1,500 to 2,000",CARDINAL
572,American,NORP
573,Treasury,ORG
574,Two,CARDINAL
575,First,ORDINAL
576,"100,000,000",MONEY
577,the coming year,DATE
578,annual,DATE
579,Second,ORDINAL
580,House,ORG
581,Congress,ORG
582,the Tariff Commission,ORG
583,"the fiscal year ended June 30, 1879",DATE
584,"137,000,000",MONEY
585,three,CARDINAL
586,years,DATE
587,first,ORDINAL
588,"186,000,000",MONEY
589,"198,000,000",MONEY
590,"220,000,000",MONEY
591,the fiscal year,DATE
592,"June 30, 1883",DATE
593,One,CARDINAL
594,the Supreme Court,ORG
595,Dutch,NORP
596,Indians,NORP
597,the past year,DATE
598,Arizona,GPE
599,New Mexico,GPE
600,Apaches,PERSON
601,Congress,ORG
602,the War Department,ORG
603,Congress,ORG
604,the act of 1808,DATE
605,Senate,ORG
606,Congress,ORG
607,Army,ORG
608,the age of 64,DATE
609,1878,DATE
610,400,CARDINAL
611,two,CARDINAL
612,less than 40,CARDINAL
613,420,CARDINAL
614,Congress,ORG
615,Congress,ORG
616,two,CARDINAL
617,"210,000",MONEY
618,"August 2, 1882 $",DATE
619,"June 19, 1882 10,000",DATE
620,J. B. Eads,PERSON
621,"304,000",CARDINAL
622,Treasury,ORG
623,"between July 1, 1882, andNovember 30, 1882 6,056,194",DATE
624,"August 2, 1882",DATE
625,Congress,ORG
626,Mississippi River,LOC
627,Congress,ORG
628,Congress,ORG
629,Executive,ORG
630,Congress,ORG
631,fourteen,CARDINAL
632,States,GPE
633,Alabama,GPE
634,California,GPE
635,Colorado,GPE
636,Florida,GPE
637,Georgia,GPE
638,Louisiana,GPE
639,Minnesota,GPE
640,Missouri,GPE
641,Nebraska,GPE
642,New Jersey,GPE
643,New York,GPE
644,Pennsylvania,GPE
645,Texas,GPE
646,West Virginia,GPE
647,the Federal Constitution,ORG
648,Congress,ORG
649,Executive,ORG
650,Navy,ORG
651,the year,DATE
652,"the 21st of December, 1881",DATE
653,Jeannette,PERSON
654,the Arctic Ocean,LOC
655,three,CARDINAL
656,Siberia,LOC
657,One,CARDINAL
658,George W. Melville,PERSON
659,De Long,PERSON
660,the Lena River,LOC
661,six weeks,DATE
662,two,CARDINAL
663,third,ORDINAL
664,George W. De Long,PERSON
665,James M. Ambler,PERSON
666,Jerome J. Collins,PERSON
667,Hans Halmer Erichsen,PERSON
668,Heinrich H. Kaacke,PERSON
669,George W. Boyd,PERSON
670,Walter Lee,PERSON
671,Adolph Dressier,PERSON
672,Carl A. Gortz,PERSON
673,Nelse Iverson,PERSON
674,Ah Sam,PERSON
675,Indian,NORP
676,Alexy,ORG
677,Charles W. Chipp,PERSON
678,William Dunbar,PERSON
679,Alfred Sweetman,PERSON
680,Waiter Sharvell,PERSON
681,Albert C. Kuehne,PERSON
682,Edward Star,PERSON
683,Henry D. Warren,PERSON
684,Peter E. Johnson,PERSON
685,Giles B. Harber,PERSON
686,Willliam H. Scheutze,PERSON
687,Lieutenant De Long,PERSON
688,Congress,ORG
689,Rodgers,PERSON
690,Jeannette,ORG
691,Congress,ORG
692,San Francisco,GPE
693,June 16,DATE
694,Robert M. Berry,PERSON
695,November 30,DATE
696,winter quarters,DATE
697,St. Lawrence Bay,LOC
698,Lieutenant Berry,PERSON
699,one,CARDINAL
700,Siberia,LOC
701,Engineer Melville,PERSON
702,Europe,LOC
703,Rodgers,PERSON
704,St. Lawrence Bay,LOC
705,North Star,PERSON
706,Charles F. Putnam,PERSON
707,Cape Serdze,GPE
708,St. Lawrence Bay,LOC
709,the United States,GPE
710,37,CARDINAL
711,14,CARDINAL
712,Parrott,PERSON
713,87,CARDINAL
714,Navy,ORG
715,Congress,ORG
716,two,CARDINAL
717,two,CARDINAL
718,one,CARDINAL
719,Congress,ORG
720,eight,CARDINAL
721,Navy,ORG
722,the Light-House Service and Coast Survey,ORG
723,Treasury,ORG
724,the Navy Department,ORG
725,Navy,ORG
726,American,NORP
727,United States,GPE
728,Congress,ORG
729,United States,GPE
730,Department,ORG
731,the fiscal year,DATE
732,Congress,ORG
733,Congress,ORG
734,the House of Representatives,ORG
735,2 cents,MONEY
736,a very few years,DATE
737,the last thirty years,DATE
738,1845,DATE
739,Cents 30 miles,QUANTITY
740,150 miles,QUANTITY
741,12 1/2,CARDINAL
742,Between 150,CARDINAL
743,400 miles,QUANTITY
744,18 3/4,CARDINAL
745,400 miles,QUANTITY
746,1845,DATE
747,under 300 miles,QUANTITY
748,5 cents,MONEY
749,10 cents,MONEY
750,the act of 1851,DATE
751,"3,000 miles",QUANTITY
752,3 cents,MONEY
753,6 cents,MONEY
754,three years,DATE
755,33 1/3,CARDINAL
756,first,ORDINAL
757,England,GPE
758,the first year,DATE
759,more than 125,CARDINAL
760,the first year,DATE
761,7 per cent,MONEY
762,"3,000,000",MONEY
763,1845,DATE
764,more than,CARDINAL
765,1851,DATE
766,27 per cent,MONEY
767,the Post-Office Department,ORG
768,1845,DATE
769,"more than $ 30,000",MONEY
770,1851,DATE
771,"132,000",MONEY
772,the next fiscal year,DATE
773,"3,500,000",MONEY
774,Congress,ORG
775,only 16 cents,MONEY
776,three or four years,DATE
777,the Department of Justice,ORG
778,December,DATE
779,the Post-Office Department,ORG
780,one,CARDINAL
781,many weeks,DATE
782,District,GPE
783,Congress,ORG
784,Executive,ORG
785,Interior,ORG
786,Indian,NORP
787,Congress,ORG
788,Indian,NORP
789,Congressional,ORG
790,1862,DATE
791,1864,DATE
792,Congress,ORG
793,the General Government,ORG
794,State,ORG
795,One,CARDINAL
796,States,GPE
797,States,GPE
798,States,GPE
799,Congress,ORG
800,Territories,LOC
801,some quarters,DATE
802,the General Government,ORG
803,States,GPE
804,Indian,NORP
805,Indians,NORP
806,Alaska,GPE
807,the Commissioner of Agriculture,ORG
808,the past year,DATE
809,Congress,ORG
810,Western States,GPE
811,Territories,GPE
812,Congress,ORG
813,first,ORDINAL
814,December,DATE
815,the National Legislature,ORG
816,Great Britain,GPE
817,Congress,ORG
818,"about 100,000",CARDINAL
819,Constitution,LAW
820,the early years,DATE
821,Constitution,LAW
822,Departments,ORG
823,Congress,ORG
824,Senate,ORG
825,Senate,ORG
826,Senate,ORG
827,Executive,ORG
828,Administrations of the Government,ORG
829,Executive,ORG
830,the four years,DATE
831,Garfield,PERSON
832,"2,696",CARDINAL
833,244,CARDINAL
834,9 per cent,MONEY
835,four years,DATE
836,the first year,DATE
