,ent,ent_label
0,Roberts,PERSON
1,Carter,PERSON
2,Clinton,PERSON
3,Bush,PERSON
4,Obama,PERSON
5,Americans,NORP
6,America,GPE
7,America,GPE
8,years,DATE
9,Every four years,DATE
10,Obama,PERSON
11,Michelle Obama,PERSON
12,Today,DATE
13,today,DATE
14,Washington,GPE
15,D.C.,GPE
16,American,NORP
17,Washington,GPE
18,today,DATE
19,America,GPE
20,the United States of America,GPE
21,January 20th 2017,DATE
22,Americans,NORP
23,American,NORP
24,one,CARDINAL
25,one,CARDINAL
26,one,CARDINAL
27,today,DATE
28,Americans,NORP
29,many decades,DATE
30,American,NORP
31,trillions of dollars,MONEY
32,America,GPE
33,One,CARDINAL
34,American,NORP
35,today,DATE
36,this day,DATE
37,America First,ORG
38,American,NORP
39,American,NORP
40,America,GPE
41,American,NORP
42,American,NORP
43,two,CARDINAL
44,American,NORP
45,Hire American,ORG
46,Radical Islamic Terrorism,ORG
47,Earth,LOC
48,the United States of America,GPE
49,Bible,WORK_OF_ART
50,America,GPE
51,America,GPE
52,America,GPE
53,the hour,TIME
54,America,GPE
55,Earth,LOC
56,tomorrow,DATE
57,American,NORP
58,Detroit,GPE
59,Nebraska,GPE
60,the same night,TIME
61,Americans,NORP
62,American,NORP
63,Speaker,PERSON
64,Congress,ORG
65,First,ORDINAL
66,the United States,GPE
67,Citizens of America,ORG
68,Tonight,TIME
69,Black History Month,EVENT
70,Nation,ORG
71,Jewish Community Centers,ORG
72,Jewish,NORP
73,last week's,DATE
74,Kansas City,GPE
75,American,NORP
76,tonight,TIME
77,American Greatness,ORG
78,today,DATE
79,American,NORP
80,America,GPE
81,America,GPE
82,America,GPE
83,America,GPE
84,9 years,DATE
85,the United States,GPE
86,250th,ORDINAL
87,250 years,DATE
88,the day,DATE
89,Independence,GPE
90,America,GPE
91,250th,ORDINAL
92,recent decades,DATE
93,one,CARDINAL
94,Chicago,GPE
95,Baltimore,GPE
96,Detroit,GPE
97,trillions of dollars,MONEY
98,2016,DATE
99,thousands,CARDINAL
100,one,CARDINAL
101,America,GPE
102,first,ORDINAL
103,MAKE AMERICA GREAT AGAIN,EVENT
104,American,NORP
105,Ford,ORG
106,Fiat-Chrysler,ORG
107,General Motors,ORG
108,Sprint,GPE
109,Softbank,ORG
110,Lockheed,ORG
111,Intel,ORG
112,billions of dollars,MONEY
113,the United States,GPE
114,tens of thousands,CARDINAL
115,American,NORP
116,almost three trillion dollars,MONEY
117,November 8th,DATE
118,hundreds of millions of dollars,MONEY
119,F-35,PRODUCT
120,billions more dollars,MONEY
121,a 5 year,DATE
122,1,CARDINAL
123,2,CARDINAL
124,Keystone,ORG
125,tens of thousands,CARDINAL
126,American,NORP
127,American,NORP
128,the United States,GPE
129,Trans Pacific Partnership,ORG
130,Justin Trudeau,PERSON
131,Canada,GPE
132,the Department of Justice,ORG
133,a Task Force,PRODUCT
134,Departments of Homeland Security,ORG
135,Justice,ORG
136,the Department of State,ORG
137,National Intelligence,ORG
138,Administration,ORG
139,American,NORP
140,billions of dollars,MONEY
141,Americans,NORP
142,tonight,TIME
143,Congress,ORG
144,American,NORP
145,America,GPE
146,the United States,GPE
147,the Department of Justice,ORG
148,Boston,GPE
149,San Bernardino,GPE
150,Pentagon,ORG
151,the World Trade Center,ORG
152,France,GPE
153,Belgium,GPE
154,Germany,GPE
155,the United States,GPE
156,America,GPE
157,Administration,ORG
158,the Department of Defense,ORG
159,ISIS,ORG
160,Muslims,NORP
161,Christians,NORP
162,Muslim,NORP
163,Iran,GPE
164,the State of Israel,GPE
165,Justice,ORG
166,the United States Supreme Court,GPE
167,20,CARDINAL
168,Constitution,LAW
169,Maureen Scalia,PERSON
170,tonight,TIME
171,Antonin Scalia,PERSON
172,American,NORP
173,Neil Gorsuch,PERSON
174,the Court of Appeals,ORG
175,Senate,ORG
176,Tonight,TIME
177,Ninety-four million,CARDINAL
178,Americans,NORP
179,Over 43 million,CARDINAL
180,over 43 million,CARDINAL
181,Americans,NORP
182,More than 1,CARDINAL
183,5,CARDINAL
184,65 years,DATE
185,the last 8 years,DATE
186,Administration,ORG
187,more than one-fourth,CARDINAL
188,NAFTA,ORG
189,"60,000",CARDINAL
190,China,GPE
191,the World Trade Organization,ORG
192,2001,DATE
193,last year,DATE
194,nearly $ 800 billion dollars,MONEY
195,American,NORP
196,American,NORP
197,the United States,GPE
198,American,NORP
199,American,NORP
200,America,GPE
201,America,GPE
202,American,NORP
203,Harley-Davidson,ORG
204,five,CARDINAL
205,USA,GPE
206,the White House,ORG
207,one,CARDINAL
208,100 percent,PERCENT
209,first,ORDINAL
210,Republican,NORP
211,Abraham Lincoln,PERSON
212,the American Government,ORG
213,Lincoln,ORG
214,America,GPE
215,millions,CARDINAL
216,Canada,GPE
217,Australia,GPE
218,America,GPE
219,the National Academy of Sciences,ORG
220,America,GPE
221,many billions of dollars,MONEY
222,Republican,NORP
223,Dwight D. Eisenhower,PERSON
224,America,GPE
225,approximately six trillion dollars,MONEY
226,the Middle East,LOC
227,six trillion dollars,MONEY
228,three,CARDINAL
229,Congress,ORG
230,$ 1 trillion,MONEY
231,the United States,GPE
232,millions,CARDINAL
233,two,CARDINAL
234,Hire American,ORG
235,Tonight,TIME
236,Congress,ORG
237,Healthcare,ORG
238,American,NORP
239,America,GPE
240,Arizona,GPE
241,116 percent,PERCENT
242,last year,DATE
243,Matt Bevin,PERSON
244,Kentucky,GPE
245,Obamacare,ORG
246,State,ORG
247,One third,CARDINAL
248,only one,CARDINAL
249,Americans,NORP
250,Americans,NORP
251,Democrats,NORP
252,Republicans,NORP
253,Congress,ORG
254,Americans,NORP
255,Obamacare,ORG
256,Congress,ORG
257,Americans,NORP
258,First,ORDINAL
259,Americans,NORP
260,Americans,NORP
261,Secondly,ORDINAL
262,Americans,NORP
263,Health Savings Accounts,ORG
264,Thirdly,ORDINAL
265,Medicaid,ORG
266,Fourthly,ORDINAL
267,Americans,NORP
268,State,ORG
269,Democrats,NORP
270,Republicans,NORP
271,American,NORP
272,American,NORP
273,this evening,TIME
274,Today,DATE
275,Megan Crowley,PERSON
276,Megan,PERSON
277,Pompe Disease,ORG
278,15 months old,DATE
279,Megan,ORG
280,Megan,PERSON
281,Today,DATE
282,20 years old,DATE
283,Notre Dame,FAC
284,Megan,PERSON
285,the Food and Drug Administration,ORG
286,Megan,PERSON
287,FDA,ORG
288,Megan,PERSON
289,American,NORP
290,millions,CARDINAL
291,African-American,NORP
292,Latino,PERSON
293,tonight,TIME
294,Denisha Merriweather,PERSON
295,Denisha,PERSON
296,third,ORDINAL
297,Today,DATE
298,first,ORDINAL
299,Later this year,DATE
300,Denisha,PERSON
301,2015,DATE
302,single-year,DATE
303,nearly half a century,DATE
304,Chicago,GPE
305,"more than 4,000",CARDINAL
306,last year,DATE
307,this year,DATE
308,American,NORP
309,the Department of Homeland Security,ORG
310,American Victims,NORP
311,tonight,TIME
312,four,CARDINAL
313,Americans,NORP
314,Jamiel Shaw,PERSON
315,Susan Oliver,PERSON
316,Jenna Oliver,PERSON
317,Jessica Davis,PERSON
318,Jamiel,PERSON
319,17-year-old,DATE
320,Jamiel Shaw Jr.,PERSON
321,tonight,TIME
322,Susan Oliver,PERSON
323,Jessica Davis,PERSON
324,Danny Oliver,PERSON
325,Michael Davis,PERSON
326,California,GPE
327,two,CARDINAL
328,Susan,PERSON
329,Jenna,PERSON
330,Jenna,PERSON
331,tonight,TIME
332,Jenna,PERSON
333,Susan,PERSON
334,Jessica,PERSON
335,America,GPE
336,the United States,GPE
337,Congress,ORG
338,Defense,ORG
339,one,CARDINAL
340,American,NORP
341,America,GPE
342,tonight,TIME
343,Carryn Owens,PERSON
344,1881,DATE
345,William “Ryan,PERSON
346,Owens,PERSON
347,Ryan,PERSON
348,General Mattis,ORG
349,Ryan,PERSON
350,Ryan,PERSON
351,Bible,WORK_OF_ART
352,Ryan,PERSON
353,America,GPE
354,American,NORP
355,NATO,ORG
356,two,CARDINAL
357,a Cold War,EVENT
358,NATO,ORG
359,the Middle East,LOC
360,Pacific,LOC
361,America,GPE
362,the United States of America,GPE
363,America,GPE
364,America,GPE
365,America,GPE
366,today,DATE
367,decades ago,DATE
368,the 250th year,DATE
369,America,GPE
370,100th,ORDINAL
371,1876,DATE
372,Philadelphia,GPE
373,America,GPE
374,Alexander Graham Bell,PERSON
375,first,ORDINAL
376,Remington,PERSON
377,first,ORDINAL
378,Thomas Edison,PERSON
379,America,GPE
380,250th,ORDINAL
381,American,NORP
382,Millions,CARDINAL
383,Americans,NORP
384,America,GPE
385,Americans,NORP
386,one,CARDINAL
387,one,CARDINAL
388,250 years,DATE
389,tonight,TIME
390,American Greatness,ORG
391,America,GPE
392,American,NORP
393,Congress,ORG
394,tonight,TIME
395,Believe,PERSON
396,America,GPE
397,United States,GPE
398,Pence,PERSON
399,today,DATE
400,the next month,DATE
401,the next eight years,DATE
402,America,GPE
403,today,DATE
404,eight years,DATE
405,today,DATE
406,American,NORP
407,two,CARDINAL
408,this afternoon,TIME
409,the House Floor,ORG
410,Bob Goodlatte,PERSON
411,Bob,PERSON
412,First,ORDINAL
413,House,ORG
414,Kate,PERSON
415,Kate Steinle,PERSON
416,five,CARDINAL
417,second,ORDINAL
418,the No Sanctuary for Criminals Act,ORG
419,MS-13,PERSON
420,Kelly,PERSON
421,"6,000",CARDINAL
422,about 50 percent,PERCENT
423,MS-13,PRODUCT
424,1,CARDINAL
425,American,NORP
426,first,ORDINAL
427,House,ORG
428,Senate,ORG
429,Mike,PERSON
430,first,ORDINAL
431,1,CARDINAL
432,Congress,ORG
433,American,NORP
434,Congress,ORG
435,this afternoon,TIME
436,American,NORP
437,Perry,PERSON
438,Texas,GPE
439,Texas,GPE
440,Ryan Zinke,PERSON
441,EPA,ORG
442,Scott Pruitt,PERSON
443,Scott,ORG
444,three,CARDINAL
445,America,GPE
446,first,ORDINAL
447,Make America Great Again,FAC
448,today,DATE
449,American,NORP
450,one,CARDINAL
451,millions,CARDINAL
452,trillions of dollars,MONEY
453,over 40 years,DATE
454,America,GPE
455,Americans,NORP
456,Americans,NORP
457,CNN,ORG
458,five years ago,DATE
459,ten years ago,DATE
460,nearly 100 years ',DATE
461,more than 250 years ',DATE
462,one,CARDINAL
463,American,NORP
464,American,NORP
465,American,NORP
466,Democrats,NORP
467,the United States of America,GPE
468,the past eight years,DATE
469,American,NORP
470,my very first day,DATE
471,the Keystone XL Pipeline,ORG
