,ent,ent_label
0,a day,DATE
1,this day,DATE
2,Americans,NORP
3,today,DATE
4,first,ORDINAL
5,every dark hour,TIME
6,thousands,CARDINAL
7,"the Federal, State",ORG
8,today,DATE
9,two,CARDINAL
10,Congress,ORG
11,States,GPE
12,first,ORDINAL
13,first,ORDINAL
14,the United States,GPE
15,American,NORP
16,Constitution,LAW
17,Executive,ORG
18,Congress,ORG
19,Congress,ORG
20,one,CARDINAL
21,two,CARDINAL
22,Congress,ORG
23,one,CARDINAL
24,the United States,GPE
25,the days,DATE
26,a few minutes,TIME
27,the United States,GPE
28,the last few days,DATE
29,State Capitols,ORG
30,Washington,GPE
31,Treasury,ORG
32,Washington,GPE
33,the past week,DATE
34,First,ORDINAL
35,the last few days,DATE
36,the first few days of March,DATE
37,the afternoon of March 3,TIME
38,first,ORDINAL
39,second,ORDINAL
40,Congress,ORG
41,Congress,ORG
42,Republicans,NORP
43,Democrats,NORP
44,third,ORDINAL
45,last Monday,DATE
46,twelve,CARDINAL
47,Federal Reserve,ORG
48,the Bureau of Engraving and Printing,ORG
49,the past few years shall,DATE
50,"tomorrow, Monday",DATE
51,twelve,CARDINAL
52,Federal Reserve Bank,ORG
53,first,ORDINAL
54,Treasury,ORG
55,Tuesday,DATE
56,about 250,CARDINAL
57,the United States,GPE
58,Wednesday,DATE
59,days,DATE
60,Government,ORG
61,the first day,DATE
62,one,CARDINAL
63,the subsequent days,DATE
64,tomorrow,DATE
65,State,ORG
66,the Federal Reserve System,ORG
67,the Reconstruction Finance Corporation,ORG
68,Treasury,ORG
69,the National Government,ORG
70,the past week,DATE
71,the Reserve Banks,ORG
72,One,CARDINAL
73,Sunday,DATE
74,Tonight,TIME
75,eight weeks later,DATE
76,second,ORDINAL
77,Two months ago,DATE
78,millions,CARDINAL
79,"March, 1933",DATE
80,two,CARDINAL
81,first,ORDINAL
82,American,NORP
83,Washington,GPE
84,Congress,ORG
85,Congress,ORG
86,Congress,ORG
87,Congress,ORG
88,Congress,ORG
89,Congress,ORG
90,American,NORP
91,First,ORDINAL
92,one-quarter,DATE
93,two,CARDINAL
94,one,CARDINAL
95,second,ORDINAL
96,One,CARDINAL
97,Second,ORDINAL
98,Congress,ORG
99,Muscle Shoals,ORG
100,the Tennessee Valley,LOC
101,hundreds of thousands,CARDINAL
102,Congress,ORG
103,half a billion dollars,MONEY
104,Congress,ORG
105,Congress,ORG
106,The Farm Relief Bill,LAW
107,the days,DATE
108,long hours,TIME
109,Railroad Bill,PERSON
110,the World War,EVENT
111,Today,DATE
112,two months ago,DATE
113,ninety per cent,MONEY
114,long hours,TIME
115,ten per cent,MONEY
116,ninety per cent,MONEY
117,long hours,TIME
118,a day,DATE
119,American Constitutional Government,ORG
120,150 years ago,DATE
121,Theodore Roosevelt,PERSON
122,right 75 percent,PERCENT
123,first,ORDINAL
124,nearly thirty billions,CARDINAL
125,seventy billions,CARDINAL
126,the United States,GPE
127,only between three and four billions,CARDINAL
128,only about eleven billions,CARDINAL
129,first,ORDINAL
130,a few days,DATE
131,about one twenty-fifth,CARDINAL
132,twenty-four,CARDINAL
133,twenty-five,CARDINAL
134,all twenty-five,CARDINAL
135,three weeks ago,DATE
136,first,ORDINAL
137,secondly,ORDINAL
138,American,NORP
139,Administration,ORG
140,Administration,ORG
141,first,ORDINAL
142,the United States,GPE
143,four,CARDINAL
144,First,ORDINAL
145,Secondly,ORDINAL
146,Third,ORDINAL
147,Fourth,ORDINAL
148,these past three weeks,DATE
149,Congress,ORG
150,Administration,ORG
151,Congress,ORG
152,five weeks ago,DATE
153,two,CARDINAL
154,First,ORDINAL
155,the hundred days,DATE
156,Secondly,ORDINAL
157,a few weeks,DATE
158,the fourth day of March,DATE
159,Inauguration Day,EVENT
160,the Federal Government,ORG
161,the United States Government,GPE
162,years,DATE
163,billions,CARDINAL
164,Treasury,ORG
165,a period of years,DATE
166,March sixth,DATE
167,One month later 90,DATE
168,Today,DATE
169,three months ago,DATE
170,the Home Loan Act,LAW
171,the Farm Loan Act,LAW
172,the Bankruptcy Act,LAW
173,hundreds of thousands,CARDINAL
174,State,ORG
175,half a billion dollars,MONEY
176,"300,000",CARDINAL
177,thousands,CARDINAL
178,Two,CARDINAL
179,first,ORDINAL
180,secondly,ORDINAL
181,at least half,CARDINAL
182,a period of years,DATE
183,half,CARDINAL
184,only half,CARDINAL
185,half,CARDINAL
186,many years,DATE
187,two,CARDINAL
188,Congress,ORG
189,Today,DATE
190,two,CARDINAL
191,First,ORDINAL
192,the Farm Act,LAW
193,nearly half,CARDINAL
194,the Farm Bill,LAW
195,tens of millions,CARDINAL
196,Last Autumn,DATE
197,hours,TIME
198,long hours,TIME
199,the past four years,DATE
200,the same hours,TIME
201,hours,TIME
202,hours,TIME
203,the Industrial Recovery Act,LAW
204,the Cotton Textile Code,ORG
205,Washington,GPE
206,one,CARDINAL
207,one,CARDINAL
208,the Recovery Act,LAW
209,years,DATE
210,British,NORP
211,one day,DATE
212,England,GPE
213,eighty-five years,DATE
214,America,GPE
215,Recovery Bill,PERSON
216,Child Labor,FAC
217,hours,TIME
218,weeks,DATE
219,three,CARDINAL
220,State,ORG
221,six months from now,DATE
222,summer,DATE
223,night,TIME
224,one,CARDINAL
225,ten,CARDINAL
226,the White House,ORG
227,the White House,FAC
228,twenty-four,CARDINAL
229,San Francisco,GPE
230,Andrew Jackson,PERSON
231,Old Hickory,WORK_OF_ART
232,American,NORP
233,hours,TIME
234,One,CARDINAL
235,five or ten years,DATE
236,American,NORP
237,three months,DATE
238,first,ORDINAL
239,48,CARDINAL
240,"120,000,000",CARDINAL
241,the early spring of this year,DATE
242,Fair,ORG
243,12,CARDINAL
244,13 millions,CARDINAL
245,last March,DATE
246,several millions,CARDINAL
247,about 10 millions,CARDINAL
248,a few months,DATE
249,at least 4 millions,CARDINAL
250,40 percent,PERCENT
251,America,GPE
252,one,CARDINAL
253,first,ORDINAL
254,first,ORDINAL
255,three hundred thousand,CARDINAL
256,this winter,DATE
257,the Civilian Conservation Corps Camps,ORG
258,the coming winter,DATE
259,several million,CARDINAL
260,last year,DATE
261,thirty one hundred,CARDINAL
262,the United States,GPE
263,hundreds,CARDINAL
264,the United States,GPE
265,the Farm Credit Administration,ORG
266,the Home Owners Loan Corporation,ORG
267,Washington,GPE
268,Two,CARDINAL
269,The Reconstruction Finance Corporation,ORG
270,three months,DATE
271,three billion three hundred million,MONEY
272,the United States,GPE
273,three hundred millions,CARDINAL
274,Washington,GPE
275,the Agricultural Adjustment Administration,ORG
276,South,LOC
277,West,LOC
278,today,DATE
279,the Middle West,LOC
280,twenty years,DATE
281,the last six months,DATE
282,July,DATE
283,today,DATE
284,the year 1933,DATE
285,the United States,GPE
286,33 percent,PERCENT
287,the year 1932,DATE
288,400,MONEY
289,1933,DATE
290,300,MONEY
291,the year before,DATE
292,a year ago,DATE
293,last year,DATE
294,the A. A. A.,LAW
295,sixty cents,MONEY
296,eighty cents,MONEY
297,N.R. A.,PERSON
298,the N.R. A.,FAC
299,Ninety percent,PERCENT
300,N.R. A.,PERSON
301,N.R. A.,PERSON
302,N.R. A.,PERSON
303,N. R. A.,PERSON
304,under twenty-five hundred,DATE
305,Eastern,NORP
306,one dollar,MONEY
307,a half to two dollars,CARDINAL
308,four and a quarter cents,DATE
309,seventy million,CARDINAL
310,one hundred per cent,MONEY
311,two,CARDINAL
312,First,ORDINAL
313,the Federal Government,ORG
314,one billion dollars,MONEY
315,"January 1, 1933",DATE
316,Secondly,ORDINAL
317,the Government Bank Deposit Insurance,ORG
318,up to $,MONEY
319,2500,MONEY
320,January first,DATE
321,last March,DATE
322,hundreds,CARDINAL
323,only a few months,DATE
324,one year or two years or three years,DATE
325,Government,ORG
326,first,ORDINAL
327,American,NORP
328,London,GPE
329,last July,DATE
330,the United States,GPE
331,the United States,GPE
332,the Reconstruction Finance Corporation,ORG
333,the United States,GPE
334,Treasury,ORG
335,last spring,DATE
336,American,NORP
337,tonight,TIME
338,March 4th,DATE
339,two,CARDINAL
340,First,ORDINAL
341,second,ORDINAL
342,tomorrow,DATE
343,several months,DATE
344,January,DATE
345,previous months,DATE
346,Congress,ORG
347,"March, 1933",DATE
348,Congress,ORG
349,Congress,ORG
350,Congress,ORG
351,Washington,PERSON
352,the Federal Government,ORG
353,today,DATE
354,the United States,GPE
355,three,CARDINAL
356,first,ORDINAL
357,first,ORDINAL
358,two,CARDINAL
359,First,ORDINAL
360,second,ORDINAL
361,second,ORDINAL
362,today,DATE
363,fifteen months ago,DATE
364,today,DATE
365,the past few years,DATE
366,weekly,DATE
367,hundreds of thousands,CARDINAL
368,hundreds of thousands,CARDINAL
369,thousands,CARDINAL
370,last year,DATE
371,the Bill of Rights of the Constitution,LAW
372,the past year,DATE
373,Thomases,ORG
374,two,CARDINAL
375,First,ORDINAL
376,second,ORDINAL
377,About a year ago,DATE
378,the 90 percent,PERCENT
379,the United States,GPE
380,the 10 percent,PERCENT
381,un-American,NORP
382,first,ORDINAL
383,second,ORDINAL
384,Congress,ORG
385,Administration,ORG
386,The days,DATE
387,Administration,ORG
388,the past year,DATE
389,month,DATE
390,the National Recovery Administration,ORG
391,hours,TIME
392,Congress,ORG
393,first,ORDINAL
394,second,ORDINAL
395,daily,DATE
396,third,ORDINAL
397,Later in the year,TIME
398,today,DATE
399,Americans,NORP
400,American,NORP
401,Washington,GPE
402,this summer,DATE
403,White House,ORG
404,one,CARDINAL
405,Washington,GPE
406,Executive Office Building,ORG
407,the White House,ORG
408,Republic,GPE
409,a few weeks,DATE
410,Gothic,ORG
411,Kremlin,ORG
412,the Potsdam Palace,FAC
413,American,NORP
414,American,NORP
415,John Marshall,PERSON
416,a century ago,DATE
417,a few days,DATE
418,Americans,NORP
419,Puerto Rico,GPE
420,the Virgin Islands,GPE
421,the Canal Zone,GPE
422,Hawaii,GPE
423,Haiti,GPE
424,Colombia,GPE
425,Panama,GPE
426,four weeks,DATE
427,Pacific,LOC
428,Columbia,GPE
429,Missouri,GPE
430,Mississippi Rivers,GPE
431,Washington,GPE
432,France,GPE
433,the War,EVENT
434,the United States,GPE
435,Three months,DATE
436,Congress,ORG
437,Tonight,TIME
438,the spring of 1933,DATE
439,years ago,DATE
440,Elihu Root,ORG
441,Root,PERSON
442,"March, 1933",DATE
443,first,ORDINAL
444,millions,CARDINAL
445,second,ORDINAL
446,billions of dollars,MONEY
447,the Securities Act,LAW
448,the Securities Exchange Act,ORG
449,Benjamin Franklin,PERSON
450,the National Recovery Administration,ORG
451,The work day,DATE
452,the work week,DATE
453,more than four million,QUANTITY
454,American,NORP
455,the Industrial Recovery Program,ORG
456,the first quarter of 1933,DATE
457,one year,DATE
458,N. R. A.,NORP
459,millions,CARDINAL
460,today,DATE
461,billions of dollars,MONEY
462,today,DATE
463,billions,CARDINAL
464,one year,DATE
465,night,TIME
466,Administration,ORG
467,Americans,NORP
468,first,ORDINAL
469,the National Recovery Administration,ORG
470,three,CARDINAL
471,First,ORDINAL
472,Second,ORDINAL
473,third,ORDINAL
474,one,CARDINAL
475,second,ORDINAL
476,first,ORDINAL
477,Johnson,PERSON
478,second,ORDINAL
479,N. R. A.,NORP
480,Congress,ORG
481,N. R. A.,PERSON
482,the National Industrial Recovery Act,ORG
483,years,DATE
484,this past year,DATE
485,hourly,TIME
486,weekly,DATE
487,annual,DATE
488,the last twelve months,DATE
489,Section 7,LAW
490,the National Industrial Recovery Act,ORG
491,the Recovery Act,LAW
492,more than a year,DATE
493,the coming month,DATE
494,hours,TIME
495,Public Works,ORG
496,Act,PERSON
497,millions,CARDINAL
498,American,NORP
499,England,GPE
500,England,GPE
501,England,GPE
502,England,LANGUAGE
503,England,GPE
504,England,GPE
505,today,DATE
506,England,GPE
507,ten billion dollars,MONEY
508,5 percent,PERCENT
509,only 3 1/2 percent,PERCENT
510,British,NORP
511,Treasury,ORG
512,one hundred and fifty million dollars,CARDINAL
513,British,NORP
514,the year 1909,DATE
515,Great Britain,GPE
516,the United States,GPE
517,Great Britain,GPE
518,the United States,GPE
519,British,NORP
520,English,LANGUAGE
521,ten years,DATE
522,Americans,NORP
523,More than twenty years ago,DATE
524,Theodore Roosevelt,PERSON
525,Woodrow Wilson,PERSON
526,White,PERSON
527,Constitution,LAW
528,Constitution,LAW
529,American,NORP
