,ent,ent_label
0,tonight,TIME
1,this year,DATE
2,Tom Kean,PERSON
3,New Jersey,GPE
4,Phil Gramm,PERSON
5,Texas,GPE
6,Gerald Ford,PERSON
7,Ronald Reagan,PERSON
8,Dan Quayle,PERSON
9,Indiana,GPE
10,America,GPE
11,the middle of the century,DATE
12,Dan Quayle,PERSON
13,America,GPE
14,Tonight,TIME
15,the night,TIME
16,seven and a half years,DATE
17,Ronald Reagan,PERSON
18,this week,DATE
19,Republican,NORP
20,the United States,GPE
21,American,NORP
22,tonight,TIME
23,Sergeant Joe,PERSON
24,Friday,DATE
25,millions,CARDINAL
26,Americans,NORP
27,the years,DATE
28,America,GPE
29,China,GPE
30,CIA,ORG
31,tonight,TIME
32,1980,DATE
33,this year,DATE
34,two,CARDINAL
35,two,CARDINAL
36,two,CARDINAL
37,this election day,DATE
38,America,GPE
39,America,GPE
40,America,GPE
41,UN,ORG
42,Albania,GPE
43,Zimbabwe,GPE
44,America,GPE
45,the American Century,ORG
46,Europe,LOC
47,a new century,DATE
48,another American century,DATE
49,this year,DATE
50,America,GPE
51,Two,CARDINAL
52,this year,DATE
53,Two,CARDINAL
54,this year,DATE
55,Eight years ago,DATE
56,Ronald Reagan,PERSON
57,America,GPE
58,Eight years later,DATE
59,American,NORP
60,more than fifty years,DATE
61,second,ORDINAL
62,Americans,NORP
63,one,CARDINAL
64,Swiss,NORP
65,three,CARDINAL
66,12 percent,PERCENT
67,four,CARDINAL
68,more than 21,CARDINAL
69,half,CARDINAL
70,14 years,DATE
71,eight years ago,DATE
72,17 million,CARDINAL
73,the past five years,DATE
74,Europe,LOC
75,Japan,GPE
76,the past six years,DATE
77,"more than $ 22,000",MONEY
78,Michael,PERSON
79,millions,CARDINAL
80,Americans,NORP
81,20,CARDINAL
82,1,CARDINAL
83,Americans,NORP
84,Social Security,ORG
85,America,GPE
86,1,CARDINAL
87,democrats,NORP
88,the ' 70 's,DATE
89,Americans,NORP
90,Kentucky,GPE
91,Denver,GPE
92,Chicago,GPE
93,New York,GPE
94,Oklahoma,GPE
95,30 million,CARDINAL
96,the next eight years,DATE
97,One,CARDINAL
98,August night,TIME
99,Pacific,LOC
100,China,GPE
101,South America,LOC
102,One,CARDINAL
103,one,CARDINAL
104,the Soviet Union,GPE
105,Soviet,NORP
106,Afghanistan,GPE
107,Soviet,NORP
108,Angola,GPE
109,Namibia,GPE
110,Iran,GPE
111,Iraq,GPE
112,Soviet,NORP
113,this year,DATE
114,1940,DATE
115,Franklin Roosevelt,PERSON
116,these days,DATE
117,two,CARDINAL
118,the 21st century - our,DATE
119,One,CARDINAL
120,Jewish,NORP
121,Kansas,GPE
122,democrats,NORP
123,Washington,GPE
124,thousands and tens of thousands,CARDINAL
125,America,GPE
126,Grange,ORG
127,Hadassah,PERSON
128,American,NORP
129,Veterans,NORP
130,the Order of Ahepa,ORG
131,the Business and Professional Women of America,ORG
132,Bible,WORK_OF_ART
133,LULAC,ORG
134,1,CARDINAL
135,a weekend,DATE
136,first,ORDINAL
137,1,CARDINAL
138,1,CARDINAL
139,third,ORDINAL
140,one,CARDINAL
141,Congress,ORG
142,30,CARDINAL
143,8,CARDINAL
144,Thirty million,CARDINAL
145,the next eight years,DATE
146,first,ORDINAL
147,democrats,NORP
148,America,GPE
149,Tonight,TIME
150,Zero,CARDINAL
151,FBI,ORG
152,the United States,GPE
153,the United States,GPE
154,the Soviet Union,GPE
155,a new century,DATE
156,Washington,GPE
157,Barbara,PERSON
158,Two,CARDINAL
159,John Kennedy,PERSON
160,West Virginia,GPE
161,Teddy Roosevelt,PERSON
162,America,GPE
163,New York,GPE
164,Texas,GPE
165,Texas,GPE
166,40 years ago,DATE
167,one,CARDINAL
168,three,CARDINAL
169,six,CARDINAL
170,Friday,DATE
171,night,TIME
172,Little League,ORG
173,America,GPE
174,seven and a half years,DATE
175,decades,DATE
176,American,NORP
177,American,NORP
178,America,GPE
179,America,GPE
180,one,CARDINAL
181,Crocodile Dundee,PERSON
182,Republican,NORP
183,Democrat,NORP
184,the United States,GPE
185,American,NORP
186,CIA,ORG
187,Seven,CARDINAL
188,Noriega,PERSON
189,Reagan,PERSON
190,Bush,PERSON
191,Massachusetts,GPE
192,Noriega,PERSON
193,Noriega,PERSON
194,Panama,GPE
195,Panama,GPE
196,Noriega,PERSON
197,seven,CARDINAL
198,one,CARDINAL
199,Boston,GPE
200,John Kennedy,PERSON
201,Paul Tsongas,PERSON
202,Massachusetts,GPE
203,Massachusetts,GPE
204,five,CARDINAL
205,the East Coast,LOC
206,West,LOC
207,the Republican Party,ORG
208,Democrats,NORP
209,Congress,ORG
210,43,CARDINAL
211,Massachusetts,GPE
212,25 percent,PERCENT
213,three years,DATE
214,$ 70 billion,MONEY
215,one year,DATE
216,1987,DATE
217,this year,DATE
218,Congress,ORG
219,4 percent,PERCENT
220,the West Coast,LOC
221,Michael Boskin,PERSON
222,Marty Feldstein,PERSON
223,Massachusetts,GPE
224,American,NORP
225,one,CARDINAL
226,One,CARDINAL
227,Americans,NORP
228,today,DATE
229,Medicaid,ORG
230,first,ORDINAL
231,Medicaid,ORG
232,Medicaid,ORG
233,"65,337,343$60,624,4642 billion",MONEY
234,Medicaid,ORG
235,NIH,ORG
236,The Surgeon General,ORG
237,1,CARDINAL
238,Task Force,ORG
239,FDA,ORG
240,Vietnam,GPE
241,Massachusetts,GPE
242,last year,DATE
243,Democrat,NORP
244,"August, ' 87",DATE
245,ACLU,ORG
246,ACLU,ORG
247,Peter,PERSON
248,ACLU,ORG
249,10-year-old,DATE
250,the Catholic Church,ORG
251,ACLU,ORG
252,1,CARDINAL
253,America,GPE
254,the Pledge of Allegiance,WORK_OF_ART
255,Thompson,PERSON
256,1,CARDINAL
257,American,NORP
258,the years,DATE
259,1,CARDINAL
260,1,CARDINAL
261,the McKinney Act,LAW
262,Jim Baker,PERSON
263,the McKinney Act,LAW
264,Democrat,NORP
265,Republican,NORP
266,Congress,ORG
267,around 30 percent,PERCENT
268,McKinney Act,PERSON
269,the White House,ORG
270,Ten days,DATE
271,21 1/2 percent,PERCENT
272,a million,CARDINAL
273,Democratic,NORP
274,St. Louis,GPE
275,Reagan,PERSON
276,the United States,GPE
277,Massachusetts,GPE
278,Willie Horton,PERSON
279,Maryland,GPE
280,Maryland,GPE
281,Willie Horton,PERSON
282,millions,CARDINAL
283,1,CARDINAL
284,first,ORDINAL
285,WIC,ORG
286,Medicaid,ORG
287,Medicaid,ORG
288,Peter,PERSON
289,1,CARDINAL
290,1,CARDINAL
291,the Boston Police Department,ORG
292,the other day,DATE
293,Barbara Bush,PERSON
294,1,CARDINAL
295,$ 35 billion,MONEY
296,1,CARDINAL
297,7 percent,PERCENT
298,1,CARDINAL
299,93 percent,PERCENT
300,Washington,GPE
301,Soviet,NORP
302,zero,CARDINAL
303,first,ORDINAL
304,Soviets,NORP
305,Midgetman,PRODUCT
306,MX,PRODUCT
307,Soviets,NORP
308,Gorbachev,PERSON
309,Shevardnadze,PERSON
310,the other day,DATE
311,Ferdinand Marcos,PERSON
312,Aquino,PERSON
313,Manila,GPE
314,Philippines,GPE
315,1,CARDINAL
316,Minuteman III,PERSON
317,the Soviet Union,GPE
318,Gorbachev,PERSON
319,50 percent,PERCENT
320,1,CARDINAL
321,1,CARDINAL
322,Defense,ORG
323,Midgetman,PRODUCT
324,Minuteman,PRODUCT
325,MX,PRODUCT
326,Christmas,DATE
327,a couple of years,DATE
328,Perestroika and Glasnost,ORG
329,Soviet,NORP
330,1,CARDINAL
331,Gorbachev,PERSON
332,Shevardnadze,PERSON
333,China,GPE
334,China,GPE
335,Barbara,PERSON
336,the Soviet Union,GPE
337,1,CARDINAL
338,Soviet,NORP
339,one,CARDINAL
340,this Perestroika and Glasnost,ORG
341,Eastern Europe,LOC
342,Poland,GPE
343,today,DATE
344,Carter,PERSON
345,Soviets,NORP
346,1,CARDINAL
347,naïve,GPE
348,Soviets,NORP
349,Reagan,PERSON
350,Bush,PERSON
351,1,CARDINAL
352,Two,CARDINAL
353,Soviets,NORP
354,two,CARDINAL
355,two,CARDINAL
356,the United States,GPE
357,the Joint Chiefs,ORG
358,secondly,ORDINAL
359,the Coast Guard,ORG
360,Democratic,NORP
361,Congress,ORG
362,$ 70 million,MONEY
363,the Coast Guard,ORG
364,a billion dollars,MONEY
365,Muammar Khadaffi,PERSON
366,American,NORP
367,Libya,GPE
368,the United States,GPE
369,UN,ORG
370,the Persian Gulf,LOC
371,GCC,ORG
372,Western,NORP
373,Gulf,LOC
374,Iran,GPE
375,Iraq,GPE
376,Soviets,NORP
377,Afghanistan,GPE
378,some one,CARDINAL
379,Boston,GPE
380,Angola,GPE
381,Bostonians,NORP
382,Noriega,PERSON
383,Iran-Contra,EVENT
384,two,CARDINAL
385,Ronald Reagan,PERSON
386,Carter,PERSON
387,a couple of minutes,TIME
388,Senate,ORG
389,the House of Representatives,ORG
390,"90,786,064.02",CARDINAL
391,C3,CARDINAL
392,"100,060,000",CARDINAL
393,the Job Training Partnership Act,ORG
394,three,CARDINAL
395,Dan Quayle,PERSON
396,one,CARDINAL
397,"90,786,064.02",CARDINAL
398,C3,CARDINAL
399,"100,060,000",CARDINAL
400,J. Danforth Quayle,PERSON
401,J. Danforth,PERSON
402,World War II,EVENT
403,two,CARDINAL
404,a little friendlier evening,TIME
405,one,CARDINAL
406,Massachusetts,GPE
407,1985,DATE
408,first,ORDINAL
409,Democrats,NORP
410,one,CARDINAL
411,1,CARDINAL
412,Baker,PERSON
413,New Orleans,GPE
414,two,CARDINAL
415,Keep America,LOC
416,START,NORP
417,the Pledge of Allegiance,WORK_OF_ART
418,tonight,TIME
419,Americans,NORP
420,Quayle,PERSON
421,Mitchell,PERSON
422,Wright,PERSON
423,Dole,PERSON
424,Michel,PERSON
425,Reagan,PERSON
426,America,GPE
427,George Washington,PERSON
428,200 years ago,DATE
429,Bible,WORK_OF_ART
430,Bible,WORK_OF_ART
431,Washington,GPE
432,today,DATE
433,Washington,GPE
434,this day,DATE
435,today,DATE
436,these 200 years,DATE
437,first,ORDINAL
438,this day,DATE
439,tomorrow,DATE
440,Earth,LOC
441,first,ORDINAL
442,this century,DATE
443,first,ORDINAL
444,America,GPE
445,today,DATE
446,America,GPE
447,today,DATE
448,American,NORP
449,the Second World War,EVENT
450,the White House,FAC
451,Cabinet,ORG
452,Executive,ORG
453,Congress,ORG
454,House,ORG
455,Senate,ORG
456,America,GPE
457,Congress,ORG
458,Vietnam,GPE
459,a quarter of a century ago,DATE
460,Vietnam,GPE
461,Speaker,PERSON
462,Majority Leader,PERSON
463,Speaker,PERSON
464,Majority Leader,PERSON
465,Congress,ORG
466,American,NORP
467,today,DATE
468,Americans,NORP
469,Americans,NORP
470,America,GPE
471,America,GPE
472,the Soviet Union,GPE
473,today,DATE
474,tens of thousands,CARDINAL
