,ent,ent_label
0,Clinton,PERSON
1,Clinton,PERSON
2,Gore,PERSON
3,America,GPE
4,American,NORP
5,American,NORP
6,Americans,NORP
7,the last century,DATE
8,America,GPE
9,nearly 225 years,DATE
10,Americans,NORP
11,America,GPE
12,American,NORP
13,Today,DATE
14,America,GPE
15,America,GPE
16,America,GPE
17,America,GPE
18,Social Security,ORG
19,Medicare,ORG
20,Americans,NORP
21,a new century,DATE
22,America,GPE
23,America,GPE
24,American,NORP
25,Americans,NORP
26,America,GPE
27,Americans,NORP
28,the Declaration of Independence,WORK_OF_ART
29,Virginia,GPE
30,John Page,PERSON
31,Thomas Jefferson,PERSON
32,Jefferson,PERSON
33,The years,DATE
34,this day,DATE
35,today,DATE
36,America Good,PERSON
37,First,ORDINAL
38,Catholic,NORP
39,Jewish,NORP
40,Muslim,NORP
41,America,GPE
42,America,GPE
43,America,GPE
44,America,GPE
45,first,ORDINAL
46,Congress,ORG
47,Today,DATE
48,a few moments,TIME
49,two,CARDINAL
50,first,ORDINAL
51,the White House Office of Faith,ORG
52,Community Initiatives,ORG
53,second,ORDINAL
54,five,CARDINAL
55,Justice,ORG
56,HUD,ORG
57,HHS,ORG
58,Labor,ORG
59,Education,ORG
60,two,CARDINAL
61,first,ORDINAL
62,Steve Goldsmith,PERSON
63,one,CARDINAL
64,America,GPE
65,Steve,PERSON
66,the Corporation for National Service,ORG
67,Steve,PERSON
68,secondly,ORDINAL
69,John Dilulio,PERSON
70,today,DATE
71,America,GPE
72,American,NORP
73,Philadelphia,GPE
74,1,CARDINAL
75,America,GPE
76,1,CARDINAL
77,hourly,TIME
78,America,GPE
79,the second week,DATE
80,the last week,DATE
81,America,GPE
82,two,CARDINAL
83,the Rose Garden,FAC
84,Washington,GPE
85,the Rose Garden,FAC
86,Kofi Annan,PERSON
87,the United Nations,ORG
88,two,CARDINAL
89,Cabinet,ORG
90,State,ORG
91,Powell,PERSON
92,Health and Human Services,ORG
93,Tommy Thompson,PERSON
94,Scott Evertz,PERSON
95,the National AIDS Policy Office,ORG
96,Condoleezza Rice,PERSON
97,This morning,TIME
98,African,NORP
99,African,NORP
100,at least 11 million,CARDINAL
101,Sahara Africa,GPE
102,African,NORP
103,as many as half,CARDINAL
104,today,DATE
105,15-year-olds,DATE
106,The United States,GPE
107,today,DATE
108,Obasanjo,PERSON
109,last month,DATE
110,Africa,LOC
111,Annan,PERSON
112,the White House,ORG
113,March,DATE
114,Secretaries Powell,PERSON
115,Thompson,ORG
116,U.N.,ORG
117,today,DATE
118,the United States of America,GPE
119,$ 200 million,MONEY
120,billions,CARDINAL
121,$ 760 million,MONEY
122,this year,DATE
123,$ 200 million,MONEY
124,this morning,TIME
125,the Global Fund,ORG
126,First,ORDINAL
127,Second,ORDINAL
128,Third,ORDINAL
129,Global Fund,ORG
130,fourth,ORDINAL
131,This morning,TIME
132,U.N. Special Session,ORG
133,summer,DATE
134,Italy,GPE
135,Nigeria,GPE
136,Obasanjo,PERSON
137,Annan,PERSON
138,the White House,FAC
139,Laura,PERSON
140,O'Neill,PERSON
141,Daniels,PERSON
142,Evans,PERSON
143,Chao,PERSON
144,Abraham,PERSON
145,Todd Whitman,PERSON
146,Senate,ORG
147,the House of Representatives,ORG
148,Americans,NORP
149,Some months ago,DATE
150,Congress,ORG
151,Steven Ramos,PERSON
152,Steven,PERSON
153,Josefina,PERSON
154,Lianna,GPE
155,Lianna,GPE
156,Last year,DATE
157,"nearly $ 8,000",MONEY
158,today,DATE
159,Ramos,ORG
160,Today,DATE
161,Ramos,ORG
162,the United States of America,GPE
163,"Washington,",GPE
164,DC,GPE
165,World War II,EVENT
166,Kennedy,PERSON
167,the sixties,DATE
168,Reagan,PERSON
169,19Medicare,CARDINAL
170,third,ORDINAL
171,A year ago,DATE
172,Six months ago,DATE
173,Today,DATE
174,the United States,GPE
175,Congress,ORG
176,Bill Thomas,PERSON
177,California,GPE
178,Ralph Hall,PERSON
179,Texas,GPE
180,Charles Grassley,PERSON
181,Iowa,GPE
182,Max Baucus,PERSON
183,Montana,GPE
184,Zell Miller,PERSON
185,Georgia,GPE
186,John Breaux,PERSON
187,Senate,ORG
188,Denny Hastert,PERSON
189,Illinois,GPE
190,the House of Representatives,ORG
191,Democrats,NORP
192,Republicans,NORP
193,Congress,ORG
194,about this day,DATE
195,Cheney,PERSON
196,O'Neill,PERSON
197,Daniels,PERSON
198,the White House,FAC
199,Andy Card,PERSON
200,Larry Lindsey,PERSON
201,Nick Calio,PERSON
202,today,DATE
203,15,CARDINAL
204,Americans,NORP
205,the White House,FAC
206,today,DATE
207,millions,CARDINAL
208,Americans,NORP
209,this day,DATE
210,American,NORP
211,American,NORP
212,first,ORDINAL
213,Washington,GPE
214,15 percent to 10 percent,PERCENT
215,"1,000",MONEY
216,600,MONEY
217,September,DATE
218,the years ahead,DATE
219,American,NORP
220,first,ORDINAL
221,today,DATE
222,American,NORP
223,American,NORP
224,Today,DATE
225,America,GPE
226,first,ORDINAL
227,Congress,ORG
228,today,DATE
229,first,ORDINAL
230,a generation Good evening,TIME
231,a few minutes,TIME
232,tonight,TIME
233,today,DATE
234,The United States,GPE
235,the United States,GPE
236,two,CARDINAL
237,First,ORDINAL
238,second,ORDINAL
239,Congress,ORG
240,Cabinet,ORG
241,Americans,NORP
242,first,ORDINAL
243,one,CARDINAL
244,five-day-old,DATE
245,1932,DATE
246,Huxley,PERSON
247,recent weeks,DATE
248,first,ORDINAL
249,Americans,NORP
250,1,CARDINAL
251,millions,CARDINAL
252,Nancy Reagan,PERSON
253,Reagan,PERSON
254,Americans,NORP
255,America,GPE
256,Eight years ago,DATE
257,more than 60,CARDINAL
258,60,CARDINAL
259,This year,DATE
260,$ 250 million,MONEY
261,Leon Kass,PERSON
262,the University of Chicago,ORG
263,Good night,TIME
264,America Good,PERSON
265,evening,TIME
266,Today,DATE
267,Thousands,CARDINAL
268,America,GPE
269,American,NORP
270,America,GPE
271,Today,DATE
272,America,GPE
273,first,ORDINAL
274,New York City,GPE
275,Washington,GPE
276,D.C.,GPE
277,first,ORDINAL
278,Washington,GPE
279,today,DATE
280,tonight,TIME
281,tomorrow,DATE
282,American,NORP
283,Congress,ORG
284,American,NORP
285,America,GPE
286,Tonight,TIME
287,Psalm,GPE
288,23,CARDINAL
289,Americans,NORP
290,America,GPE
291,this day,DATE
292,Speaker,PERSON
293,Pro Tempore,PERSON
294,Congress,ORG
295,Americans,NORP
296,Tonight,TIME
297,American,NORP
298,Todd Beamer,PERSON
299,Lisa Beamer,PERSON
300,tonight,TIME
301,English,LANGUAGE
302,Hebrew,LANGUAGE
303,Arabic,LANGUAGE
304,the last nine days,DATE
305,Tonight,TIME
306,Congress,ORG
307,America,GPE
308,Republicans,NORP
309,Democrats,NORP
310,Capitol,FAC
311,God Bless America,WORK_OF_ART
312,$ 40 billion,MONEY
313,Hastert,PERSON
314,Gephardt,PERSON
315,Daschle,PERSON
316,Lott,PERSON
317,American,NORP
318,America,GPE
319,National Anthem,ORG
320,Buckingham Palace,FAC
321,Paris,GPE
322,Berlin,GPE
323,Brandenburg Gate,FAC
324,South Korean,NORP
325,Seoul,GPE
326,Cairo,GPE
327,days,DATE
328,Australia,GPE
329,Africa,LOC
330,Latin America,LOC
331,British,NORP
332,Tony Blair,PERSON
333,Laura Bush,PERSON
334,Congress,ORG
335,Bush,PERSON
336,New York,GPE
337,Rudolph Giuliani,PERSON
338,Pennsylvania,GPE
339,Tom Ridge,PERSON
340,White House,ORG
341,Paul Morse,PERSON
342,80,CARDINAL
343,dozens,CARDINAL
344,Pakistanis,ORG
345,more than 130,CARDINAL
346,Israelis,NORP
347,more than 250,CARDINAL
348,India,GPE
349,El Salvador,GPE
350,Iran,GPE
351,Mexico,GPE
352,Japan,GPE
353,hundreds,CARDINAL
354,British,NORP
355,America,GPE
356,Great Britain,GPE
357,British,NORP
358,America,GPE
359,September the 11th,DATE
360,Americans,NORP
361,the past 136 years,DATE
362,one,CARDINAL
363,Sunday,DATE
364,1941,DATE
365,Americans,NORP
366,Americans,NORP
367,thousands,CARDINAL
368,a single day,DATE
369,night,TIME
370,Americans,NORP
371,tonight,TIME
372,Americans,NORP
373,al Qaeda,ORG
374,American,NORP
375,Tanzania,GPE
376,Kenya,GPE
