,ent,ent_label
0,Chief Justice,PERSON
1,Americans,NORP
2,George Washington,PERSON
3,Constitution,LAW
4,Americans,NORP
5,an hour,TIME
6,first,ORDINAL
7,first,ORDINAL
8,first,ORDINAL
9,Constitution,LAW
10,Thomas Jefferson,PERSON
11,the years,DATE
12,Abraham Lincoln,PERSON
13,American,NORP
14,Monday,DATE
15,the House of Representatives,ORG
16,Senate,ORG
17,Congress,ORG
18,American,NORP
19,an election year,DATE
20,America,GPE
21,Americans,NORP
22,Watergate,EVENT
23,Richard Nixon,PERSON
24,millions,CARDINAL
25,God,PERSON
26,the White House,ORG
27,three,CARDINAL
28,Americans,NORP
29,last December 6,DATE
30,Constitution,LAW
31,America,GPE
32,American,NORP
33,Constitution,LAW
34,America,GPE
35,Constitution,LAW
36,Richard Nixon,PERSON
37,American,NORP
38,the United States,GPE
39,years,DATE
40,many months,DATE
41,Richard Nixon,PERSON
42,the United States,GPE
43,the Supreme Court,ORG
44,Americans,NORP
45,the United States,GPE
46,Richard Nixon,PERSON
47,Richard Nixon,PERSON
48,the United States,GPE
49,first,ORDINAL
50,10,CARDINAL
51,Richard Nixon,PERSON
52,Gerald R. Ford,PERSON
53,the United States,GPE
54,Article II,LAW
55,Constitution,LAW
56,Richard Nixon,PERSON
57,the United States,GPE
58,Richard Nixon,PERSON
59,July,DATE
60,"20, 1969",DATE
61,"August 9, 1974",DATE
62,this eighth day of September,DATE
63,the year,DATE
64,nineteen hundred and seventy-four,CARDINAL
65,the United States of America,GPE
66,one hundred and ninety ninth,CARDINAL
67,morning,TIME
68,Defense,ORG
69,Governmental,GPE
70,Americans,NORP
71,August 19,DATE
72,Veterans,NORP
73,Chicago,GPE
74,American,NORP
75,American,NORP
76,Vietnam,GPE
77,more than a year,DATE
78,Nation,ORG
79,Abraham Lincoln,PERSON
80,Harry S. Truman,PERSON
81,this last weekend,DATE
82,today,DATE
83,24 months,DATE
84,nine,CARDINAL
85,Americans,NORP
86,Americans,NORP
87,11803,DATE
88,the Clemency Board,ORG
89,11804,DATE
90,1946,DATE
91,Harry Truman,PERSON
92,55,CARDINAL
93,first,ORDINAL
94,General Assembly,ORG
95,the United Nations,ORG
96,American,NORP
97,Assembly,ORG
98,Today,DATE
99,138,CARDINAL
100,American,NORP
101,today,DATE
102,first,ORDINAL
103,Next week,DATE
104,State,ORG
105,Henry Kissinger,PERSON
106,today,DATE
107,State,ORG
108,American,NORP
109,the Congress of the United States,ORG
110,the United States of America,GPE
111,State,ORG
112,Kissinger,PERSON
113,State,ORG
114,National Security Council,ORG
115,the United Nations,ORG
116,Today,DATE
117,this century,DATE
118,General Assemblies,ORG
119,the United States,GPE
120,American,NORP
121,today,DATE
122,the United States,GPE
123,the Soviet Union,GPE
124,two,CARDINAL
125,Europe,LOC
126,Asia,LOC
127,Latin America,LOC
128,the People's Republic of China,GPE
129,the Middle East,LOC
130,Indochina,GPE
131,Africa,LOC
132,America,GPE
133,centuries,DATE
134,Americans,NORP
135,the United Nations,ORG
136,25 years,DATE
137,the United States,GPE
138,two,CARDINAL
139,First,ORDINAL
140,Second,ORDINAL
141,America,GPE
142,decades,DATE
143,Today,DATE
144,tomorrow,DATE
145,the United States,GPE
146,American,NORP
147,37,CARDINAL
148,United Nations,ORG
149,the Middle East,LOC
150,the past 10 months,DATE
151,America,GPE
152,Today,DATE
153,one,CARDINAL
154,The United Nations,ORG
155,The United States,GPE
156,four,CARDINAL
157,First,ORDINAL
158,the end of this century,DATE
159,Second,ORDINAL
160,Third,ORDINAL
161,one,CARDINAL
162,Fourth,ORDINAL
163,United States,GPE
164,State,ORG
165,Kissinger,PERSON
166,this very podium,DATE
167,last year,DATE
168,one,CARDINAL
169,the United States,GPE
170,the United States,GPE
171,Americans,NORP
172,today,DATE
173,Waldheim,PERSON
174,the United States,GPE
175,millions,CARDINAL
176,the United States,GPE
177,this year,DATE
178,the United States,GPE
179,this year,DATE
180,the United States,GPE
181,the World Food Conference,ORG
182,November,DATE
183,the United Nations,ORG
184,America,GPE
185,today,DATE
186,America,GPE
187,the United Nations Charter,ORG
188,Speaker,PERSON
189,first,ORDINAL
190,Franklin D. Roosevelt,PERSON
191,the United States,GPE
192,Today,DATE
193,1933,DATE
194,American,NORP
195,Congress,ORG
196,73d,DATE
197,Congress,ORG
198,FDR,PERSON
199,five days,DATE
200,93d,DATE
201,Congress,ORG
202,the Conference on Inflation,ORG
203,ten days ago,DATE
204,Speaker,PERSON
205,today,DATE
206,Senate,ORG
207,nine,CARDINAL
208,today,DATE
209,the United States,GPE
210,1976,DATE
211,200th,ORDINAL
212,a United States of America,GPE
213,hundreds,CARDINAL
214,only one,CARDINAL
215,Federal Government,ORG
216,America,GPE
217,American,NORP
218,Today,DATE
219,10,CARDINAL
220,one,CARDINAL
221,America,GPE
222,the United States,GPE
223,America,GPE
224,Congress,ORG
225,America,GPE
226,Council on Wage and,ORG
227,Administration,ORG
228,this past weekend,DATE
229,The Economic Policy Board,ORG
230,480,CARDINAL
231,two,CARDINAL
232,America,GPE
233,One third,CARDINAL
234,17 percent,PERCENT
235,America,GPE
236,$ 16 billion,MONEY
237,$ 16 billion,MONEY
238,a year ago,DATE
239,Americans,NORP
240,today,DATE
241,Rog Morton,PERSON
242,Interior,ORG
243,Rog Morton's,PERSON
244,1 million barrels,QUANTITY
245,the end of 1975,DATE
246,Morton,PERSON
247,1980,DATE
248,Nation,ORG
249,House,ORG
250,Senate,ORG
251,40 percent,PERCENT
252,4-year,DATE
253,One,CARDINAL
254,Number two,CARDINAL
255,Naval,GPE
256,California,GPE
257,Alaska,GPE
258,three,CARDINAL
259,the Clean Air Act,LAW
260,Four,CARDINAL
261,Earth,LOC
262,three,CARDINAL
263,Administration,ORG
264,zero,CARDINAL
265,the Department of Justice,ORG
266,Congress,ORG
267,"$ 50,000 to $ 1 million",MONEY
268,"$ 50,000 to $ 100,000",MONEY
269,the Conference on Inflation,ORG
270,the Federal Government,ORG
271,four,CARDINAL
272,one,CARDINAL
273,the Council on Wage and,ORG
274,Two,CARDINAL
275,Congress,ORG
276,a National Commission on Regulatory Reform,ORG
277,Congress,ORG
278,today,DATE
279,Three,CARDINAL
280,Congress,ORG
281,State,ORG
282,Congress,ORG
283,the National Commission on Productivity and Work Quality,ORG
284,Government,GPE
285,"Federal, State",ORG
286,The Council on Wage and,ORG
287,Americans,NORP
288,World War II,EVENT
289,four,CARDINAL
290,Today,DATE
291,American,NORP
292,Federal Reserve Board,ORG
293,10 percent,PERCENT
294,Congress,ORG
295,the Committee on Ways and Means,ORG
296,five,CARDINAL
297,Three weeks ago,DATE
298,"some 170,000",CARDINAL
299,Congress,ORG
300,two,CARDINAL
301,First,ORDINAL
302,13 weeks,DATE
303,26 weeks,DATE
304,Second,ORDINAL
305,Congress,ORG
306,Community Improvement Corps,ORG
307,6 percent,PERCENT
308,below 6 percent,PERCENT
309,6.5 percent,PERCENT
310,Americans,NORP
311,a 1 year period,DATE
312,Americans,NORP
313,the House Committee,ORG
314,Ways and Means,ORG
315,approximately $ 1.6 billion,MONEY
316,Congress,ORG
317,six,CARDINAL
318,The United States,GPE
319,the end of World War II,DATE
320,One,CARDINAL
321,first,ORDINAL
322,the Housing and Community Development Act,ORG
323,1974,DATE
324,Congress,ORG
325,the Federal Government,ORG
326,FHA,ORG
327,VA,ORG
328,one-fifth,CARDINAL
329,Senate,ORG
330,Brooke,PERSON
331,Cranston,PERSON
332,at least $ 3 billion,MONEY
333,"about 100,000",CARDINAL
334,American,NORP
335,seven,CARDINAL
336,Congress,ORG
337,third,ORDINAL
338,8 years,DATE
339,Number eight,CARDINAL
340,The United States,GPE
341,1881,DATE
342,earlier this afternoon,TIME
343,Canada,GPE
344,Europe,LOC
345,Japan,GPE
346,Number nine,CARDINAL
347,just four weeks,DATE
348,November 5,DATE
349,America,GPE
350,many years,DATE
351,19,CARDINAL
352,the 25 years,DATE
353,Chamber,ORG
354,the Federal Government,ORG
355,l-year,DATE
356,5 percent,PERCENT
357,"15,000",MONEY
358,The estimated $ 5 billion,MONEY
359,America,GPE
360,the Committee on Ways and Means ',ORG
361,$ 300 billion,MONEY
362,1975,DATE
363,Congress,ORG
364,Congressional,ORG
365,Chamber,ORG
366,I.,ORG
367,the Defense Department,ORG
368,today,DATE
369,American,NORP
370,Uncle Sam,PERSON
371,first,ORDINAL
372,Americans,NORP
373,10 days ago,DATE
374,10,CARDINAL
375,thousands,CARDINAL
376,the White House,FAC
377,Congress,ORG
378,Congress,ORG
379,Congress,ORG
380,American,NORP
381,Congress,ORG
382,America,GPE
383,American,NORP
384,last week,DATE
385,a penny,MONEY
386,5 percent,PERCENT
387,American,NORP
388,each year,DATE
389,at least 5 percent,PERCENT
390,"250,000 barrels",QUANTITY
391,the end of 1975,DATE
392,better than 5 percent,PERCENT
393,1 million barrels,QUANTITY
394,Americans,NORP
395,5 percent,PERCENT
396,Congress,ORG
397,Congress,ORG
398,One week,DATE
399,tonight,TIME
400,Kansas City,GPE
401,the Future Farmers of America,ORG
402,millions,CARDINAL
403,Sylvia Porter,PERSON
404,White House,ORG
405,17,CARDINAL
406,Americans,NORP
407,tomorrow,DATE
408,WIN,ORG
409,American,NORP
410,Speaker,PERSON
411,Congress,ORG
412,Only two,CARDINAL
413,Congress,ORG
414,Pearl Harbor,FAC
415,Americans,NORP
416,Speaker,PERSON
417,94th,ORDINAL
418,Congress,ORG
419,Twenty-six years ago,DATE
420,Sam Rayburn,PERSON
421,House,ORG
422,yesterday,DATE
423,Two days later,DATE
424,Truman,PERSON
425,Constitution,LAW
426,Truman,PERSON
427,this 81st,DATE
428,Congress,ORG
429,American,NORP
430,Today,DATE
431,Michigan,GPE
432,Truman,PERSON
433,Millions,CARDINAL
434,Americans,NORP
435,millions,CARDINAL
436,year,DATE
437,about $ 30 billion,MONEY
438,next year's,DATE
439,$ 45 billion,MONEY
440,$ 500 billion,MONEY
441,Washington,GPE
442,Truman,PERSON
443,"January 5, 1949",DATE
444,1975,DATE
445,Americans,NORP
446,today,DATE
447,59 million,CARDINAL
448,Americans,NORP
449,the start of 1949,DATE
450,more than 85 million,CARDINAL
451,Americans,NORP
452,American,NORP
453,the past 26 years,DATE
454,American,NORP
455,Congress,ORG
456,America,GPE
457,the Voting Rights Act,LAW
458,Congress,ORG
459,the White House,ORG
460,Earth,LOC
461,one-year,DATE
462,$ 16 billion,MONEY
463,Three-quarters,DATE
464,one-quarter,DATE
465,12 percent,PERCENT
466,1974,DATE
467,$ 12 billion,MONEY
468,"1,000",MONEY
469,Congress,ORG
470,April 1,DATE
471,Treasury,ORG
472,first,ORDINAL
473,half,CARDINAL
474,May,DATE
475,second,ORDINAL
476,September,DATE
477,one-fourth,CARDINAL
478,about $ 4 billion,MONEY
479,one-year,DATE
480,12 percent,PERCENT
481,decades,DATE
482,every year,DATE
483,every year,DATE
484,last year,DATE
485,next year,DATE
486,the next 15 years,DATE
487,half,CARDINAL
488,less than a third,CARDINAL
489,1975,DATE
490,fiscal year 1976,DATE
491,this year,DATE
492,Congress,ORG
493,5-percent,PERCENT
494,1975,DATE
495,one-year,DATE
496,5 percent,PERCENT
497,Congress,ORG
498,the Federal Reserve System,ORG
499,the United States,GPE
500,Treasury,ORG
501,more than $ 360 billion,MONEY
502,fiscal year 1976,DATE
503,Congress,ORG
504,fiscal year 1976,DATE
505,this year,DATE
506,future years,DATE
507,Congress,ORG
508,the last year,DATE
509,the United States,GPE
510,years,DATE
511,1973,DATE
512,1970,DATE
513,Europe,LOC
514,Japan,GPE
515,the United States,GPE
516,between now and 1985,DATE
517,First,ORDINAL
518,one million barrels,QUANTITY
519,the end of this year,DATE
520,two million barrels,QUANTITY
521,the end of 1977,DATE
522,Second,ORDINAL
523,1985,DATE
524,Third,ORDINAL
525,the United States,GPE
526,the end of this century,DATE
527,the Elk Hills,FAC
528,California,GPE
529,the Energy Supply and Environmental Coordination Act,ORG
530,1,MONEY
531,February 1,DATE
532,2,MONEY
533,March 1,DATE
534,3,MONEY
535,April 1,DATE
536,Congress,ORG
537,90 days,DATE
538,2,MONEY
539,April 1,DATE
540,Congress,ORG
541,Congress,ORG
542,1985,DATE
543,the Outer Continental Shelf,ORG
544,the Naval Petroleum Reserve No,ORG
545,4,CARDINAL
546,Alaska,GPE
547,the Outer Continental Shelf,ORG
548,Clean Air [ Act,LAW
549,Congress,ORG
550,the White House,ORG
551,recent months,DATE
552,60 percent,PERCENT
553,30 percent,PERCENT
554,one-year,DATE
555,12 percent,PERCENT
556,an additional two years,DATE
557,Congress,ORG
558,the United States,GPE
559,up to $ 150,MONEY
560,five years,DATE
561,40 percent,PERCENT
562,1980,DATE
563,three to five million barrels,MONEY
564,1985,DATE
565,the United States,GPE
566,one billion barrels,QUANTITY
567,300 million barrels,QUANTITY
568,one million barrels,QUANTITY
569,1985,DATE
570,America,GPE
571,the next 10 years,DATE
