,ent,ent_label
0,Speaker,PERSON
1,Congress,ORG
2,the United States,GPE
3,Only yesterday,DATE
4,Franklin Delano Roosevelt,PERSON
5,millions,CARDINAL
6,America,GPE
7,Franklin Delano Roosevelt,PERSON
8,Today,DATE
9,America,GPE
10,Americans,NORP
11,Franklin Roosevelt,PERSON
12,Americans,NORP
13,Germany,GPE
14,Japan,GPE
15,America,GPE
16,America,GPE
17,America,GPE
18,America,GPE
19,the difficult days ahead,DATE
20,Americans,NORP
21,American,NORP
22,America,GPE
23,today,DATE
24,Hitler,PERSON
25,Tokyo,GPE
26,the United Nations ',ORG
27,Leahy,PERSON
28,Marshall,PERSON
29,Arnold,PERSON
30,Eisenhower,PERSON
31,Nimitz,PERSON
32,MacArthur,PERSON
33,America,GPE
34,an hour,TIME
35,the San Francisco Conference,ORG
36,the dark hours,TIME
37,Axis,ORG
38,American,NORP
39,United Nations Organization,ORG
40,Congress,ORG
41,America,GPE
42,Franklin Delano Roosevelt,PERSON
43,Today,DATE
44,America,GPE
45,Americans,NORP
46,America,GPE
47,a glorious hour,TIME
48,Franklin D. Roosevelt,PERSON
49,this day,DATE
50,Eisenhower,PERSON
51,Germany,GPE
52,the United Nations,ORG
53,Europe,LOC
54,Hitler,PERSON
55,Americans,NORP
56,today,DATE
57,the coming months,DATE
58,West,LOC
59,East,LOC
60,Japanese,NORP
61,Japanese,NORP
62,American,NORP
63,that day,DATE
64,A Proclamation,WORK_OF_ART
65,Allied,ORG
66,Germany,GPE
67,five years,DATE
68,millions upon millions,MONEY
69,East,LOC
70,half,CARDINAL
71,United,ORG
72,West,LOC
73,the Pacific war,EVENT
74,Europe,LOC
75,Harry S. Truman,PERSON
76,the United States of America,GPE
77,"Sunday, May 13, 1945",DATE
78,the United States,GPE
79,this day,DATE
80,the United States of America,GPE
81,Sixteen hours ago,TIME
82,American,NORP
83,one,CARDINAL
84,Hiroshima,GPE
85,Japanese Army,ORG
86,"20,000 tons",QUANTITY
87,T.N.T.,NORP
88,more than two thousand,CARDINAL
89,British,NORP
90,Japanese,NORP
91,Pearl Harbor,FAC
92,the Far East,LOC
93,1939,DATE
94,1942,DATE
95,Germans,NORP
96,Germans,NORP
97,the V-1 's,ORG
98,V-2,ORG
99,1940,DATE
100,Pearl Harbor,FAC
101,the United States,GPE
102,Great Britain,GPE
103,American,NORP
104,British,NORP
105,Germans,NORP
106,The United States,GPE
107,the United States,GPE
