,ent,ent_label
0,the United States,GPE
1,one,CARDINAL
2,Universe,PERSON
3,the United States,GPE
4,Constitution,LAW
5,first,ORDINAL
6,the United States,GPE
7,Union,GPE
8,the United States,GPE
9,Constitution,LAW
10,the United States,GPE
11,more than half,CARDINAL
12,Constitution,LAW
13,Constitution,LAW
14,One,CARDINAL
15,Constitution,LAW
16,Constitution,LAW
17,Constitution,LAW
18,Constitution,LAW
19,Union,ORG
20,13,CARDINAL
21,28,CARDINAL
22,two,CARDINAL
23,the last week,DATE
24,three to 20 million,CARDINAL
25,the Old World,LOC
26,Union,ORG
27,Union,GPE
28,millions,CARDINAL
29,millions,CARDINAL
30,Constitution,LAW
31,Constitution,LAW
32,Union,ORG
33,the Union of the states,ORG
34,Constitution,LAW
35,Constitution,LAW
36,Congress,ORG
37,European,NORP
38,republican,NORP
39,Revolution,EVENT
40,the War of 1812,EVENT
41,the last few years,DATE
42,Union,ORG
43,One,CARDINAL
44,one,CARDINAL
45,one,CARDINAL
46,one,CARDINAL
47,one,CARDINAL
48,millions,CARDINAL
49,Union,ORG
50,The Republic of Texas,GPE
51,Union,GPE
52,Constitution,LAW
53,Texas,GPE
54,Congress of the United States,ORG
55,two,CARDINAL
56,the United States,GPE
57,Texas,GPE
58,millions,CARDINAL
59,Congress,ORG
60,Texas,GPE
61,the United States,GPE
62,Texas,GPE
63,New Orleans,GPE
64,Louisiana,GPE
65,Indian,NORP
66,Union,ORG
67,Union,ORG
68,13,CARDINAL
69,Texas,GPE
70,Texas,GPE
71,Texas,GPE
72,the United States,GPE
73,Texas,GPE
74,Constitution,LAW
75,the United States,GPE
76,Texas,GPE
77,the United States,GPE
78,the Rocky Mountains,LOC
79,Oregon,GPE
80,eighty years ago,DATE
81,Alleghanies,ORG
82,many millions,CARDINAL
83,Mississippi,GPE
84,Missouri,GPE
85,Pacific,LOC
86,republican,NORP
87,one,CARDINAL
88,the United States,GPE
89,the present hour,TIME
90,Fellow Citizens,PERSON
91,Senate,ORG
92,the House of Representatives,ORG
93,States,GPE
94,Congress,ORG
95,first,ORDINAL
96,Constitution,LAW
97,Divine Providence,PERSON
98,the Union of the States,ORG
99,the Supreme Ruler,ORG
100,Universe,PERSON
101,Congress,ORG
102,Congress,ORG
103,Texas,GPE
104,the United States,GPE
105,"the 3d day of March, 1845",DATE
106,first,ORDINAL
107,second,ORDINAL
108,the Republic of Texas,GPE
109,the United States,GPE
110,State,ORG
111,the United States,GPE
112,Texas,GPE
113,"the 10th of March, 1845",DATE
114,Congress,ORG
115,Texas,GPE
116,the State of Texas,GPE
