,ent,ent_label
0,republican,NORP
1,the United States,GPE
2,the United States,GPE
3,States,GPE
4,Constitution,LAW
5,Union,ORG
6,States,GPE
7,Senate,ORG
8,the House of Representatives,ORG
9,first,ORDINAL
10,Congress,ORG
11,this early,DATE
12,Great Britain,GPE
13,France,GPE
14,London,GPE
15,Paris,GPE
16,French,NORP
17,British,NORP
18,the British Government,ORG
19,Congress,ORG
20,two,CARDINAL
21,the United States,GPE
22,Britannic Majesty,PERSON
23,two,CARDINAL
24,Great Britain,GPE
25,the United States,GPE
26,the British Government,ORG
27,two,CARDINAL
28,the 10th day of June,DATE
29,Britannic Majesty,PERSON
30,France,GPE
31,British,NORP
32,the United States,GPE
33,British,NORP
34,the United States,GPE
35,one,CARDINAL
36,Paris,GPE
37,the French Government,ORG
38,the United States,GPE
39,Great Britain,GPE
40,Congress,ORG
41,New Orleans,GPE
42,New Orleans,GPE
43,"100,000",CARDINAL
44,"the act of March, 1808",DATE
45,"April, 1808",DATE
46,War,EVENT
47,two,CARDINAL
48,one,CARDINAL
49,fourth,ORDINAL
50,the month of July,DATE
51,Navy,ORG
52,Congress,ORG
53,Congress,ORG
54,the season of the year,DATE
55,Congress,ORG
56,the United States,GPE
57,"5,300,000",MONEY
58,the last day of the year 1808,DATE
59,the 1st day of April,DATE
60,Treasury,ORG
61,"9,500,000",MONEY
62,the current year,DATE
63,the year,DATE
64,the last twelve months,DATE
65,the year 1810,DATE
66,that year,DATE
67,the present season of the year,DATE
68,Legislature,ORG
69,JAMES MADISON,PERSON
70,Senate,ORG
71,the House of Representatives,ORG
72,one,CARDINAL
73,the British Government,ORG
74,the United States,GPE
75,the United States,GPE
76,the British Government,ORG
77,the United States,GPE
78,Treasury,ORG
79,British,NORP
80,Congress,ORG
81,two,CARDINAL
82,first,ORDINAL
83,British,NORP
84,WRT,ORG
85,Chesapeake,GPE
86,the United States,GPE
87,first,ORDINAL
88,British,NORP
89,British,NORP
90,the United States,GPE
91,the Department of State,ORG
92,Britannic Majesty,PERSON
93,the United States,GPE
94,London,GPE
95,The British Government,ORG
96,the United States,GPE
97,France,GPE
98,the United States,GPE
99,Congress,ORG
100,Executive,ORG
101,Paris,GPE
102,Legislature,ORG
103,American,NORP
104,American,NORP
105,Barbary,GPE
106,Indian,NORP
107,New York,GPE
