,ent,ent_label
0,Administrations,GPE
1,the United States,GPE
2,the United States,GPE
3,Constitution,LAW
4,States,GPE
5,States,GPE
6,Union,ORG
7,States,GPE
8,States,GPE
9,the National Government,ORG
10,any quarter,DATE
11,Constitution,LAW
12,States of Europe,LOC
13,the United States,GPE
14,Army,ORG
15,Navy,ORG
16,Constitution,LAW
17,one,CARDINAL
18,Union,ORG
19,Atlantic,LOC
20,the United States,GPE
21,the Great Lakes,FAC
22,years,DATE
23,North,LOC
24,the United States,GPE
25,the Revolution,EVENT
26,first,ORDINAL
27,National Government,ORG
28,States,GPE
29,the United States,GPE
30,the United States,GPE
31,Union,ORG
32,Europe,LOC
33,Army,ORG
34,Navy,ORG
35,a few thousand,CARDINAL
36,first,ORDINAL
37,the United States,GPE
38,States,GPE
39,the United States,GPE
40,the United States,GPE
41,States,GPE
42,Union,ORG
43,the United States,GPE
44,Indian,NORP
45,Treasury,ORG
46,daily,DATE
47,the United States,GPE
48,Departments,ORG
49,Legislature,ORG
50,Administration,ORG
51,Administration,ORG
52,Legislature,ORG
53,the United States,GPE
54,Executive,ORG
55,Union,ORG
56,Discord,ORG
57,American,NORP
58,Union,GPE
59,Providence,GPE
60,Senate,ORG
61,the House of Representatives,ORG
62,daily,DATE
63,British,NORP
64,Great Britain,GPE
65,the United States,GPE
66,Lake Champlain,LOC
67,more than one,CARDINAL
68,Lake Ontario,LOC
69,Lake Erie,LOC
70,more than two,CARDINAL
71,one,CARDINAL
72,six months shall,DATE
73,one,CARDINAL
74,fourth,ORDINAL
75,1783,DATE
76,two,CARDINAL
77,1881,DATE
78,British,NORP
79,1783,DATE
80,GB,GPE
81,London,GPE
82,the United States,GPE
83,British,NORP
84,Europe,LOC
85,British,NORP
86,two,CARDINAL
87,British,NORP
88,Congress,ORG
89,Spain,GPE
90,Congress,ORG
91,Spanish,NORP
92,the United States,GPE
93,Spain,GPE
94,Spanish,NORP
95,Spain,GPE
96,the United States,GPE
97,the United States,GPE
98,colonies,GPE
99,the summer,DATE
100,Florida,GPE
101,Amelia Island,GPE
