,ent,ent_label
0,Edwin Newman,PERSON
1,first,ORDINAL
2,1976,DATE
3,Gerald R. Ford,PERSON
4,Michigan,GPE
5,Republican,NORP
6,Jimmy Carter,PERSON
7,Georgia,GPE
8,Democratic,NORP
9,Ford,PERSON
10,Carter,PERSON
11,tonight,TIME
12,three,CARDINAL
13,one,CARDINAL
14,the League of Women Voters Education Fund,ORG
15,Tonight,TIME
16,first,ORDINAL
17,16 years,DATE
18,first,ORDINAL
19,the Walnut Street Theatre,ORG
20,Philadelphia,GPE
21,3,CARDINAL
22,Independence Hall,FAC
23,100 million,CARDINAL
24,the United States,GPE
25,many millions,CARDINAL
26,Tonight,TIME
27,Frank Reynolds,PERSON
28,ABC News,ORG
29,James Gannon,PERSON
30,the Wall Street Journal,ORG
31,Elizabeth Drew,PERSON
32,the New Yorker,ORG
33,first,ORDINAL
34,Carter,PERSON
35,up to 3 minutes,TIME
36,One,CARDINAL
37,up to 2 minutes,TIME
38,Ford,PERSON
39,2 minutes,TIME
40,Ford,PERSON
41,3-minute,TIME
42,Carter,PERSON
43,first,ORDINAL
44,Ford,PERSON
45,Carter,PERSON
46,this evening,TIME
47,Reynolds,PERSON
48,Carter,PERSON
49,REYNOLDS,ORG
50,Carter,PERSON
51,the Associated Press,ORG
52,last week,DATE
53,one,CARDINAL
54,any year,DATE
55,number one,CARDINAL
56,first,ORDINAL
57,next January,DATE
58,First,ORDINAL
59,the White House,ORG
60,first,ORDINAL
61,secondly,ORDINAL
62,202,CARDINAL
63,roughly 20 percent,PERCENT
64,English,LANGUAGE
65,40-percent,PERCENT
66,CCC,ORG
67,Civilian Conservation Corps]-type,ORG
68,State,ORG
69,3 percent,PERCENT
70,about 4 to 6 percent,PERCENT
71,around 5 percent,PERCENT
72,REYNOLDS,ORG
73,about 73 percent,PERCENT
74,the Great Depression,EVENT
75,Carter,PERSON
76,Humphrey-Hawkins,PERSON
77,Democratic,NORP
78,$ 10 to $ 30 billion,MONEY
79,each year,DATE
80,the Federal Government,ORG
81,five,CARDINAL
82,six,CARDINAL
83,today,DATE
84,about a year ago,DATE
85,$ 28 billion,MONEY
86,three quarters,DATE
87,one-quarter,DATE
88,Gannon,PERSON
89,Ford,PERSON
90,Americans,NORP
91,"up to $ 30,000",MONEY
92,Treasury,ORG
93,Gannon,PERSON
94,$ 28 billion,MONEY
95,25 percent,PERCENT
96,American,NORP
97,one,CARDINAL
98,Congress,ORG
99,$ 395 billion,MONEY
100,$ 28 billion,MONEY
101,Congress,ORG
102,750,MONEY
103,"1,000",MONEY
104,four,CARDINAL
105,"1,000",MONEY
106,Congress,ORG
107,$ 28 billion,MONEY
108,Congress,ORG
109,January of this year,DATE
110,50-percent,PERCENT
111,the last 10 years,DATE
112,the United States,GPE
113,about 11 percent,PERCENT
114,half,CARDINAL
115,5,CARDINAL
116,5 1/2 percent,PERCENT
117,Congress,ORG
118,Congress,ORG
119,$ 10 billion,MONEY
120,750,MONEY
121,"1,000",MONEY
122,Congress,ORG
123,Congress,ORG
124,Congress,ORG
125,Congress,ORG
126,about $ 17 billion,MONEY
127,Congress,ORG
128,the White House,ORG
129,day,DATE
130,two,CARDINAL
131,"about 1,500",CARDINAL
132,Carter,PERSON
133,Ford,PERSON
134,25 percent,PERCENT
135,only 1 percent,PERCENT
136,over 50 percent,PERCENT
137,the 14 percent,PERCENT
138,Ford,PERSON
139,first,ORDINAL
140,August of 1974,DATE
141,first,ORDINAL
142,October,DATE
143,$ 4.7 billion,MONEY
144,the Great Depression,EVENT
145,1940,DATE
146,January of 1975,DATE
147,$ 5.6 billion,MONEY
148,$ 6 1/2 billion,MONEY
149,December of 1975,DATE
150,roughly $ 18 to $ 20 billion,MONEY
151,Congress,ORG
152,January of this year,DATE
153,$ 10 billion,MONEY
154,$ 6 billion,MONEY
155,this coming January,DATE
156,the Republican Party,ORG
157,the late sixties,DATE
158,Nixon,PERSON
159,30 percent,PERCENT
160,about 20 percent,PERCENT
161,14 percent,PERCENT
162,Republicans,NORP
163,Drew,PERSON
164,Carter,PERSON
165,Carter,PERSON
166,first,ORDINAL
167,first,ORDINAL
168,Johnson,PERSON
169,Kennedy,PERSON
170,the Vietnamese war,EVENT
171,4-year,DATE
172,4,CARDINAL
173,House,ORG
174,Senate,ORG
175,$ 60 billion,MONEY
176,fiscal year ' 81,DATE
177,the last year,DATE
178,$ 60 billion,MONEY
179,American,NORP
180,fiscal year ' 81,DATE
181,the last year,DATE
182,DREW,PERSON
183,Congress,ORG
184,4-percent,PERCENT
185,$ 5 billion,MONEY
186,1981,DATE
187,about $ 85 to $ 100 billion,MONEY
188,5 1/2 percent,PERCENT
189,$ 60 billion,MONEY
190,1981,DATE
191,the Federal Government,ORG
192,the Federal Government,ORG
193,zero,CARDINAL
194,4 years,DATE
195,Georgia,GPE
196,every year,DATE
197,fiscal year 1981,DATE
198,American,NORP
199,Kennedy,PERSON
200,Johnson,PERSON
201,the Vietnam war,EVENT
202,Ford,PERSON
203,$ 60 billion,MONEY
204,fiscal year 1981,DATE
205,Carter,PERSON
206,Democratic,NORP
207,American,NORP
208,Carter,PERSON
209,today,DATE
210,1969,DATE
211,Republican,NORP
212,10 million,CARDINAL
213,Gannon,PERSON
214,two,CARDINAL
215,10 million,CARDINAL
216,the last 8 years,DATE
217,$ 60 billion,MONEY
218,the Vietnam war,EVENT
219,Reynolds,PERSON
220,MR,GPE
221,REYNOLDS,ORG
222,Chicago,GPE
223,"Some 14,000",CARDINAL
224,"90,000",CARDINAL
225,Nixon,PERSON
226,Watergate,EVENT
227,today,DATE
228,Bicentennial Year,EVENT
229,Vietnam,GPE
230,Chicago,GPE
231,September of 1974,DATE
232,"About 14 to 15,000",CARDINAL
233,Nixon,PERSON
234,Nixon,PERSON
235,the United States,GPE
