,ent,ent_label
0,Stevenson,PERSON
1,Johnson,PERSON
2,Butler,PERSON
3,Symington,PERSON
4,Humphrey,PERSON
5,Rayburn,PERSON
6,Democrats,NORP
7,Stevenson,PERSON
8,1956,DATE
9,the coming months ahead,DATE
10,only one,CARDINAL
11,Party,ORG
12,The Rights of Man,WORK_OF_ART
13,first,ORDINAL
14,the coming months,DATE
15,Platform,GPE
16,Lyndon Johnson,PERSON
17,one,CARDINAL
18,Adlai Stevenson,PERSON
19,Stuart Symington,PERSON
20,Harry S. Truman,PERSON
21,Wisconsin,GPE
22,West Virginia,GPE
23,Hubert Humphrey,PERSON
24,Paul Butler,PERSON
25,Republican,NORP
26,the Democratic Party,ORG
27,1928,DATE
28,the Democratic Party,ORG
29,American,NORP
30,Constitution,LAW
31,fourteen years,DATE
32,American,NORP
33,American,NORP
34,Democrat,NORP
35,November,DATE
36,Abraham Lincoln,PERSON
37,Nixon,PERSON
38,Fair,ORG
39,millions,CARDINAL
40,Americans,NORP
41,Eisenhower,PERSON
42,Richard,PERSON
43,Henry II,PERSON
44,Richard Cromwell,PERSON
45,future years,DATE
46,Richard Nixon,PERSON
47,Dwight D. Eisenhower,ORG
48,Nixon,PERSON
49,Benson,PERSON
50,Dirksen,PERSON
51,Goldwater,PERSON
52,Coolidge,PERSON
53,Harding,PERSON
54,Pierce,PERSON
55,Lincoln,ORG
56,Taft,PERSON
57,Wilson,ORG
58,Franklin Roosevelt,PERSON
59,eight years,DATE
60,Democratic,NORP
61,the White House,FAC
62,Nixon,PERSON
63,Republican,NORP
64,American,NORP
65,Winston Churchill,PERSON
66,some twenty years ago,DATE
67,Today,DATE
68,One third,CARDINAL
69,one-third,CARDINAL
70,one-third,CARDINAL
71,Communist,NORP
72,Asia,LOC
73,the Middle East,LOC
74,some ninety miles,QUANTITY
75,Florida,GPE
76,Korea,GPE
77,Japan,GPE
78,some seven,CARDINAL
79,Fair,ORG
80,later years,DATE
81,America,GPE
82,Seven lean years,DATE
83,Washington,GPE
84,America,GPE
85,Americans,NORP
86,Republican,NORP
87,McKinley,ORG
88,Democratic,NORP
89,today,DATE
90,tonight,TIME
91,three thousand miles,QUANTITY
92,Today,DATE
93,American,NORP
94,today,DATE
95,1960,DATE
96,Woodrow Wilson's,PERSON
97,New Freedom,ORG
98,Franklin Roosevelt's,PERSON
99,the New Frontier,ORG
100,American,NORP
101,the New Frontier,ORG
102,New Frontier,ORG
103,Scriptural,NORP
104,today,DATE
105,David Lloyd George,PERSON
106,Tory,NORP
107,the United States,GPE
108,today,DATE
109,Kremlin,ORG
110,Communist,NORP
111,Russian,NORP
112,the New Frontier,ORG
113,two,CARDINAL
114,first,ORDINAL
115,New Hampshire,GPE
116,America,GPE
117,1,CARDINAL
118,tonight,TIME
119,1960,DATE
120,Communist,NORP
121,90 miles,QUANTITY
122,Florida,GPE
123,West Virginia,GPE
124,America,GPE
125,Catholic,NORP
126,Catholic,NORP
127,some quarters,DATE
128,America,GPE
129,America,GPE
130,Catholic,NORP
131,Catholic,NORP
132,Protestant,NORP
133,America,GPE
134,Catholic,NORP
135,Jewish,NORP
136,the National Council of Churches,ORG
137,one,CARDINAL
138,this year,DATE
139,Catholic,NORP
140,Quaker,ORG
141,Baptist,ORG
142,Virginia,GPE
143,Baptist,NORP
144,Jefferson,PERSON
145,tomorrow,DATE
146,America,GPE
147,Catholic,NORP
148,anti-Catholic,NORP
149,Catholics,NORP
150,Protestants,NORP
151,Jews,NORP
152,American,NORP
153,America,GPE
154,first,ORDINAL
155,Article VI,LAW
156,Constitution,LAW
157,America,GPE
158,the South Pacific,LOC
159,Europe,LOC
160,America,GPE
161,Constitution,LAW
162,the Bill of Rights,LAW
163,the Virginia Statute of Religious Freedom,ORG
164,today,DATE
165,Alamo,FAC
166,Bowie,ORG
167,Crockett,PERSON
168,McCafferty,ORG
169,Bailey,PERSON
170,Carey,PERSON
171,Catholics,NORP
172,Alamo,FAC
173,tonight,TIME
174,14 years,DATE
175,Congress,ORG
176,Vatican,FAC
177,Catholic,NORP
178,the American Bishops,ORG
179,1948,DATE
180,American Catholic,ORG
181,Catholic,NORP
182,Protestants,NORP
183,Catholics,NORP
184,the Catholic Church,ORG
185,Ireland,GPE
186,France,GPE
187,Adenauer,PERSON
188,De Gaulle,PERSON
189,Catholic,NORP
190,the Democratic Party's,ORG
191,Catholic,NORP
192,Church,ORG
193,Catholic,NORP
194,Senate,ORG
195,40 million,CARDINAL
196,Americans,NORP
197,the day,DATE
198,Catholics,NORP
199,Catholics,NORP
200,14 years,DATE
201,Congress,ORG
202,the United States,GPE
203,Constitution,LAW
204,American,NORP
205,1,CARDINAL
206,fifty percent,PERCENT
207,1,CARDINAL
208,the United States,GPE
209,last year,DATE
210,1,CARDINAL
211,over nine billion dollars,MONEY
212,four million,CARDINAL
213,Americans,NORP
214,every month,DATE
215,five cents,MONEY
216,West Virginia,GPE
217,the United States,GPE
218,Americans,NORP
219,1,CARDINAL
220,the Soviet Union,GPE
221,1,CARDINAL
222,second,ORDINAL
223,1,CARDINAL
224,Jimmy Hoffa - in,PERSON
225,the United States,GPE
226,1,CARDINAL
227,the United States,GPE
228,the United States,GPE
229,the Tennessee Valley,LOC
230,the Grand Coulee,FAC
231,the Northwest United States,GPE
232,the Soviet Union,GPE
233,1975,DATE
234,1,CARDINAL
235,American,NORP
236,Negro,ORG
237,Puerto Ricans,NORP
238,Mexicans,NORP
239,about one-half,CARDINAL
240,one-third,CARDINAL
241,about a third,CARDINAL
242,about half,CARDINAL
243,American,NORP
244,twenty-five years,DATE
245,the United States,GPE
246,Georgia,GPE
247,Wisconsin,GPE
248,Minnesota,GPE
249,Seventeen million,CARDINAL
250,Americans,NORP
251,Social Security,ORG
252,about seventy-eight dollars,DATE
253,the United States,GPE
254,the United States,GPE
255,Franklin Roosevelt,PERSON
256,Latin America,LOC
257,the United States,GPE
258,American,NORP
259,Latin America,LOC
260,Africa,LOC
261,Asia,LOC
262,America,GPE
263,the United States,GPE
264,Khrushchev,ORG
265,Chinese,NORP
266,Communists,NORP
267,1933,DATE
268,Franklin Roosevelt,PERSON
269,Americans,NORP
270,Americans,NORP
271,America,GPE
272,the United States,GPE
273,Administration,ORG
274,Kennedy,PERSON
275,the Truman Administration,ORG
276,seven and a half years,DATE
277,seven and a half years,DATE
278,the Eisenhower Administration,ORG
279,two,CARDINAL
280,Kennedy,PERSON
281,tonight,TIME
282,America,GPE
283,these last seven and a half years,DATE
284,the previous seven and a half,DATE
285,the previous twenty years,DATE
286,these seven and a half years,DATE
287,Administration,ORG
288,Administration,ORG
289,eleven percent,PERCENT
290,seven years,DATE
291,nineteen per cent,MONEY
292,seven years,DATE
293,Administration,ORG
294,five,CARDINAL
295,the Eisenhower Administration,ORG
296,the Truman Administration,ORG
297,five,CARDINAL
298,the Truman Administration,ORG
299,the Eisenhower Administration,ORG
300,fifteen,CARDINAL
301,the Eisenhower years,DATE
302,two per cent,MONEY
303,the Truman years,DATE
304,first,ORDINAL
305,Kennedy,PERSON
306,the Truman Administration,ORG
307,Americans,NORP
308,Kennedy,PERSON
309,America,GPE
310,these past seven and a half years,DATE
311,Kennedy,PERSON
312,Democratic,NORP
313,thirteen and two-tenths billions dollars,CARDINAL
314,eighteen billion dollars,MONEY
315,Republican,NORP
316,four billion dollars,MONEY
317,four,CARDINAL
318,a hundred and eighty million,CARDINAL
319,Americans,NORP
320,Kennedy,PERSON
321,Kennedy,PERSON
322,Kennedy,PERSON
323,America,GPE
324,NBC News,ORG
325,Charles Warren,PERSON
326,Mutual News,ORG
327,1,CARDINAL
328,Stuart Novins,PERSON
329,CBS News,ORG
330,Bob Fleming,PERSON
331,ABC News,ORG
332,first,ORDINAL
333,Kennedy,PERSON
334,Fleming,PERSON
335,the United States,GPE
336,Novins,PERSON
337,Uncle Sam,PERSON
338,Nixon,PERSON
339,Vanocur,PERSON
340,KENNEDY,PERSON
341,the United States,GPE
342,Abraham Lincoln,PERSON
343,1860,DATE
344,the House of Representatives,ORG
345,Senate,ORG
346,fifty-eight,CARDINAL
347,Congress,ORG
348,fourteen years,DATE
349,Senate,ORG
350,eight hundred,CARDINAL
351,the United States,GPE
352,the Senate Foreign Relations Committee,ORG
353,the United States,GPE
354,the sixties,DATE
355,Kennedy,PERSON
356,January of this year,DATE
357,Kennedy,PERSON
358,January of this year,DATE
359,fifty percent,PERCENT
360,the last eight years,DATE
361,thirty four percent,PERCENT
362,American,NORP
363,House,ORG
364,Senate,ORG
365,House,ORG
366,House,ORG
367,Senate,ORG
368,House,ORG
369,Senate,ORG
370,House,ORG
371,Senate,ORG
372,House,ORG
373,Senate,ORG
374,Democratic,NORP
375,Republican,NORP
376,Republican,NORP
377,Congress,ORG
378,Kennedy,PERSON
379,Eisenhower,PERSON
380,Congress,ORG
381,Congress,ORG
382,Communist,NORP
383,the United States,GPE
384,today,DATE
385,the Truman Administration,ORG
386,the end of the month,DATE
387,Americans,NORP
388,the United States,GPE
389,Communists,NORP
390,Nixon,PERSON
391,the sixties,DATE
392,Franklin Roosevelt,PERSON
393,the thirties,DATE
394,Republicans,NORP
395,Democrats,NORP
396,Communists,NORP
397,ten years from now,DATE
398,the years,DATE
399,the United States,GPE
400,the years,DATE
401,the years,DATE
402,the United States,GPE
403,American,NORP
404,Republican,NORP
405,Richard M. Nixon,PERSON
406,Democratic,NORP
407,John F. Kennedy,PERSON
408,only one,CARDINAL
409,four,CARDINAL
410,tonight,TIME
411,two,CARDINAL
412,CBS,ORG
413,Edward P. Morgan,PERSON
414,ABC,ORG
415,Alvin Spivak,PERSON
416,United Press International,ORG
417,Harold R. Levy,PERSON
418,Newsday,DATE
419,first,ORDINAL
420,Niven,PERSON
421,Nixon,PERSON
422,1,CARDINAL
423,South,LOC
424,South,LOC
425,Southern,NORP
426,Northern,LOC
427,Western,NORP
428,millions,CARDINAL
429,thousands,CARDINAL
430,the United States of America,GPE
431,Johnson,PERSON
432,Supreme Court,ORG
433,Secondly,ORDINAL
434,the Committee on Government Contracts,ORG
435,two,CARDINAL
436,the District of Columbia,GPE
437,Title Three,LAW
438,Constitutional,LAW
439,About two percent,PERCENT
440,ten per cent,MONEY
441,Sixty to seventy percent,PERCENT
442,West,LOC
443,the United States,GPE
444,1,CARDINAL
445,First,ORDINAL
446,Title Three,PRODUCT
447,Constitutional,LAW
448,Secondly,ORDINAL
449,only six,CARDINAL
450,1957,DATE
451,1960,DATE
452,Administration,ORG
453,Congress,ORG
454,two,CARDINAL
455,Thirdly,ORDINAL
456,the United States,GPE
457,Communists,NORP
458,the Declaration of Independence and in the Constitution,WORK_OF_ART
459,the United States,GPE
460,Little Rock,GPE
461,the United States,GPE
462,Supreme Court,ORG
463,the Supreme Court,ORG
464,the Supreme Court,ORG
465,1954,DATE
466,Franklin Roosevelt,PERSON
467,the United States,GPE
468,the United States,GPE
469,1,CARDINAL
470,Congress,ORG
471,America,GPE
472,American,NORP
473,Congress,ORG
474,the United States,GPE
475,Communists,NORP
476,one,CARDINAL
477,Kennedy,PERSON
478,Scranton and Wilkes Barre,ORG
479,West Virginia - than,GPE
480,Kennedy,PERSON
481,Congress,ORG
482,Second,ORDINAL
483,second,ORDINAL
484,America,GPE
485,the Federal Reserve,ORG
486,the Truman Administration,ORG
487,the Truman Administration,ORG
488,the Eisenhower Administration,ORG
489,Administration,ORG
490,America,GPE
491,American,NORP
492,Kennedy,PERSON
493,today,DATE
494,Khrushchev - after,PERSON
495,Paris,GPE
496,the United Nations -,ORG
497,Kennedy,PERSON
498,fifty-two,CARDINAL
499,America,GPE
500,1,CARDINAL
501,Berlin,GPE
502,Formosa,GPE
503,today,DATE
504,Chinese,NORP
505,Communists,NORP
506,Formosa,GPE
507,the United States,GPE
