,ent,ent_label
0,NOW,ORG
1,FRIENDS AND COUNTRYMEN,ORG
2,first,ORDINAL
3,Shrapnel,ORG
4,America,GPE
5,America,GPE
6,America,GPE
7,centuries,DATE
8,European,NORP
9,Independence,ORG
10,first,ORDINAL
11,Constitution,LAW
12,the Executive Magistrate,ORG
13,first,ORDINAL
14,one,CARDINAL
15,thirty six years,DATE
16,Constitution,LAW
17,The year,DATE
18,first,ORDINAL
19,Union,GPE
20,Constitution,LAW
21,four millions,CARDINAL
22,twelve,CARDINAL
23,Mississippi,GPE
24,New States,GPE
25,a single year,DATE
26,Constitution,LAW
27,republican,NORP
28,republican,NORP
29,two,CARDINAL
30,Europe,LOC
31,the United States,GPE
32,first,ORDINAL
33,Constitution,LAW
34,five and twenty years,DATE
35,Europe,LOC
36,the French Revolution,EVENT
37,Great Britain,GPE
38,the General Government,ORG
39,States,GPE
40,one,CARDINAL
41,Ten years,DATE
42,one,CARDINAL
43,one,CARDINAL
44,State,ORG
45,Whatsoever,ORG
46,State,ORG
47,this General Government,ORG
48,State,ORG
49,State,ORG
50,annually,DATE
51,all quarters of the Union,DATE
52,the Federal Constitution,ORG
53,first,ORDINAL
54,second,ORDINAL
55,Legislature,ORG
56,Army,ORG
57,Indian,NORP
58,first,ORDINAL
59,eight years,DATE
60,sixty millions,CARDINAL
61,the Revolution,EVENT
62,Floridas,ORG
63,the Pacific Ocean,LOC
64,Europe,LOC
65,Navy,ORG
66,African,NORP
67,millions,CARDINAL
68,Union,ORG
69,Rome,GPE
70,thousands of years,DATE
71,Congress,ORG
72,nearly twenty years,DATE
73,first,ORDINAL
74,thousands,CARDINAL
75,Legislature,ORG
76,the General Government,ORG
77,State,ORG
78,Senate,ORG
79,the United States,GPE
80,Houses of Congress,ORG
81,the Governments of the Republics of Colombia,ORG
82,Mexico,GPE
83,Central America,LOC
84,the United States,GPE
85,Congress,ORG
86,American,NORP
87,Panama,GPE
88,Legislature,ORG
89,first,ORDINAL
90,Senate,ORG
91,secondly,ORDINAL
92,State,ORG
93,the South American Governments,ORG
94,Senate,ORG
95,the United States,GPE
96,Southern American,NORP
97,the United States,GPE
98,Spanish,NORP
99,the United States,GPE
100,European,NORP
101,European,NORP
102,the United States,GPE
103,Congress,ORG
104,European,NORP
105,more than two years,DATE
106,American,NORP
107,the United States,GPE
108,Governments,ORG
109,the United States,GPE
110,Republics,GPE
111,the United States,GPE
112,Republics,GPE
113,first,ORDINAL
114,Union,ORG
115,Senate,ORG
116,Richard C. Anderson,PERSON
117,Kentucky,GPE
118,John Sergeant,PERSON
119,Pennsylvania,GPE
120,American,NORP
121,Panama,GPE
122,William B. Rochester,PERSON
123,New York,GPE
124,Senate,ORG
125,the House of Representatives,ORG
126,first,ORDINAL
127,the Omnipotent Disposer of All Good,ORG
128,Christian,NORP
129,Europe,LOC
130,10 years,DATE
131,one,CARDINAL
132,Great Britain,GPE
133,Parliament,ORG
134,two,CARDINAL
135,the United States,GPE
136,Congress,ORG
137,Great Britain,GPE
138,Sweden,GPE
139,Netherlands,GPE
140,Hanseatic,NORP
141,Prussia,GPE
142,Sardinia,GPE
143,Russia,GPE
144,France,GPE
145,Congress,ORG
146,1824 - 01 08,DATE
147,one,CARDINAL
148,first,ORDINAL
149,Congress,ORG
150,1824 - 01 08,DATE
151,more than one,CARDINAL
152,European,NORP
153,the United States,GPE
154,France,GPE
155,1822 - 06 - 24,DATE
156,first,ORDINAL
157,two years,DATE
158,1822 - 10 - 01,DATE
159,six months,DATE
160,the United States,GPE
161,France,GPE
162,France,GPE
163,Sovereign,ORG
164,the Court of France,ORG
165,Netherlands,GPE
166,Naples,GPE
167,Denmark,GPE
168,Spain,GPE
169,1819,CARDINAL
170,Sweden,GPE
171,Denmark,GPE
172,Naples,GPE
173,the Republic of Colombia,GPE
174,Congress,ORG
175,South American,NORP
176,the United States,GPE
177,two,CARDINAL
178,American,NORP
179,Europe,LOC
180,Southern American,NORP
181,European,NORP
182,the Isthmus of Panama,FAC
183,Colombia,GPE
184,Mexico,GPE
185,Central America,LOC
186,the United States,GPE
187,the United States,GPE
188,American,NORP
189,seventh,ORDINAL
190,the United States,GPE
191,May 22,DATE
192,year,DATE
193,the United States,GPE
194,British,NORP
195,Congress,ORG
196,Constitution,LAW
197,the United States,GPE
198,the United States,GPE
199,Congress,ORG
200,the United States,GPE
