,ent,ent_label
0,a century ago,DATE
1,Gettysburg,GPE
2,this Memorial Day of 1963,EVENT
3,One hundred years ago,DATE
4,One hundred years later,DATE
5,Negro,ORG
6,Negro,ORG
7,today,DATE
8,Negro,ORG
9,Americans,NORP
10,Negro,ORG
11,Gettysburg,GPE
12,one hundred years ago,DATE
13,Negro,ORG
14,Americans,NORP
15,Law,PERSON
16,Negro,ORG
17,Negro,ORG
18,Negro,ORG
19,this hour,TIME
20,North and South,GPE
21,Negro,ORG
22,Negro,ORG
23,Americans,NORP
24,Speaker,PERSON
25,House,ORG
26,Senate,ORG
27,Americans,NORP
28,today,DATE
29,Today,DATE
30,John Fitzgerald Kennedy,PERSON
31,America,GPE
32,Atlantic,LOC
33,Pacific,LOC
34,a Peace Corps,ORG
35,Americans,NORP
36,American,NORP
37,John Kennedy,PERSON
38,South Viet-Nam,GPE
39,West Berlin,GPE
40,one,CARDINAL
41,one,CARDINAL
42,one,CARDINAL
43,one,CARDINAL
44,Americans,NORP
45,the United States,GPE
46,American,NORP
47,32 years,DATE
48,Capitol Hill,ORG
49,the Congress of the United States,ORG
50,today,DATE
51,Americans,NORP
52,America,GPE
53,the United States,GPE
54,the United Nations,ORG
55,second,ORDINAL
56,Asia,LOC
57,Africa,LOC
58,Alliance for Progress,ORG
59,the 20th day of January,DATE
60,1961,DATE
61,John F. Kennedy,PERSON
62,the first thousand days,DATE
63,Today,DATE
64,Americans,NORP
65,First,ORDINAL
66,Kennedy,PERSON
67,one hundred years,DATE
68,1957,DATE
69,1960,DATE
70,second,ORDINAL
71,Kennedy,PERSON
72,all this long year,DATE
73,America,GPE
74,Congress,ORG
75,Houses of the Congress,ORG
76,Congress,ORG
77,John Kennedy,PERSON
78,America,GPE
79,Americans,NORP
80,Nation,ORG
81,one,CARDINAL
82,our hour,TIME
83,John Fitzgerald Kennedy,PERSON
84,this Thanksgiving eve,DATE
85,America,GPE
86,America,GPE
87,Americans,NORP
88,yesterday,DATE
89,Congress,ORG
90,first,ORDINAL
91,the United States,GPE
92,Tonight,TIME
93,Thanksgiving,DATE
94,7 days,DATE
95,America,GPE
96,Yesterday,DATE
97,tomorrow,DATE
98,this midnight,TIME
99,American,NORP
100,this Thanksgiving Day,DATE
101,tonight,TIME
102,John F. Kennedy,PERSON
103,Thanksgiving,DATE
104,America,GPE
105,Saturday,DATE
106,only hours,TIME
107,first,ORDINAL
108,two,CARDINAL
109,Dwight D. Eisenhower,PERSON
110,Harry S. Truman,PERSON
111,last Friday,DATE
112,Americans,NORP
113,the Supreme Court,ORG
114,American,NORP
115,Americans,NORP
116,Washington,GPE
117,32 years,DATE
118,32 years,DATE
119,yesterday,DATE
120,five,CARDINAL
121,Herbert Hoover,PERSON
122,Franklin Roosevelt,PERSON
123,Harry Truman,PERSON
124,Dwight Eisenhower,PERSON
125,John Kennedy,PERSON
126,these days,DATE
127,Americans,NORP
128,the day,DATE
129,Potomac,LOC
130,Caroline,PERSON
131,John,PERSON
132,today,DATE
133,1,CARDINAL
134,the Atlantic Missile Range,LOC
135,the NASA Launch Operation Center,ORG
136,Florida,GPE
137,the John F. Kennedy Space Center,PERSON
138,today,DATE
139,Florida,GPE
140,Farris Bryant,PERSON
141,Cape Canaveral,GPE
142,Cape Kennedy,PERSON
143,this Thanksgiving Day,DATE
144,John F. Kennedy,PERSON
145,today,DATE
146,American,NORP
147,Americans,NORP
148,each day,DATE
149,American,NORP
150,Americans,NORP
151,yesterday,DATE
152,Congress,ORG
153,first,ORDINAL
154,the United States,GPE
155,Tonight,TIME
156,Thanksgiving,DATE
157,seven days,DATE
158,America,GPE
159,Yesterday,DATE
160,tomorrow,DATE
161,this midnight,TIME
162,American,NORP
163,this Thanksgiving Day,DATE
164,tonight,TIME
165,John F. Kennedy,PERSON
166,Thanksgiving,DATE
167,America,GPE
168,Saturday,DATE
169,only hours,TIME
170,first,ORDINAL
171,two,CARDINAL
172,Dwight D. Eisenhower,PERSON
173,Harry S. Truman,PERSON
174,last Friday,DATE
175,Americans,NORP
176,the Supreme Court,ORG
177,American,NORP
178,Americans,NORP
179,Washington,GPE
180,32 years,DATE
181,32 years,DATE
182,yesterday,DATE
183,five,CARDINAL
184,Herbert Hoover,PERSON
185,Franklin Roosevelt,PERSON
186,Harry Truman,PERSON
187,Dwight Eisenhower,PERSON
188,John Kennedy,PERSON
189,these days,DATE
190,Americans,NORP
191,the day,DATE
192,Potomac,LOC
193,Caroline,PERSON
194,John,PERSON
195,today,DATE
196,1,CARDINAL
197,the Atlantic Missile Range,LOC
198,the NASA Launch Operation Center,ORG
199,Florida,GPE
200,the John F. Kennedy Space Center,PERSON
201,today,DATE
202,Florida,GPE
203,Farris Bryant,PERSON
204,Cape Canaveral,GPE
205,Cape Kennedy,PERSON
206,this Thanksgiving Day,DATE
207,John F. Kennedy,PERSON
208,today,DATE
209,American,NORP
210,Americans,NORP
211,each day,DATE
212,American,NORP
213,night,TIME
214,the United Nations,ORG
215,John F. Kennedy,PERSON
216,today,DATE
217,Nation,ORG
218,the United Nations,ORG
219,today,DATE
220,1958,DATE
221,Senate,ORG
222,first,ORDINAL
223,the United States,GPE
224,the United Nations,ORG
225,Organization,ORG
226,the United Nations,ORG
227,Congo,GPE
228,the Middle East,LOC
229,The Decade of Development,EVENT
230,Organization,ORG
231,27 years ago,DATE
232,Franklin Delano Roosevelt,PERSON
233,Congress,ORG
234,one-third,CARDINAL
235,the Tennessee Valley,LOC
236,the Lower Colorado,LOC
237,cooperatives,ORG
238,America,GPE
239,30 years ago,DATE
240,one-third,CARDINAL
241,Kennedy,PERSON
242,Africa,LOC
243,Asia,LOC
244,Latin America,LOC
245,Organization,ORG
246,these United Nations,ORG
247,the United States,GPE
248,recent years,DATE
249,Organization,ORG
250,All United Nations,ORG
251,today,DATE
252,a thousand miles,QUANTITY
253,one,CARDINAL
254,The United States of America,GPE
255,the cold war end,EVENT
256,The United States,GPE
257,The United States,GPE
258,The United States,GPE
259,Organization,ORG
260,The United States,GPE
261,Kennedy,PERSON
262,his 3 years,DATE
263,Americans,NORP
