,ent,ent_label
0,first,ORDINAL
1,first,ORDINAL
2,one,CARDINAL
3,Providence,GPE
4,Constitution,LAW
5,States,GPE
6,States,GPE
7,Half a century,DATE
8,the lapse of years,DATE
9,America,GPE
10,Fifty years ago,DATE
11,Revolution,EVENT
12,two,CARDINAL
13,first,ORDINAL
14,nearly forty years,DATE
15,the American States,GPE
16,States,GPE
17,State,ORG
18,the Federal Government,ORG
19,State,ORG
20,one,CARDINAL
21,Congress,ORG
22,the District of Columbia,GPE
23,States,GPE
24,States,GPE
25,the United States,GPE
26,one,CARDINAL
27,Constitution,LAW
28,thousand,CARDINAL
29,Constitution,LAW
30,States,GPE
31,the Federal Government,ORG
32,daily,DATE
33,one,CARDINAL
34,days,DATE
35,Fellow Citizens,PERSON
36,Senate,ORG
37,House of Representatives,ORG
38,"the 23d of June, 1836",DATE
39,State,ORG
40,District,GPE
41,Treasury,ORG
42,May,DATE
43,Congress,ORG
44,Treasury,ORG
45,five millions,CARDINAL
46,Congress,ORG
47,Congress,ORG
48,Treasury,ORG
49,States,GPE
50,the 1st of September,DATE
51,the 1st of October,DATE
52,October,DATE
53,Congress,ORG
54,the United States,GPE
55,millions,CARDINAL
56,Congress,ORG
57,as early a day,DATE
58,the United States,GPE
59,the last three or four years,DATE
60,first,ORDINAL
61,the year 1834,DATE
62,the United States,GPE
63,"about $ 200,000,000",MONEY
64,about ninety-five millions,CARDINAL
65,three hundred and twenty-four millions,CARDINAL
66,"the 1st of January, 1836",DATE
67,more than two hundred and fifty-one millions,CARDINAL
68,more than one hundred and forty millions,CARDINAL
69,more than four hundred and fifty-seven millions,CARDINAL
70,the many millions,CARDINAL
71,State,ORG
72,March,DATE
73,"more than $ 30,000,000",MONEY
74,"39,500,000",MONEY
75,the years 1835 and 1836,DATE
76,the preceding year,DATE
77,only four and a half millions,CARDINAL
78,1834,DATE
79,"about $ 250,000",MONEY
80,the first two quarters,DATE
81,the present year,DATE
82,"more than $ 2,000,000",MONEY
83,December,DATE
84,"June, 1836",DATE
85,the United States,GPE
86,Great Britain,GPE
87,Great Britain,GPE
88,"the years 1834, 1835",DATE
89,1836,DATE
90,the United States,GPE
91,Great Britain,GPE
92,Two,CARDINAL
93,two,CARDINAL
94,the Federal and State Governments,ORG
95,Great Britain,GPE
96,the United States,GPE
97,Treasury,ORG
98,Congress,ORG
99,State,ORG
100,the last few months,DATE
