,ent,ent_label
0,tonight,TIME
1,the United States,GPE
2,Administration,ORG
3,Washington,GPE
4,D.C.,GPE
5,the United States,GPE
6,tonight,TIME
7,Nixon,PERSON
8,"18,000",MONEY
9,1,CARDINAL
10,"18,000",MONEY
11,Nixon,PERSON
12,one cent,MONEY
13,"18,000",MONEY
14,Every penny,MONEY
15,the United States,GPE
16,Meet the Press,WORK_OF_ART
17,last Sunday,DATE
18,Peter Edson,PERSON
19,Dick,PERSON
20,Dana Smith,PERSON
21,third,ORDINAL
22,Senate,ORG
23,the United States,GPE
24,Administration,ORG
25,Senate,ORG
26,First,ORDINAL
27,"15,000",MONEY
28,one,CARDINAL
29,a year,DATE
30,Washington,GPE
31,D.C.,GPE
32,California,GPE
33,thirteen,CARDINAL
34,the Veterans Administration,ORG
35,GI,ORG
36,Senate,ORG
37,Congress,ORG
38,first,ORDINAL
39,Democratic,NORP
40,the ten years,DATE
41,the past ten years,DATE
42,1,CARDINAL
43,Washington,GPE
44,many hours,TIME
45,night and many hours,TIME
46,Saturdays,DATE
47,Sundays,DATE
48,tonight,TIME
49,the six years,DATE
50,House,ORG
51,Senate,ORG
52,the United States,GPE
53,Pat Nixon,PERSON
54,California,GPE
55,80,CARDINAL
56,American,NORP
57,Administration,ORG
58,California,GPE
59,one,CARDINAL
60,this evening,TIME
61,just about an hour ago,TIME
62,Sherman Adams,PERSON
63,Dwight Eisenhower,PERSON
64,Price,ORG
65,Waterhouse & Co.,ORG
66,"Gibson, Dunn & Crutcher",ORG
67,Los Angeles,GPE
68,Los Angeles,GPE
69,tonight,TIME
70,General Eisenhower,ORG
71,"Gibson, Dunn & Crutcher",ORG
72,Nixon,PERSON
73,Dana Smith,PERSON
74,Nixon,PERSON
75,Dana Smith,PERSON
76,third,ORDINAL
77,Nixon,PERSON
78,"Gibson, Dunn & Crutcher",ORG
79,Alma H. Conway,PERSON
80,Nixon,PERSON
81,American,NORP
82,1,CARDINAL
83,American,NORP
84,1913,DATE
85,East Whittier,GPE
86,1940,DATE
87,Pat,PERSON
88,1942,DATE
89,the South Pacific,LOC
90,1,CARDINAL
91,the United States,GPE
92,1946,DATE
93,Congress,ORG
94,Pat,PERSON
95,Pat,PERSON
96,"10,000",MONEY
97,Every cent,MONEY
98,First,ORDINAL
99,Second,ORDINAL
100,this past six years,DATE
101,1600,MONEY
102,approximately $ 1500,MONEY
103,Pat,PERSON
104,"3,000",MONEY
105,four years,DATE
106,Park Fairfax,GPE
107,Alexandria,GPE
108,Va.,GPE
109,80,MONEY
110,today,DATE
111,First,ORDINAL
112,Washington,GPE
113,"41,000",MONEY
114,"20,000",MONEY
115,Whittier,GPE
116,California,GPE
117,"13,000",MONEY
118,3000,MONEY
119,"just $ 4,000",MONEY
120,G. I.,PERSON
121,two years,DATE
122,Pat,PERSON
123,Patricia,PERSON
124,1950,DATE
125,"20,000",MONEY
126,Washington,GPE
127,"10,000",MONEY
128,Whittier,GPE
129,"4,500",MONEY
130,the Riggs Bank,ORG
131,Washington,GPE
132,D.C.,GPE
133,4 1/2,CARDINAL
134,"3,500",MONEY
135,the years,DATE
136,4,CARDINAL
137,500,MONEY
138,Pat,PERSON
139,Pat,PERSON
140,Republican,NORP
141,One,CARDINAL
142,Texas,GPE
143,Pat,PERSON
144,two,CARDINAL
145,Union Station,ORG
146,Baltimore,GPE
147,Texas,GPE
148,6-year old,DATE
149,Mitchell,PERSON
150,the Democratic National Committee,ORG
151,Senate,ORG
152,Senate,ORG
153,Mitchell,PERSON
154,the United States,GPE
155,Senate,ORG
156,Congress,ORG
157,the Democratic Party,ORG
158,the Republican Party,ORG
159,Stevenson,PERSON
160,Abraham Lincoln,PERSON
161,1,CARDINAL
162,First,ORDINAL
163,Stevenson,PERSON
164,One,CARDINAL
165,Stevenson,PERSON
166,American,NORP
