,ent,ent_label
0,the next few weeks,DATE
1,Democrat,NORP
2,third,ORDINAL
3,Today,DATE
4,37 cents,MONEY
5,17 million dollars,MONEY
6,28,CARDINAL
7,the last 34 years,DATE
8,three,CARDINAL
9,the last twelve months,DATE
10,half,CARDINAL
11,15 billion dollars,MONEY
12,27.3 billion dollars,MONEY
13,1939,DATE
14,45 cents,MONEY
15,South Vietnam,GPE
16,one,CARDINAL
17,American,NORP
18,two,CARDINAL
19,Cuban,NORP
20,Castro,PERSON
21,one,CARDINAL
22,Cuban,NORP
23,American,NORP
24,the “Great Society,EVENT
25,a few days ago,DATE
26,Republican,NORP
27,the 20th century,DATE
28,Fullbright,PERSON
29,Stanford University,ORG
30,Constitution,LAW
31,Clark,PERSON
32,Pennsylvania,GPE
33,America,GPE
34,the last 30 years,DATE
35,1955,DATE
36,One-fourth,CARDINAL
37,America,GPE
38,85 percent,PERCENT
39,Three-fourths,CARDINAL
40,21 percent,PERCENT
41,one-fourth,CARDINAL
42,the last three years,DATE
43,43 dollars,MONEY
44,Humphrey,PERSON
45,last week,DATE
46,Barry Goldwater,PERSON
47,5 million,CARDINAL
48,Democratic,NORP
49,Congress,ORG
50,Agriculture,ORG
51,2 million,CARDINAL
52,the Department of Agriculture,ORG
53,30,CARDINAL
54,the United States,GPE
55,66,CARDINAL
56,Billie Sol,PERSON
57,Cleveland,GPE
58,Ohio,GPE
59,a million,CARDINAL
60,only three years ago,DATE
61,thousands,CARDINAL
62,hundreds,CARDINAL
63,FHA,ORG
64,Federal Housing Authority,ORG
65,the Veterans Administration,ORG
66,"120,000",CARDINAL
67,three decades,DATE
68,the Area Redevelopment Agency,ORG
69,Rice County,GPE
70,Kansas,GPE
71,Rice County,GPE
72,Kansas,GPE
73,two hundred,CARDINAL
74,"14,000",CARDINAL
75,almost 30 years,DATE
76,each year,DATE
77,Each year,DATE
78,four years ago,DATE
79,17 million,CARDINAL
80,each night,TIME
81,9.3 million,CARDINAL
82,"less than 3,000 dollars",MONEY
83,10,CARDINAL
84,Depression,EVENT
85,45 billion dollars,MONEY
86,45 billion dollars,MONEY
87,9 million,CARDINAL
88,"4,600 dollars",MONEY
89,only about 600 dollars,MONEY
90,a Bobby Baker,PERSON
91,1 billion dollars,MONEY
92,45 billion,CARDINAL
93,one,CARDINAL
94,one,CARDINAL
95,CCC,ORG
96,Civilian Conservation Corps ],ORG
97,each year,DATE
98,"4,700 dollars",MONEY
99,Harvard,ORG
100,"2,700",CARDINAL
101,1,CARDINAL
102,Harvard,ORG
103,Los Angeles,GPE
104,six,CARDINAL
105,seventh,ORDINAL
106,250 dollars,MONEY
107,80 dollar,MONEY
108,330 dollars,MONEY
109,the Aid to Dependent Children Program,ORG
110,two,CARDINAL
111,Social Security,ORG
112,a hundred million,CARDINAL
113,the Supreme Court,ORG
114,Social Security,ORG
115,Robert Byers,PERSON
116,Social Security,ORG
117,298 billion dollars,MONEY
118,21 years of age,DATE
119,Social Security,ORG
120,220 dollars,MONEY
121,age 65,DATE
122,127,CARDINAL
123,Social Security,ORG
124,Barry Goldwater,PERSON
125,the non earning years,DATE
126,last week,DATE
127,France,GPE
128,Medicare,ORG
129,Barry Goldwater,PERSON
130,Social Security,ORG
131,45 cents,MONEY
132,American,NORP
133,two-thirds,CARDINAL
134,the General Assembly,ORG
135,less than 10 percent,PERCENT
136,about the millions,CARDINAL
137,Soviet,NORP
138,19,CARDINAL
139,107,CARDINAL
140,146 billion dollars,MONEY
141,2 million dollar,MONEY
142,Haile Selassie,PERSON
143,Kenya,GPE
144,the last six years,DATE
145,52,CARDINAL
146,7 billion dollars,MONEY
147,52,CARDINAL
148,two and a half million,DATE
149,one,CARDINAL
150,six,CARDINAL
151,thousands,CARDINAL
152,today,DATE
153,Chico County,GPE
154,Arkansas,GPE
155,James Wier,PERSON
156,"17,000 dollar",MONEY
157,1881,DATE
158,960 acre,QUANTITY
159,Last February 19th,DATE
160,the University of Minnesota,ORG
161,Norman Thomas,PERSON
162,six,CARDINAL
163,the Socialist Party,ORG
164,Barry Goldwater,PERSON
165,the United States,GPE
166,Democrat,NORP
167,Norman Thomas,PERSON
168,1936,DATE
169,Democrat,PERSON
170,Al Smith,PERSON
171,American,NORP
172,American,NORP
173,Party,ORG
174,the Party of Jefferson,ORG
175,Jackson,GPE
176,Cleveland,GPE
177,Marx,PERSON
178,Lenin,PERSON
179,Stalin,PERSON
180,Party,ORG
181,this day,DATE
182,Party,ORG
183,Party,ORG
184,Party,ORG
185,Democratic,NORP
186,two,CARDINAL
187,two,CARDINAL
188,50 percent,PERCENT
189,monthly,DATE
190,Mexico,GPE
191,the Rio Grande,LOC
192,the week before Christmas,DATE
193,the Korean War,EVENT
194,Los Angeles,GPE
195,Arizona,GPE
196,Christmas,DATE
197,Arizona,GPE
198,Barry Goldwater,PERSON
199,Every day in those weeks before Christmas,DATE
200,all day long,DATE
201,Arizona,GPE
202,second,ORDINAL
203,19-year-old,DATE
204,Alexander Hamilton,PERSON
205,only one,CARDINAL
206,the next second,DATE
207,Nikita Khrushchev,PERSON
208,the Cold War,EVENT
209,one,CARDINAL
210,Israel,GPE
211,Concord Bridge,FAC
212,Nazis,NORP
213,Barry Goldwater's,PERSON
214,Winston Churchill,PERSON
215,a thousand years,DATE
216,Barry Goldwater,PERSON
217,Ford,PERSON
218,Republicans,NORP
219,millions,CARDINAL
220,Democrats,NORP
221,tonight,TIME
222,these last few nights,DATE
223,the Republican party,ORG
224,American,NORP
225,the last 40 years,DATE
226,the other day,DATE
227,Los Angeles,GPE
228,the day,DATE
229,Pacific,LOC
230,the Santa Ynez Mountains,ORG
231,a hundred years from now,DATE
232,a hundred years,DATE
233,tonight,TIME
234,Democratic,NORP
235,a hundred years,DATE
236,1976,DATE
237,a hundred years later,DATE
238,tonight,TIME
239,a few years ago,DATE
240,evening,TIME
241,tonight,TIME
242,Republican,NORP
243,the United States,GPE
244,1,CARDINAL
245,Illinois,GPE
246,Iowa,GPE
247,the years,DATE
248,California,GPE
249,America,GPE
250,Democrat,NORP
251,Republican,NORP
252,America,GPE
253,four,CARDINAL
254,naïve,GPE
255,American,NORP
256,American,NORP
257,today,DATE
258,the United States,GPE
259,the America of,LOC
260,American,NORP
261,the United States,GPE
262,the next year,DATE
263,Tonight,TIME
264,today,DATE
265,American,NORP
266,American,NORP
267,the thirty four years,DATE
268,the end of,DATE
269,World War II,EVENT
270,448 billion dollars,MONEY
271,448 billion dollars,MONEY
272,10th,ORDINAL
273,the Bill of Rights,LAW
274,Constitution,LAW
275,10th,ORDINAL
276,Kemp,PERSON
277,one,CARDINAL
278,those days,DATE
279,tonight,TIME
280,Today,DATE
281,Last summer,DATE
282,hours,TIME
283,This winter,DATE
284,one,CARDINAL
285,almost three years,DATE
286,First,ORDINAL
287,OPEC,ORG
288,OPEC,ORG
289,years,DATE
290,the next two or three decades,DATE
291,first,ORDINAL
292,recent weeks,DATE
293,the decade,DATE
294,1980,DATE
295,the United States,GPE
296,the Soviet Union,GPE
297,the Soviet Union,GPE
