,ent,ent_label
0,first,ORDINAL
1,this day,DATE
2,Constitution,LAW
3,Constitution,LAW
4,one,CARDINAL
5,one,CARDINAL
6,Republicans,NORP
7,Federalists,NORP
8,republican,NORP
9,republican,NORP
10,Republican,NORP
11,one quarter,DATE
12,Providence,GPE
13,one,CARDINAL
14,Administration,ORG
15,State,ORG
16,the General Government,ORG
17,first,ORDINAL
18,first,ORDINAL
19,first,ORDINAL
20,Infinite Power,ORG
21,Samuel Bishop,PERSON
22,New Haven,GPE
23,David Austin,PERSON
24,Samuel Bishop,PERSON
25,State,ORG
26,State,ORG
27,New Haven,GPE
28,New Haven,GPE
29,two,CARDINAL
30,annual,DATE
31,May last,DATE
32,Connecticut,GPE
33,New Haven,GPE
34,77,DATE
35,Franklin,ORG
36,Goodrich,PERSON
37,the U S,GPE
38,Goodrich,PERSON
39,Austin,PERSON
40,Goodrich,PERSON
41,half,CARDINAL
42,Constitution,LAW
43,so many years,DATE
44,Indian,NORP
45,one,CARDINAL
46,Tripoli,GPE
47,the Barbary States,GPE
48,a given day,DATE
49,one,CARDINAL
50,Mediterranean,LOC
51,Two,CARDINAL
52,Gibraltar,GPE
53,Mediterranean,LOC
54,Atlantic,LOC
55,One,CARDINAL
56,Tripolitan,NORP
57,Lieutenant Sterret,PERSON
58,Congress,ORG
59,Barbary,GPE
60,the last ten years,DATE
61,little more than twenty-two years,CARDINAL
62,some future day,DATE
63,War,EVENT
64,Time,ORG
65,first,ORDINAL
66,the last year,DATE
67,first,ORDINAL
68,Union,ORG
69,Mediterranean,LOC
70,seventy-four,CARDINAL
71,five,CARDINAL
72,seven,CARDINAL
73,Two,CARDINAL
74,first,ORDINAL
75,four,CARDINAL
76,the United States,GPE
77,Congress,ORG
78,States,GPE
79,Congress,ORG
80,first,ORDINAL
81,States,GPE
82,fourteen years,DATE
83,first,ORDINAL
84,States,GPE
85,one,CARDINAL
86,State,ORG
87,the Danbury Baptist Association,ORG
88,American,NORP
89,State,ORG
90,Irvine,PERSON
91,Divine,ORG
92,the United States,GPE
93,the last winter,DATE
94,State,ORG
95,the United States,GPE
96,New York,GPE
97,the State of New York,GPE
98,one,CARDINAL
99,year to year,DATE
100,the United States,GPE
101,Senate,ORG
102,House of Representatives,ORG
103,the United States,GPE
104,first,ORDINAL
105,Another year,DATE
106,Indian,NORP
107,the year,DATE
108,Providence,GPE
109,Europe,LOC
110,Europe,LOC
111,the British Parliament,ORG
112,1794,DATE
113,two,CARDINAL
114,the Spanish Province,GPE
115,Louisiana,GPE
116,France,GPE
117,Tripoli,GPE
118,the Barbary Powers,ORG
119,Tripoli,GPE
120,American,NORP
121,one,CARDINAL
122,American,NORP
123,two,CARDINAL
124,Bashaw,PERSON
125,Georgia,GPE
126,Creeks,GPE
127,Oconee,GPE
128,Congress,ORG
129,Indian,NORP
130,Choctaw Nation,ORG
131,one,CARDINAL
132,Revolution,EVENT
133,Congress,ORG
134,the United States,GPE
135,the Indian Territory,ORG
136,24,CARDINAL
137,four miles square,QUANTITY
138,the Department of Finance,ORG
139,the last twelve months,DATE
140,Treasury,ORG
141,one year,DATE
142,"8,000,000",MONEY
143,one million,CARDINAL
144,nearly five millions and a half,CARDINAL
145,Treasury,ORG
146,"4,500,000",MONEY
147,Congress,ORG
148,Europe,LOC
149,annually,DATE
150,the last year,DATE
151,Treasury,ORG
152,War,ORG
153,the Naval Department,ORG
154,Navy,ORG
155,another year,DATE
156,Mediterranean,LOC
157,Tripoline,PRODUCT
158,annually,DATE
159,first,ORDINAL
160,one,CARDINAL
161,annual,DATE
162,Constitution,LAW
163,Senate,ORG
164,the House of Representatives,ORG
165,Indian,NORP
166,Legislature,ORG
167,Indian,NORP
168,the United States,GPE
169,two,CARDINAL
170,First,ORDINAL
171,Secondly,ORDINAL
172,Congress,ORG
173,Indians,NORP
174,Indian,NORP
175,Indians,NORP
176,one quarter,DATE
177,Legislature,ORG
178,Mississippi,GPE
179,Illinois,GPE
180,Ohio,GPE
181,Ohio,GPE
182,Chickasaws,ORG
183,Mississippi,GPE
184,Mississippi,GPE
185,Legislature,ORG
186,two,CARDINAL
187,Indian,NORP
188,Congress,ORG
189,Missouri,GPE
190,Indians,NORP
191,Mississippi,GPE
192,a long season,DATE
193,Missouri,GPE
194,the Western Ocean,LOC
195,Atlantic,LOC
196,Lakes,ORG
197,Hudson,LOC
198,Ohio,GPE
199,Susquehanna,GPE
200,Potomac,PERSON
201,James,PERSON
202,Tennessee,GPE
203,Savannah,GPE
204,ten or twelve,CARDINAL
205,the Western Ocean,LOC
206,two,CARDINAL
207,Indians,NORP
208,Congress,ORG
209,2,MONEY
210,500,CARDINAL
211,the United States,GPE
212,Executive,ORG
213,Lewis,PERSON
214,1st,ORDINAL
215,the U. S.,GPE
216,the U. S.,GPE
217,"Jan. 18, 1803",DATE
218,Indians,NORP
219,10,CARDINAL
220,12,CARDINAL
221,War,EVENT
222,1881,DATE
223,United,ORG
224,France,GPE
225,Spain & Great Britain,ORG
226,Louisiana,GPE
227,Spain,GPE
228,France,GPE
229,France,GPE
230,England,GPE
231,Missouri,GPE
232,the Pacific Ocean,LOC
233,Columbia,ORG
234,Oregan,GPE
235,Colorado,GPE
236,Missouri,GPE
237,&,ORG
238,Missouri,GPE
239,Pacific,LOC
240,Missouri,GPE
241,1881,DATE
242,1881,DATE
243,1881,DATE
244,Altho,PERSON
245,Missouri,GPE
246,Southern,NORP
247,North,LOC
248,Rio Bravo,ORG
249,Mexico,GPE
250,North,LOC
251,Rio,ORG
252,California,GPE
253,Missouri,GPE
254,Southwardly,PERSON
255,Missouri &,ORG
256,Missouri,GPE
257,Northern,LOC
258,Missouri,GPE
259,English,LANGUAGE
260,Northern,LOC
261,Canadian,NORP
262,Missisipi,PERSON
263,Missouri,GPE
264,1881,DATE
265,1881,DATE
266,winter,DATE
267,Missouri,GPE
268,Spanish,NORP
269,St. Louis,GPE
270,Cahokia,ORG
271,Ste,GPE
272,Kaskaskia,GPE
273,Indian,NORP
274,Cahokia,ORG
275,Kaskaskia,ORG
276,Pacific,LOC
277,Missouri,GPE
278,the Colorado & Oregan,ORG
279,Columbia,ORG
280,the Missouri &,ORG
281,1881,DATE
282,two,CARDINAL
283,Horn,LOC
284,1881,DATE
285,1881,DATE
286,Consuls,GPE
287,Thomas Hewes,PERSON
288,John Elmslie,PERSON
289,Cape,LOC
290,two,CARDINAL
291,1881,DATE
292,Congress: &,ORG
293,Washington,GPE
294,this 20th day of June 1803,DATE
295,Jefferson Pr,PERSON
296,1881,DATE
297,Indian,NORP
298,Congress,ORG
299,Kaskaskia Indians,NORP
300,the United States,GPE
301,annual,DATE
302,Mississippi,LOC
303,Illinois,GPE
304,Ohio,GPE
305,Congress,ORG
306,Indian,NORP
307,Congress,ORG
308,Mediterranean,LOC
309,Tripoline,PRODUCT
310,that quarter,DATE
311,the United States,GPE
312,Paris,GPE
313,British,NORP
314,two,CARDINAL
315,the year ending 30th September,DATE
