,ent,ent_label
0,the United States,GPE
1,UnitedStates,ORG
2,Constitution,LAW
3,Congress,ORG
4,the next four years,DATE
5,one,CARDINAL
6,Treasury,ORG
7,twenty-five years ago,DATE
8,twenty-five years,DATE
9,Providencehad,ORG
10,the General Government,ORG
11,five years,DATE
12,their day,DATE
13,State,ORG
14,Constitution,LAW
15,one,CARDINAL
16,Senate,ORG
17,House of Representatives,ORG
18,Congress,ORG
19,as early a period,DATE
20,States,GPE
21,the United States,GPE
22,republican,NORP
23,State,ORG
24,Congress,ORG
25,Virginia,GPE
26,Richmond,GPE
27,"Tuesday, December 3, 1867",DATE
28,State,ORG
29,"the 17th of April, 1868",DATE
30,Congress,ORG
31,State,ORG
32,the months of May and June next,DATE
33,State,ORG
34,Congress,ORG
35,the first Monday of December,DATE
36,the State of Virginia,GPE
37,State,ORG
38,the National Government,ORG
39,one,CARDINAL
40,Congress,ORG
41,Mississippi,GPE
42,State,ORG
43,State,ORG
44,the United States of America A Proclamation,GPE
45,Congress,ORG
46,"April 10, 1869",DATE
47,"the 6th day of July, 1869",DATE
48,Richmond,GPE
49,Va.,GPE
50,Tuesday,DATE
51,"the 3d day of December, 1867",DATE
52,State,ORG
53,"July 6, 1869",DATE
54,fourth,ORDINAL
55,section 1 of article 3,LAW
56,Congress,ORG
57,the United States,GPE
58,State,ORG
59,Congress,ORG
60,the United States,GPE
61,State,ORG
62,State,ORG
63,second,ORDINAL
64,State,ORG
65,three fifths,CARDINAL
66,seventh,ORDINAL
67,article 3 of the,LAW
68,State,ORG
69,State,ORG
70,the United States,GPE
71,the United States,GPE
72,the United States,GPE
73,the United States,GPE
74,State,ORG
75,the United States,GPE
76,Washington,GPE
77,this 14th day,DATE
78,A. D. 1869,NORP
79,the United States of America,GPE
80,State,ORG
81,the United States of America,GPE
82,Congress,ORG
83,"June 25, 1868",DATE
84,eight hours,TIME
85,day,DATE
86,the United States,GPE
87,Ulysses S. Grant,PERSON
88,the United States,GPE
89,the day,DATE
90,the hours,TIME
91,the United States,GPE
92,Washington,GPE
93,this 19th day,DATE
94,A. D. 1869,NORP
95,State,ORG
96,Senate,ORG
97,House of Representatives,ORG
98,first,ORDINAL
99,the Giver of All Good,ORG
100,"500,000,000",CARDINAL
101,"40,000,000",CARDINAL
102,the National Treasury,ORG
103,four years ago,DATE
104,State,ORG
105,American,NORP
106,one-half,CARDINAL
107,State,ORG
108,Union,ORG
109,Congress,ORG
110,eighth,ORDINAL
111,Georgia,GPE
112,republican,NORP
113,Congress,ORG
114,State,ORG
115,Congress,ORG
116,State,ORG
117,third,ORDINAL
118,fourteenth,ORDINAL
119,Georgia,GPE
120,third,ORDINAL
121,fourteenth,ORDINAL
122,Congress,ORG
123,March,DATE
124,Congress,ORG
125,Executive,ORG
126,"the States of Virginia, Mississippi",GPE
127,Texas,GPE
128,Virginia,GPE
129,"the 6th of July, 1869",DATE
130,Congress,ORG
131,State,ORG
132,Mississippi,GPE
133,Texas,GPE
134,"the 30th of November, 1869",DATE
135,Mississippi,GPE
136,four days,DATE
137,Texas,GPE
138,States,GPE
