,ent,ent_label
0,Europe,LOC
1,the American Republic,GPE
2,America,GPE
3,Americans,NORP
4,American,NORP
5,American,NORP
6,Russian,NORP
7,Italy,GPE
8,France,GPE
9,England,GPE
10,American,NORP
11,America,GPE
12,American,NORP
13,Nationality,ORG
14,the Civil War,EVENT
15,American,NORP
16,America,GPE
17,American,NORP
18,America,GPE
19,Americans,NORP
20,today,DATE
21,American,NORP
22,America,GPE
23,a hundred million,CARDINAL
24,today,DATE
25,the first century,DATE
26,second,ORDINAL
27,the millions of today,CARDINAL
28,American,NORP
29,first,ORDINAL
30,Americanism,ORG
31,the Federal Constitution,LAW
32,1787,DATE
33,a full century and a half before,DATE
34,Massachusetts,GPE
35,New World's,ORG
36,Jamestown,GPE
37,Plymouth,GPE
38,five,CARDINAL
39,Lexington,GPE
40,Concord,GPE
41,American,NORP
42,American,NORP
43,The American Republic,GPE
44,America,GPE
45,The Federal Constitution,ORG
46,Ark of the Covenant,WORK_OF_ART
47,American,NORP
48,Constitution,LAW
49,the Great War,EVENT
50,Americans,NORP
51,American,NORP
52,Columbia,ORG
53,America,GPE
54,American,NORP
55,American,NORP
56,Old World,ORG
57,America,GPE
58,America,GPE
59,America,GPE
60,America,GPE
61,first,ORDINAL
62,America,GPE
63,first,ORDINAL
64,America,GPE
65,Bolshevist,ORG
66,America,GPE
67,the United States,GPE
68,America,GPE
69,one,CARDINAL
70,America,GPE
71,today,DATE
72,America,GPE
73,American,NORP
74,American,NORP
75,American,NORP
76,Lodge,PERSON
77,the Notification Committee,ORG
78,the National Committee,ORG
79,the many millions,CARDINAL
80,more than a hundred millions,CARDINAL
81,Constitution,LAW
82,American,NORP
83,American,NORP
84,Congress,ORG
85,first,ORDINAL
86,Constitution,LAW
87,the Republican Party,ORG
88,Cabinet,ORG
89,second,ORDINAL
90,House,ORG
91,Congress,ORG
92,Senate,ORG
93,Senate,ORG
94,Lodge,PERSON
95,Republicans,NORP
96,Senate,ORG
97,Europe,LOC
98,America,GPE
99,Republicans,NORP
100,Senate,ORG
101,American,NORP
102,Party,ORG
103,American,NORP
104,American,NORP
105,American,NORP
106,One,CARDINAL
107,America,GPE
108,Senate,ORG
109,America,GPE
110,today,DATE
111,tomorrow,DATE
112,American,NORP
113,America,GPE
114,the Republican Party,ORG
115,America,GPE
116,Congress,ORG
117,Republican,NORP
118,Congress,ORG
119,Republican,NORP
120,American,NORP
121,American,NORP
122,American,NORP
123,Republican,NORP
124,America,GPE
125,America,GPE
126,Europe,LOC
127,the hour,TIME
128,America,GPE
129,the League Covenant,ORG
130,America,GPE
131,European,NORP
132,Europe,LOC
133,America,GPE
134,America,GPE
135,Europe,LOC
136,Europe,LOC
137,American,NORP
138,American,NORP
139,Senate,ORG
140,Constitution,LAW
141,Europe,LOC
142,America,GPE
143,America,GPE
144,American,NORP
145,American,NORP
146,first,ORDINAL
147,Constitution,LAW
148,today,DATE
149,Russia,GPE
150,America,GPE
151,America,GPE
152,today,DATE
153,America,GPE
154,one,CARDINAL
155,America,GPE
156,one,CARDINAL
157,one,CARDINAL
158,first,ORDINAL
159,millions,CARDINAL
160,American,NORP
161,our day,DATE
162,tomorrow,DATE
163,the present day,DATE
164,Constitution,LAW
165,today,DATE
166,the Republican Party,ORG
167,America,GPE
168,one,CARDINAL
169,Russia,GPE
170,first,ORDINAL
171,America,GPE
172,today,DATE
173,American,NORP
174,American,NORP
175,America,GPE
176,Republicans,NORP
177,American,NORP
178,American,NORP
179,millions,CARDINAL
180,American,NORP
181,millions,CARDINAL
182,American,NORP
183,America,GPE
184,one,CARDINAL
185,present-day,DATE
186,American,NORP
187,American,NORP
188,America,GPE
189,the Panama Canal,FAC
190,American,NORP
191,American,NORP
192,American,NORP
193,Eight years ago,DATE
194,the Democratic Party,ORG
195,100-cent dollar,MONEY
196,the day,DATE
197,Republican,NORP
198,first,ORDINAL
199,American,NORP
200,the first century,DATE
201,a second century,DATE
202,The Republican Party,ORG
203,Middle West,LOC
204,American,NORP
205,a hundred and twenty millions,CARDINAL
206,America,GPE
207,Government,ORG
208,Republican,NORP
209,American,NORP
210,American,NORP
211,American,NORP
212,America,GPE
213,America,GPE
214,the America of tomorrow,LOC
215,The Federal Government's,ORG
216,today,DATE
217,Alaska,GPE
218,thousands,CARDINAL
219,American,NORP
220,American,NORP
221,American,NORP
222,the Federal Government,ORG
223,America,GPE
224,the Federal Government,ORG
225,Liberty,ORG
226,Negro,ORG
227,America,GPE
228,American,NORP
229,Mexico,GPE
230,Americans,NORP
231,Mexican,NORP
232,Constitution,LAW
233,the Eighteenth Amendment,LAW
234,American,NORP
235,Congress,ORG
236,Constitution,LAW
237,Congress,ORG
238,the World War,EVENT
239,America,GPE
240,Union,ORG
241,Civil War,EVENT
242,Constitution,LAW
243,first,ORDINAL
244,1898,DATE
245,four million,CARDINAL
246,America,GPE
247,Congress,ORG
248,State,ORG
249,America,GPE
250,America,GPE
251,this New World Republic,EVENT
252,the Republic!,GPE
253,America,GPE
254,American,NORP
255,American,NORP
256,American,NORP
257,American,NORP
258,Americans,NORP
259,Chairman,PERSON
260,Americans,NORP
261,the Republican Party,ORG
262,United States,GPE
263,Chairman *,PERSON
264,Constitution,LAW
265,American,NORP
266,American,NORP
267,first,ORDINAL
268,the Constitution through the agency of,LAW
269,the Republican Party,ORG
270,Republicans,NORP
271,Senate,ORG
272,Europe,LOC
273,America,GPE
274,Republicans,NORP
275,Senate,ORG
276,American,NORP
277,American,NORP
278,American,NORP
279,American,NORP
280,Henry Cabot Lodge,PERSON
281,Republican,NORP
282,Massachusetts,GPE
283,the Old World,LOC
284,One,CARDINAL
285,America,GPE
286,Senate,ORG
287,America,GPE
288,today,DATE
289,tomorrow,DATE
290,American,NORP
291,America,GPE
292,Republican,NORP
293,America,GPE
294,Congress,ORG
295,the Republican,ORG
296,Congress,ORG
297,Republican,NORP
298,American,NORP
299,American,NORP
300,American,NORP
301,Republican,NORP
302,America,GPE
303,America,GPE
304,the League of Nations,ORG
305,Article My,LAW
306,today,DATE
307,the World War,EVENT
308,America,GPE
309,one,CARDINAL
310,America,GPE
311,Underproduction,ORG
312,one,CARDINAL
313,one,CARDINAL
314,first,ORDINAL
315,millions,CARDINAL
316,American,NORP
317,our day,DATE
318,tomorrow,DATE
319,the present day,DATE
320,Constitution,LAW
321,today,DATE
322,the Republican party,ORG
323,America,GPE
324,one,CARDINAL
325,Russia,GPE
326,first,ORDINAL
327,America,GPE
328,today,DATE
329,American,NORP
330,American,NORP
331,America,GPE
332,Republicans,NORP
333,American,NORP
334,American,NORP
335,February,DATE
336,October,DATE
337,Russian,NORP
338,the World War,EVENT
339,America,GPE
340,Union,ORG
341,Constitution,LAW
342,first,ORDINAL
343,1898,DATE
344,four million,CARDINAL
345,America,GPE
346,New World,GPE
347,the Republic.,GPE
348,America,GPE
349,American,NORP
350,American,NORP
351,American,NORP
352,American,NORP
353,Americans,NORP
354,The Republican Party,ORG
355,October 1918,DATE
356,Congress,ORG
357,a century,DATE
358,Republicans,NORP
359,Republican,NORP
360,The Republican Party,ORG
361,the days,DATE
362,65th,ORDINAL
363,the days,DATE
364,Wyandot County,GPE
365,Ohio,GPE
366,Two,CARDINAL
367,Wyandot,PERSON
368,today,DATE
369,America,GPE
370,American,NORP
371,American,NORP
372,American,NORP
373,American,NORP
374,American,NORP
375,Belgium,GPE
376,Lusitania,GPE
377,America,GPE
378,this afternoon,TIME
379,Stars and Stripes,WORK_OF_ART
380,Julius Kahn,PERSON
381,Republican,NORP
382,California,GPE
383,1861 1921,DATE
384,"March 4, 1917 to March 4, 1919",DATE
385,Senate,ORG
386,House of Representatives,ORG
387,the Democrat Party,ORG
388,Argonne Forest,ORG
389,"September 26, 1918",DATE
390,Armistice,PERSON
391,November 11,DATE
392,the American Army,ORG
393,France,GPE
394,John J. Pershing,PERSON
395,the American Expeditionary Force,ORG
396,twenty-six thousand,CARDINAL
397,tens of thousands,CARDINAL
398,America,GPE
399,America,GPE
400,America,GPE
401,America,GPE
402,the century,DATE
403,New World,GPE
404,America,GPE
405,millions,CARDINAL
406,America,GPE
407,American,NORP
408,Americans,NORP
409,one,CARDINAL
410,the Old World,LOC
411,today,DATE
412,Republic,GPE
413,OldWorld,ORG
414,the Old World,LOC
415,America,GPE
416,America,GPE
417,America,GPE
418,Today,DATE
419,States,GPE
420,American,NORP
421,today,DATE
422,tomorrow,DATE
423,America,GPE
424,American,NORP
425,America,GPE
426,America,GPE
427,Republics,GPE
428,Republic,ORG
429,America,GPE
430,today,DATE
431,America,GPE
432,one penny,MONEY
433,one,CARDINAL
434,Envy,PERSON
435,yesterday,DATE
436,today,DATE
437,America,GPE
438,Congress,ORG
439,theAdministration,ORG
440,America,GPE
441,America,GPE
442,America,GPE
