,ent,ent_label
0,the Department of Justice,ORG
1,the Bureauof Corporations,ORG
2,the Department of Commerce,ORG
3,Labor,ORG
4,the InterstateCommerce Commission,ORG
5,first,ORDINAL
6,December,DATE
7,American,NORP
8,Congress,ORG
9,the 15th day of March,DATE
10,theDingley Act,PERSON
11,Dingley Act,PERSON
12,Congress,ORG
13,1907,DATE
14,the currentfiscal year,DATE
15,"100,000,000",MONEY
16,the Department of Agriculture,ORG
17,half a century ago,DATE
18,FederalGovernment,ORG
19,the Panama Canal,FAC
20,Congress,ORG
21,Ohio,GPE
22,theMississippi,ORG
23,American,NORP
24,European,NORP
25,the United States,GPE
26,American,NORP
27,Monroe,PERSON
28,a few years,DATE
29,annual,DATE
30,Europe,LOC
31,Asiaof,PRODUCT
32,Hague,GPE
33,Tribunal,ORG
34,UnitedStates,ORG
35,the United States,GPE
36,Spanish,NORP
37,Asiatic,NORP
38,Meantimewe,GPE
39,the Federal Government,ORG
40,the Federal Executive,ORG
41,FederalGovernment,ORG
42,States,GPE
43,State,ORG
44,Executivein,ORG
45,the National Government,ORG
46,One,CARDINAL
47,European,NORP
48,Congress,ORG
49,Republicanplatform,ORG
50,Congress,ORG
51,Orient,LOC
52,Philippines,GPE
53,South America,LOC
54,Philippines,GPE
55,North and South America,GPE
56,Congress,ORG
57,Root,PERSON
58,the Departments of Agriculture andof Commerce,ORG
59,Labor,ORG
60,Europe,LOC
61,The Panama Canal,FAC
62,the United States,GPE
63,South America,LOC
64,South America,LOC
65,Congress,ORG
66,the War Department,ORG
67,Isthmus,GPE
68,Goethalsand,PERSON
69,Isthmus,GPE
70,Porto Rico,GPE
71,Philippinesare,ORG
72,PortoRico,ORG
73,Philippines,GPE
74,the United States,GPE
75,Philippines,GPE
76,American,NORP
77,South,LOC
78,the Southern States,LOC
79,South,LOC
80,South,LOC
81,thirteenth,ORDINAL
82,fourteenth,ORDINAL
83,Southern,NORP
84,today,DATE
85,only one,CARDINAL
86,Southern,NORP
87,South,LOC
88,Northerners,PERSON
89,South,LOC
90,Constitution,LAW
91,States,GPE
92,Southern,NORP
93,States,GPE
94,Constitution,LAW
95,theUnited States,GPE
96,theFederal Government,ORG
97,Southern,NORP
98,South,LOC
99,the last fifty years,DATE
100,Americans,NORP
101,here years ago,DATE
102,one,CARDINAL
103,theSouth,GPE
104,South,LOC
105,one,CARDINAL
106,Congress,ORG
107,the District of Columbia,GPE
108,Congress,ORG
109,American,NORP
110,American,NORP
111,Congress,ORG
112,Senate,ORG
113,House of Representatives,ORG
114,Congress,ORG
115,Dingley,ORG
116,the last twelve years,DATE
117,July 1,DATE
118,the current fiscal year,DATE
119,"100,000,000",MONEY
120,Constitution,LAW
121,at least one,CARDINAL
122,Congress,ORG
123,Senate,ORG
124,House of Representatives,ORG
125,Congress,ORG
126,Congress,ORG
127,The House of Representatives,ORG
128,Senate,ORG
129,Finance Committee,ORG
130,Pollock,PERSON
131,Loan and Trust Company,ORG
132,429,CARDINAL
133,the Supreme Court,ORG
134,the Federal Government,ORG
135,States,GPE
136,Congress,ORG
137,the Supreme Court,ORG
138,the National Government,ORG
139,the National Government,ORG
140,Congress,ORG
141,Houses,ORG
142,two-thirds,CARDINAL
143,Constitution,LAW
144,the National Government,ORG
145,States,GPE
146,Congress,ORG
147,Constitution,LAW
148,Congress,ORG
149,Treasury,ORG
150,States,GPE
151,the National Government,ORG
152,States,GPE
153,Second,ORDINAL
154,Pollock,PERSON
155,the National Government,ORG
156,2 per cent,MONEY
157,Treasury,ORG
158,the United States,GPE
159,"less than $ 25,000,000",MONEY
160,the Supreme Court,ORG
161,Spreckels Sugar Refining Company,ORG
162,McClain,LOC
163,397,CARDINAL
164,annual,DATE
165,first,ORDINAL
166,two-thirds,CARDINAL
167,Houses,ORG
168,Constitution,LAW
169,the Federal Government,ORG
170,States,GPE
171,second,ORDINAL
172,2 per cent,MONEY
173,As long ago,DATE
174,"August, 1906",DATE
175,Maine,GPE
176,ten years,DATE
177,Dingley,ORG
178,Dingley,ORG
179,American,NORP
180,the summer of 1907,DATE
