,ent,ent_label
0,two years ago,DATE
1,whenthe House of Representatives,ORG
2,Democratic,NORP
3,Senate,ORG
4,Democratic,NORP
5,Democrats,NORP
6,Nationnow,ORG
7,the Democratic Party,ORG
8,second,ORDINAL
9,fifty years ago,DATE
10,first,ORDINAL
11,first,ORDINAL
12,a day,DATE
13,Speaker,PERSON
14,Congress,ORG
15,two,CARDINAL
16,Houses,ORG
17,the United States,GPE
18,Congress,ORG
19,Congress,ORG
20,our day,DATE
21,We long ago,DATE
22,American,NORP
23,our own day,DATE
24,first,ORDINAL
25,one,CARDINAL
26,one,CARDINAL
27,Speaker,PERSON
28,Congress,ORG
29,second,ORDINAL
30,season of the year,DATE
31,the Civil War,EVENT
32,the years,DATE
33,one,CARDINAL
34,one,CARDINAL
35,the last few years,DATE
36,Congress,ORG
37,Friends,ORG
38,fifty years,DATE
39,a few minutes,TIME
40,fifty years,DATE
41,State,ORG
42,State,ORG
43,fifty,CARDINAL
44,the fifty years,DATE
45,first,ORDINAL
46,the heroic days,DATE
47,Gettysburg,GPE
48,Valor,GPE
49,days,DATE
50,days,DATE
51,years,DATE
52,days,DATE
53,the day,DATE
54,this day,DATE
55,Honor,ORG
56,Chairman,PERSON
57,American,NORP
58,the United States,GPE
59,three,CARDINAL
60,Philadelphia,GPE
61,Day,PERSON
62,this afternoon,TIME
63,America,GPE
64,these 137 years,DATE
65,first,ORDINAL
66,the hundred years,DATE
67,Fourth,ORDINAL
68,July,DATE
69,the Declaration of Independence,WORK_OF_ART
70,Julys,PERSON
71,The Declaration of Independence,WORK_OF_ART
72,first,ORDINAL
73,first,ORDINAL
74,Virginia,GPE
75,our own day,DATE
76,the day,DATE
77,Washington,GPE
78,Every day,DATE
79,American,NORP
80,America,GPE
81,Washington,GPE
82,George Washington,PERSON
83,that day,DATE
84,America,GPE
85,the day,DATE
86,first,ORDINAL
87,Dominion of Virginia,ORG
88,America,GPE
89,America,GPE
90,those days,DATE
91,Washington,GPE
92,the United States,GPE
93,the White House,ORG
94,Potomac,NORP
