,ent,ent_label
0,American,NORP
1,Constitution,LAW
2,the Executive Departments,ORG
3,Constitution,LAW
4,Army,ORG
5,Navy,ORG
6,the United States,GPE
7,Senate,ORG
8,Congress,ORG
9,Constitution,LAW
10,republican,NORP
11,Army,ORG
12,Navy,ORG
13,Congress,ORG
14,Executive,ORG
15,American,NORP
16,Washington,GPE
17,Congress,ORG
18,Congress,ORG
19,Constitution,LAW
20,Divine Providence,PERSON
21,this day,DATE
22,Senate,ORG
23,House of Representatives,ORG
24,Sixty years,DATE
25,the Congress of the United States,ORG
26,the United States of America,GPE
27,Congress,ORG
28,the past year,DATE
29,Great Britain,GPE
30,British,NORP
31,British,NORP
32,British,NORP
33,the 1st day of January,DATE
34,the United States,GPE
35,British,NORP
36,British,NORP
37,the British Parliament,ORG
38,Great Britain,GPE
39,Congress,ORG
40,"the 1st of March, 1817",DATE
41,France,GPE
42,the German Empire,GPE
43,New York,GPE
44,Navy,ORG
45,Empire,GPE
46,the Kingdom of Denmark,GPE
47,the Schleswig-Holstein,FAC
48,Denmark,GPE
49,Congress,ORG
50,"the 20th of April, 1818",DATE
51,Navy,ORG
52,State,ORG
53,the German Empire,GPE
54,the United States,GPE
55,the Department of State,ORG
56,the German Empire,GPE
57,Constitution,LAW
58,the United States,GPE
59,the German Empire,GPE
60,"August, 1848",DATE
61,the-Main,ORG
62,Empire,GPE
63,the German Empire,GPE
64,Donelson,PERSON
65,Frankfort,ORG
66,several months,DATE
67,the German States,GPE
68,one,CARDINAL
69,Prussia,GPE
70,the States of Germany,GPE
71,Germany,GPE
72,Berlin,GPE
73,Prussia,GPE
74,Donelson,PERSON
75,American,NORP
76,Berlin,GPE
77,the United States,GPE
78,Cuba,GPE
79,the United States,GPE
80,Spain,GPE
81,two,CARDINAL
82,the United States,GPE
83,American,NORP
84,the United States,GPE
85,Congress,ORG
86,"the 20th of April, 1818",DATE
87,Washington,GPE
88,Executive,ORG
89,New Orleans,GPE
90,Cuba,GPE
91,Congress,ORG
92,Europe,LOC
93,Austria,GPE
94,Hungary,GPE
95,American,NORP
96,Magyar,GPE
97,first,ORDINAL
98,Hungary,GPE
99,Europe,LOC
100,Russia,GPE
101,Magyars,DATE
102,The United States,GPE
103,Portugal,GPE
104,the past year,DATE
105,Lisbon,GPE
106,George W. Hopkins,PERSON
107,Court,ORG
108,Portugal,GPE
109,one,CARDINAL
110,Portugal,GPE
111,American,NORP
112,Congress,ORG
113,Russia,GPE
114,Austria,GPE
115,Prussia,GPE
116,Sweden,GPE
117,Denmark,GPE
118,Belgium,GPE
119,Netherlands,GPE
120,the Italian States,GPE
121,the Papal States,GPE
122,Rome,GPE
123,States,GPE
124,the 25th of June,DATE
125,Rome,GPE
126,the Republic of Mexico,GPE
127,Guadalupe Hidalgo,PERSON
128,the House of Representatives,ORG
129,8th,ORDINAL
130,Queretaro,GPE
131,"the 30th of May, 1848",DATE
132,the United States,GPE
133,the Mexican Government,ORG
134,the Department of State,ORG
135,the United States,GPE
136,two,CARDINAL
137,Republics,GPE
138,San Diego,GPE
139,Mexico,GPE
140,that quarter,DATE
141,Congress,ORG
142,the present fiscal year,DATE
143,"the fiscal year ending on the 30th of June, 1851",DATE
144,American,NORP
145,Mexico,GPE
146,the United States,GPE
147,Congress,ORG
148,the United States,GPE
149,the Isthmus of Panama,FAC
150,6th,ORDINAL
151,1844,DATE
152,Bogota,GPE
153,the Republic of Venezuela,GPE
154,the Venezuelan Government,ORG
155,Caracas,GPE
156,the United States,GPE
157,Pacific,LOC
158,California,GPE
159,that quarter,DATE
160,the Republic of Chili,GPE
161,California,GPE
162,Oregon,GPE
163,States,GPE
164,American States,GPE
165,The United States,GPE
166,American,NORP
167,first,ORDINAL
168,European,NORP
169,Brazil,GPE
170,American,NORP
171,Senate,ORG
172,Congress,ORG
173,Empire,GPE
174,African,NORP
175,the United States,GPE
176,the Department of State,ORG
177,the United States,GPE
178,Rio de Janeiro,GPE
179,Congress,ORG
180,Vessels,ORG
181,Brazil,GPE
182,the United States,GPE
183,Africa,LOC
184,the Department of State,ORG
185,American,NORP
186,the United States,GPE
187,the five States of Central America,GPE
188,Senate,ORG
189,Nicaragua,GPE
190,American,NORP
191,State,ORG
192,Atlantic,LOC
193,Pacific,LOC
194,Nicaragua,GPE
195,Nicaragua,GPE
196,Europe,LOC
197,the National Treasury,ORG
198,Nicaragua,GPE
199,Isthmus,GPE
200,Tehuantepec,GPE
201,Panama,GPE
202,Guadalupe Hidalgo,PERSON
203,the Isthmus of Tehuantepec,FAC
204,The Mexican Government,ORG
205,the Guasacualco River,LOC
206,Tehuantepec,GPE
207,Mexico,GPE
208,Mexico,GPE
209,Mexico,GPE
210,Gulf,LOC
211,the Pacific Ocean,LOC
212,Isthmus,GPE
213,Panama,GPE
214,New Granada,GPE
215,"the 10th day of June, 1848",DATE
216,Isthmus,GPE
217,New Granada,GPE
218,North and South America,GPE
219,Pacific,LOC
220,the United States,GPE
221,Pacific,LOC
222,Christianizing,GPE
223,Treasury,ORG
224,the fiscal year ending on the 30th of June,DATE
225,"48,830,097.50",MONEY
226,Treasury,ORG
227,"10,833,000",MONEY
228,"59,663,097.50",MONEY
229,"46,798,667.82",MONEY
230,Treasury,ORG
231,"10,833,000",MONEY
232,"57,631,667.82",MONEY
233,Congress,ORG
234,Treasury,ORG
235,the Mexican War,EVENT
236,the 1st day of July,DATE
237,"5,828,121.66",MONEY
238,"the 1st day of July, 1851",DATE
239,"10,547,092.73",MONEY
240,"16,375,214.39",MONEY
241,Mexico,GPE
242,California,GPE
243,New Mexico,GPE
244,Congress,ORG
245,Congress,ORG
246,Congress,ORG
247,Congress,ORG
248,Treasury,ORG
249,the General Government,ORG
250,American,NORP
251,the Department of the Interior,ORG
252,Congress,ORG
253,California,GPE
254,Territory,PERSON
255,State,ORG
256,California,GPE
257,Union,ORG
258,State,ORG
259,the Constitution of the United States,LAW
260,Congress,ORG
261,New Mexico,GPE
262,California,GPE
263,republican,NORP
264,first,ORDINAL
265,San Francisco,GPE
266,Congress,ORG
267,California,GPE
268,San Francisco,GPE
269,Congress,ORG
270,Territory,PERSON
271,Treasury,ORG
272,Oregon,GPE
273,January last,DATE
274,California,GPE
275,two,CARDINAL
276,Oregon,GPE
277,California,GPE
278,Indian,NORP
279,Missouri,GPE
280,Council Bluffs,ORG
281,Santa Fe,GPE
282,Salt Lake,GPE
283,Sacramento,GPE
284,San Joaquin,GPE
285,Indian,NORP
286,California,GPE
287,Congress,ORG
288,California,GPE
289,New Mexico,GPE
290,New Mexico,GPE
291,California,GPE
292,Oregon,GPE
